cluster,city,submitted_keyword,grouped_submitted_keywords,returned_keyword,close_variants,average_monthly_searches,competition,competition_index,average_cpc_gbp,low_top_of_page_gbp,high_top_of_page_gbp,monthly_search_volumes,geography_method,observed_at
bristol_drainage,Bristol,blocked drain Bristol,blocked drain Bristol,blocked drain bristol,blocked drain Bristol,590,MEDIUM,66,16.0945,8.2336,22.7364,2025-august:480|2025-september:1300|2025-october:480|2025-november:260|2025-december:260|2026-january:480|2026-february:390|2026-march:720|2026-april:880|2026-may:1000|2026-june:320|2026-july:260,explicit_city_query_under_uk_target,2026-09-03
bristol_drainage,Bristol,emergency drain unblocking Bristol,emergency drain unblocking Bristol,emergency drain unblocking bristol,emergency drain unblocking Bristol,30,HIGH,80,50.5519,16.2870,39.1180,2025-august:20|2025-september:320|2025-october:30|2025-november:10|2025-december:0|2026-january:10|2026-february:10|2026-march:10|2026-april:10|2026-may:10|2026-june:10|2026-july:10,explicit_city_query_under_uk_target,2026-09-03
bristol_drainage,Bristol,drain clearance Bristol,drain clearance Bristol|drain cleaning Bristol,drain clearance bristol,drain clearance Bristol|drain cleaning Bristol,50,MEDIUM,61,14.0302,11.0716,27.4700,2025-august:30|2025-september:210|2025-october:50|2025-november:50|2025-december:70|2026-january:40|2026-february:20|2026-march:50|2026-april:30|2026-may:50|2026-june:50|2026-july:30,explicit_city_query_under_uk_target,2026-09-03
bristol_drainage,Bristol,drain jetting Bristol,drain jetting Bristol,drain jetting bristol,drain jetting Bristol,20,HIGH,71,28.6093,0.0000,0.0000,2025-august:10|2025-september:170|2025-october:10|2025-november:10|2025-december:10|2026-january:10|2026-february:10|2026-march:10|2026-april:10|2026-may:10|2026-june:10|2026-july:10,explicit_city_query_under_uk_target,2026-09-03
bristol_drainage,Bristol,cctv drain survey Bristol,cctv drain survey Bristol,cctv drain survey bristol,cctv drain survey Bristol,70,HIGH,97,11.0038,9.5971,19.0009,2025-august:50|2025-september:480|2025-october:70|2025-november:40|2025-december:30|2026-january:50|2026-february:30|2026-march:30|2026-april:30|2026-may:30|2026-june:20|2026-july:30,explicit_city_query_under_uk_target,2026-09-03
bristol_drainage,Bristol,drain repair Bristol,drain repair Bristol,drain repair bristol,drain repair Bristol,90,HIGH,79,9.2624,5.7883,17.1537,2025-august:50|2025-september:590|2025-october:70|2025-november:10|2025-december:30|2026-january:70|2026-february:40|2026-march:30|2026-april:70|2026-may:20|2026-june:30|2026-july:10,explicit_city_query_under_uk_target,2026-09-03
bristol_drainage,Bristol,drain company Bristol,drain company Bristol,drain company bristol,drain company Bristol,110,HIGH,82,3.1316,4.9892,20.7091,2025-august:90|2025-september:320|2025-october:110|2025-november:50|2025-december:70|2026-january:110|2026-february:140|2026-march:140|2026-april:140|2026-may:90|2026-june:70|2026-july:40,explicit_city_query_under_uk_target,2026-09-03
bristol_drainage,Bristol,drainage engineer Bristol,drainage engineer Bristol,drainage engineer bristol,drainage engineer Bristol,10,MEDIUM,43,3.7497,0.0000,0.0000,2025-august:10|2025-september:10|2025-october:10|2025-november:10|2025-december:10|2026-january:10|2026-february:10|2026-march:10|2026-april:10|2026-may:10|2026-june:10|2026-july:10,explicit_city_query_under_uk_target,2026-09-03
bristol_drainage,Bristol,blocked toilet Bristol,blocked toilet Bristol,blocked toilet bristol,blocked toilet Bristol,40,HIGH,86,0.0000,0.0000,0.0000,2025-august:40|2025-september:40|2025-october:40|2025-november:10|2025-december:20|2026-january:20|2026-february:70|2026-march:110|2026-april:30|2026-may:20|2026-june:10|2026-july:10,explicit_city_query_under_uk_target,2026-09-03
edinburgh_boiler_installation,Edinburgh,boiler installation Edinburgh,boiler installation Edinburgh|boiler installer Edinburgh,boiler installation edinburgh,boiler installation Edinburgh|boiler installer Edinburgh,880,MEDIUM,43,16.0379,5.8726,38.7994,2025-august:720|2025-september:1900|2025-october:1600|2025-november:1600|2025-december:1000|2026-january:880|2026-february:720|2026-march:880|2026-april:320|2026-may:260|2026-june:170|2026-july:140,explicit_city_query_under_uk_target,2026-09-03
edinburgh_boiler_installation,Edinburgh,boiler replacement Edinburgh,boiler replacement Edinburgh,boiler replacement edinburgh,boiler replacement Edinburgh,390,LOW,31,28.2971,6.1486,57.3962,2025-august:390|2025-september:880|2025-october:720|2025-november:720|2025-december:480|2026-january:320|2026-february:210|2026-march:590|2026-april:210|2026-may:90|2026-june:90|2026-july:110,explicit_city_query_under_uk_target,2026-09-03
edinburgh_boiler_installation,Edinburgh,new boiler Edinburgh,new boiler Edinburgh,new boiler edinburgh,new boiler Edinburgh,260,MEDIUM,61,23.7618,6.1992,39.5660,2025-august:210|2025-september:590|2025-october:480|2025-november:480|2025-december:320|2026-january:260|2026-february:210|2026-march:260|2026-april:110|2026-may:70|2026-june:70|2026-july:40,explicit_city_query_under_uk_target,2026-09-03
edinburgh_boiler_installation,Edinburgh,combi boiler installation Edinburgh,combi boiler installation Edinburgh,combi boiler installation edinburgh,combi boiler installation Edinburgh,90,MEDIUM,50,9.3861,0.0000,0.0000,2025-august:90|2025-september:210|2025-october:210|2025-november:210|2025-december:110|2026-january:70|2026-february:20|2026-march:50|2026-april:20|2026-may:10|2026-june:10|2026-july:10,explicit_city_query_under_uk_target,2026-09-03
edinburgh_boiler_installation,Edinburgh,boiler installation cost Edinburgh,boiler installation cost Edinburgh,boiler installation cost edinburgh,boiler installation cost Edinburgh,10,UNSPECIFIED,0,0.0000,0.0000,0.0000,2025-august:40|2025-september:30|2025-october:10|2025-november:0|2025-december:0|2026-january:10|2026-february:0|2026-march:0|2026-april:0|2026-may:10|2026-june:0|2026-july:0,explicit_city_query_under_uk_target,2026-09-03
edinburgh_boiler_installation,Edinburgh,new boiler cost Edinburgh,new boiler cost Edinburgh,new boiler cost edinburgh,new boiler cost Edinburgh,30,LOW,31,15.2614,2.7250,13.3291,2025-august:70|2025-september:40|2025-october:10|2025-november:10|2025-december:10|2026-january:40|2026-february:30|2026-march:70|2026-april:10|2026-may:20|2026-june:10|2026-july:10,explicit_city_query_under_uk_target,2026-09-03
edinburgh_boiler_installation,Edinburgh,boiler quote Edinburgh,boiler quote Edinburgh,boiler quote edinburgh,boiler quote Edinburgh,70,MEDIUM,61,0.0000,0.0000,0.0000,2025-august:30|2025-september:110|2025-october:170|2025-november:170|2025-december:110|2026-january:90|2026-february:20|2026-march:20|2026-april:10|2026-may:10|2026-june:10|2026-july:10,explicit_city_query_under_uk_target,2026-09-03
edinburgh_boiler_installation,Edinburgh,gas boiler replacement Edinburgh,gas boiler replacement Edinburgh,gas boiler replacement edinburgh,gas boiler replacement Edinburgh,10,HIGH,86,48.4818,10.7031,41.7559,2025-august:50|2025-september:40|2025-october:10|2025-november:10|2025-december:10|2026-january:10|2026-february:10|2026-march:20|2026-april:10|2026-may:0|2026-june:10|2026-july:10,explicit_city_query_under_uk_target,2026-09-03
edinburgh_boiler_installation,Edinburgh,boiler finance Edinburgh,boiler finance Edinburgh,boiler finance edinburgh,boiler finance Edinburgh,10,HIGH,100,34.5070,0.0000,0.0000,2025-august:20|2025-september:20|2025-october:10|2025-november:0|2025-december:0|2026-january:10|2026-february:10|2026-march:20|2026-april:10|2026-may:10|2026-june:0|2026-july:10,explicit_city_query_under_uk_target,2026-09-03
edinburgh_boiler_installation,Edinburgh,boiler company Edinburgh,boiler company Edinburgh,boiler company edinburgh,boiler company Edinburgh,70,HIGH,87,10.4350,6.5861,56.0979,2025-august:10|2025-september:140|2025-october:210|2025-november:210|2025-december:90|2026-january:170|2026-february:40|2026-march:30|2026-april:20|2026-may:10|2026-june:20|2026-july:20,explicit_city_query_under_uk_target,2026-09-03
edinburgh_boiler_installation,Edinburgh,boiler fitters Edinburgh,boiler fitters Edinburgh,boiler fitters edinburgh,boiler fitters Edinburgh,90,HIGH,86,33.7491,19.8272,48.3126,2025-august:90|2025-september:260|2025-october:210|2025-november:170|2025-december:110|2026-january:110|2026-february:40|2026-march:90|2026-april:10|2026-may:20|2026-june:10|2026-july:10,explicit_city_query_under_uk_target,2026-09-03
edinburgh_boiler_installation,Edinburgh,worcester boiler installation Edinburgh,worcester boiler installation Edinburgh,worcester boiler installation edinburgh,worcester boiler installation Edinburgh,10,UNSPECIFIED,0,0.0000,0.0000,0.0000,2025-august:0|2025-september:0|2025-october:0|2025-november:0|2025-december:10|2026-january:0|2026-february:10|2026-march:10|2026-april:10|2026-may:0|2026-june:0|2026-july:0,explicit_city_query_under_uk_target,2026-09-03
manchester_fire_risk_assessment,Manchester,commercial fire risk assessment Manchester,commercial fire risk assessment Manchester,commercial fire risk assessment manchester,commercial fire risk assessment Manchester,0,UNSPECIFIED,0,0.0000,0.0000,0.0000,,explicit_city_query_under_uk_target,2026-09-03
manchester_fire_risk_assessment,Manchester,landlord fire risk assessment Manchester,landlord fire risk assessment Manchester,landlord fire risk assessment manchester,landlord fire risk assessment Manchester,0,UNSPECIFIED,0,0.0000,0.0000,0.0000,,explicit_city_query_under_uk_target,2026-09-03
manchester_fire_risk_assessment,Manchester,hmo fire risk assessment Manchester,hmo fire risk assessment Manchester,hmo fire risk assessment manchester,hmo fire risk assessment Manchester,0,UNSPECIFIED,0,0.0000,0.0000,0.0000,,explicit_city_query_under_uk_target,2026-09-03
manchester_fire_risk_assessment,Manchester,fire risk assessment cost Manchester,fire risk assessment cost Manchester,fire risk assessment cost manchester,fire risk assessment cost Manchester,0,UNSPECIFIED,0,0.0000,0.0000,0.0000,,explicit_city_query_under_uk_target,2026-09-03
manchester_fire_risk_assessment,Manchester,fire risk assessment company Manchester,fire risk assessment company Manchester,fire risk assessment company manchester,fire risk assessment company Manchester,0,UNSPECIFIED,0,0.0000,0.0000,0.0000,,explicit_city_query_under_uk_target,2026-09-03
manchester_fire_risk_assessment,Manchester,workplace fire risk assessment Manchester,workplace fire risk assessment Manchester,workplace fire risk assessment manchester,workplace fire risk assessment Manchester,0,UNSPECIFIED,0,0.0000,0.0000,0.0000,,explicit_city_query_under_uk_target,2026-09-03
manchester_fire_risk_assessment,Manchester,fire risk assessment quote Manchester,fire risk assessment quote Manchester,fire risk assessment quote manchester,fire risk assessment quote Manchester,0,UNSPECIFIED,0,0.0000,0.0000,0.0000,,explicit_city_query_under_uk_target,2026-09-03
manchester_fire_risk_assessment,Manchester,fire safety consultant Manchester,fire safety consultant Manchester,fire safety consultant manchester,fire safety consultant Manchester,0,UNSPECIFIED,0,0.0000,0.0000,0.0000,,explicit_city_query_under_uk_target,2026-09-03
manchester_asbestos_survey,Manchester,management asbestos survey Manchester,management asbestos survey Manchester,management asbestos survey manchester,management asbestos survey Manchester,0,UNSPECIFIED,0,0.0000,0.0000,0.0000,,explicit_city_query_under_uk_target,2026-09-03
manchester_asbestos_survey,Manchester,refurbishment asbestos survey Manchester,refurbishment asbestos survey Manchester,refurbishment asbestos survey manchester,refurbishment asbestos survey Manchester,0,UNSPECIFIED,0,0.0000,0.0000,0.0000,,explicit_city_query_under_uk_target,2026-09-03
manchester_asbestos_survey,Manchester,demolition asbestos survey Manchester,demolition asbestos survey Manchester,demolition asbestos survey manchester,demolition asbestos survey Manchester,0,UNSPECIFIED,0,0.0000,0.0000,0.0000,,explicit_city_query_under_uk_target,2026-09-03
manchester_asbestos_survey,Manchester,commercial asbestos survey Manchester,commercial asbestos survey Manchester,commercial asbestos survey manchester,commercial asbestos survey Manchester,0,UNSPECIFIED,0,0.0000,0.0000,0.0000,,explicit_city_query_under_uk_target,2026-09-03
manchester_asbestos_survey,Manchester,asbestos testing company Manchester,asbestos testing company Manchester,asbestos testing company manchester,asbestos testing company Manchester,0,UNSPECIFIED,0,0.0000,0.0000,0.0000,,explicit_city_query_under_uk_target,2026-09-03
manchester_asbestos_survey,Manchester,asbestos survey quote Manchester,asbestos survey quote Manchester,asbestos survey quote manchester,asbestos survey quote Manchester,0,UNSPECIFIED,0,0.0000,0.0000,0.0000,,explicit_city_query_under_uk_target,2026-09-03
bristol_drainage,Bristol,collapsed drain repair Bristol,collapsed drain repair Bristol,collapsed drain repair bristol,collapsed drain repair Bristol,0,UNSPECIFIED,0,0.0000,0.0000,0.0000,,explicit_city_query_under_uk_target,2026-09-03
bristol_drainage,Bristol,sewer unblocking Bristol,sewer unblocking Bristol,sewer unblocking bristol,sewer unblocking Bristol,0,UNSPECIFIED,0,0.0000,0.0000,0.0000,,explicit_city_query_under_uk_target,2026-09-03
bristol_drainage,Bristol,blocked sink Bristol,blocked sink Bristol,blocked sink bristol,blocked sink Bristol,0,UNSPECIFIED,0,0.0000,0.0000,0.0000,,explicit_city_query_under_uk_target,2026-09-03
edinburgh_boiler_installation,Edinburgh,vaillant boiler installation Edinburgh,vaillant boiler installation Edinburgh,vaillant boiler installation edinburgh,vaillant boiler installation Edinburgh,0,UNSPECIFIED,0,0.0000,0.0000,0.0000,,explicit_city_query_under_uk_target,2026-09-03
