submitted_keyword,returned_keyword,grouped_submitted_keywords,close_variants,niche,niche_phrase,lane,city,geo_criterion_id,geo_canonical_name,geo_target_type,geo_status,average_monthly_searches,competition,competition_index,average_cpc_gbp,low_top_of_page_gbp,high_top_of_page_gbp,geography_method,observed_at
drain unblocking,drain unblocking,drain unblocking,,drain_unblocking,drain unblocking,urgent_trade,Birmingham,1006524,"Birmingham, West Midlands, England, United Kingdom",City,Active,720,HIGH,100,5.8038,2.9535,10.3977,generic_query_inside_local_geo_target,2026-09-03
emergency locksmith,emergency locksmith,emergency locksmith,,emergency_locksmith,emergency locksmith,urgent_trade,Birmingham,1006524,"Birmingham, West Midlands, England, United Kingdom",City,Active,90,HIGH,89,31.9043,5.9495,14.8479,generic_query_inside_local_geo_target,2026-09-03
roof repair,roof repair,roof repair,,roof_repair,roof repair,planned_trade,Birmingham,1006524,"Birmingham, West Midlands, England, United Kingdom",City,Active,140,HIGH,76,2.9648,2.8726,8.0427,generic_query_inside_local_geo_target,2026-09-03
tree surgeon,tree surgeon,tree surgeon,,tree_surgeon,tree surgeon,planned_trade,Birmingham,1006524,"Birmingham, West Midlands, England, United Kingdom",City,Active,260,HIGH,70,1.2974,1.5212,4.6794,generic_query_inside_local_geo_target,2026-09-03
pest control,pest control,pest control,,pest_control,pest control,urgent_trade,Birmingham,1006524,"Birmingham, West Midlands, England, United Kingdom",City,Active,590,HIGH,90,4.2385,2.3568,6.2275,generic_query_inside_local_geo_target,2026-09-03
house clearance,house clearance,house clearance,,house_clearance,house clearance,planned_trade,Birmingham,1006524,"Birmingham, West Midlands, England, United Kingdom",City,Active,170,HIGH,72,5.3388,0.9734,5.5372,generic_query_inside_local_geo_target,2026-09-03
asbestos survey,asbestos survey,asbestos survey,,asbestos_survey,asbestos survey,specialist_compliance,Birmingham,1006524,"Birmingham, West Midlands, England, United Kingdom",City,Active,110,MEDIUM,61,20.7591,2.9584,70.0103,generic_query_inside_local_geo_target,2026-09-03
fire risk assessment,fire risk assessment,fire risk assessment,,fire_risk_assessment,fire risk assessment,specialist_compliance,Birmingham,1006524,"Birmingham, West Midlands, England, United Kingdom",City,Active,170,HIGH,77,21.7900,4.9023,18.9758,generic_query_inside_local_geo_target,2026-09-03
commercial cleaning,commercial cleaning,commercial cleaning,,commercial_cleaning,commercial cleaning,b2b_recurring,Birmingham,1006524,"Birmingham, West Midlands, England, United Kingdom",City,Active,70,MEDIUM,60,1.7925,1.7363,19.4215,generic_query_inside_local_geo_target,2026-09-03
garage door repair,garage door repair,garage door repair,,garage_door_repair,garage door repair,planned_trade,Birmingham,1006524,"Birmingham, West Midlands, England, United Kingdom",City,Active,110,MEDIUM,59,8.1855,1.6333,9.1271,generic_query_inside_local_geo_target,2026-09-03
resin driveways,resin driveways,resin driveways,,resin_driveways,resin driveways,high_ticket_home,Birmingham,1006524,"Birmingham, West Midlands, England, United Kingdom",City,Active,70,HIGH,98,4.6572,1.4740,8.2323,generic_query_inside_local_geo_target,2026-09-03
boiler installation,boiler installation,boiler installation,,boiler_installation,boiler installation,high_ticket_home,Birmingham,1006524,"Birmingham, West Midlands, England, United Kingdom",City,Active,90,HIGH,78,8.2938,2.7727,13.7546,generic_query_inside_local_geo_target,2026-09-03
spray foam removal,spray foam removal,spray foam removal,,spray_foam_removal,spray foam removal,specialist_remediation,Birmingham,1006524,"Birmingham, West Midlands, England, United Kingdom",City,Active,20,HIGH,78,5.9340,3.9971,22.3524,generic_query_inside_local_geo_target,2026-09-03
loft conversion,loft conversion,loft conversion,,loft_conversion,loft conversion,high_ticket_home,Birmingham,1006524,"Birmingham, West Midlands, England, United Kingdom",City,Active,320,HIGH,67,2.4986,1.1008,3.4843,generic_query_inside_local_geo_target,2026-09-03
bathroom fitters,bathroom fitters,bathroom fitters,,bathroom_fitters,bathroom fitters,high_ticket_home,Birmingham,1006524,"Birmingham, West Midlands, England, United Kingdom",City,Active,140,MEDIUM,60,2.8411,1.5078,3.7966,generic_query_inside_local_geo_target,2026-09-03
emergency plumber,emergency plumber,emergency plumber,,emergency_plumber,emergency plumber,urgent_trade,Manchester,1006912,"Manchester, Manchester, England, United Kingdom",City,Active,170,HIGH,90,4.9271,3.8020,13.4289,generic_query_inside_local_geo_target,2026-09-03
drain unblocking,drain unblocking,drain unblocking,,drain_unblocking,drain unblocking,urgent_trade,Manchester,1006912,"Manchester, Manchester, England, United Kingdom",City,Active,480,HIGH,100,5.6787,3.7197,14.0834,generic_query_inside_local_geo_target,2026-09-03
emergency locksmith,emergency locksmith,emergency locksmith,,emergency_locksmith,emergency locksmith,urgent_trade,Manchester,1006912,"Manchester, Manchester, England, United Kingdom",City,Active,70,HIGH,83,25.7086,6.0009,12.9895,generic_query_inside_local_geo_target,2026-09-03
roof repair,roof repair,roof repair,,roof_repair,roof repair,planned_trade,Manchester,1006912,"Manchester, Manchester, England, United Kingdom",City,Active,70,MEDIUM,58,0.0000,5.2716,12.2122,generic_query_inside_local_geo_target,2026-09-03
tree surgeon,tree surgeon,tree surgeon,,tree_surgeon,tree surgeon,planned_trade,Manchester,1006912,"Manchester, Manchester, England, United Kingdom",City,Active,110,MEDIUM,60,1.2421,1.5042,4.2296,generic_query_inside_local_geo_target,2026-09-03
pest control,pest control,pest control,,pest_control,pest control,urgent_trade,Manchester,1006912,"Manchester, Manchester, England, United Kingdom",City,Active,320,HIGH,82,4.4245,1.8816,4.0003,generic_query_inside_local_geo_target,2026-09-03
house clearance,house clearance,house clearance,,house_clearance,house clearance,planned_trade,Manchester,1006912,"Manchester, Manchester, England, United Kingdom",City,Active,50,HIGH,74,5.7342,1.4847,4.8930,generic_query_inside_local_geo_target,2026-09-03
asbestos survey,asbestos survey,asbestos survey,,asbestos_survey,asbestos survey,specialist_compliance,Manchester,1006912,"Manchester, Manchester, England, United Kingdom",City,Active,90,HIGH,69,23.9681,3.9377,64.1363,generic_query_inside_local_geo_target,2026-09-03
fire risk assessment,fire risk assessment,fire risk assessment,,fire_risk_assessment,fire risk assessment,specialist_compliance,Manchester,1006912,"Manchester, Manchester, England, United Kingdom",City,Active,140,HIGH,74,14.4296,4.7935,19.4299,generic_query_inside_local_geo_target,2026-09-03
commercial cleaning,commercial cleaning,commercial cleaning,,commercial_cleaning,commercial cleaning,b2b_recurring,Manchester,1006912,"Manchester, Manchester, England, United Kingdom",City,Active,40,LOW,26,1.7115,2.2546,8.1894,generic_query_inside_local_geo_target,2026-09-03
garage door repair,garage door repair,garage door repair,,garage_door_repair,garage door repair,planned_trade,Manchester,1006912,"Manchester, Manchester, England, United Kingdom",City,Active,40,MEDIUM,47,4.1805,1.3448,7.6057,generic_query_inside_local_geo_target,2026-09-03
resin driveways,resin driveways,resin driveways,,resin_driveways,resin driveways,high_ticket_home,Manchester,1006912,"Manchester, Manchester, England, United Kingdom",City,Active,50,HIGH,94,3.9832,1.1685,6.0154,generic_query_inside_local_geo_target,2026-09-03
boiler installation,boiler installation,boiler installation,,boiler_installation,boiler installation,high_ticket_home,Manchester,1006912,"Manchester, Manchester, England, United Kingdom",City,Active,50,HIGH,76,5.9367,4.3003,9.7529,generic_query_inside_local_geo_target,2026-09-03
spray foam removal,spray foam removal,spray foam removal,,spray_foam_removal,spray foam removal,specialist_remediation,Manchester,1006912,"Manchester, Manchester, England, United Kingdom",City,Active,10,HIGH,73,11.4728,4.6730,16.8667,generic_query_inside_local_geo_target,2026-09-03
loft conversion,loft conversion,loft conversion,,loft_conversion,loft conversion,high_ticket_home,Manchester,1006912,"Manchester, Manchester, England, United Kingdom",City,Active,170,MEDIUM,55,3.7432,0.9883,3.1854,generic_query_inside_local_geo_target,2026-09-03
bathroom fitters,bathroom fitters,bathroom fitters,,bathroom_fitters,bathroom fitters,high_ticket_home,Manchester,1006912,"Manchester, Manchester, England, United Kingdom",City,Active,70,HIGH,82,1.9880,1.4522,3.4681,generic_query_inside_local_geo_target,2026-09-03
emergency plumber,emergency plumber,emergency plumber,,emergency_plumber,emergency plumber,urgent_trade,Leeds,1006864,"Leeds, West Yorkshire, England, United Kingdom",City,Active,110,HIGH,72,27.6229,7.6509,22.2906,generic_query_inside_local_geo_target,2026-09-03
drain unblocking,drain unblocking,drain unblocking,,drain_unblocking,drain unblocking,urgent_trade,Leeds,1006864,"Leeds, West Yorkshire, England, United Kingdom",City,Active,320,HIGH,100,4.1404,3.5621,10.2723,generic_query_inside_local_geo_target,2026-09-03
emergency locksmith,emergency locksmith,emergency locksmith,,emergency_locksmith,emergency locksmith,urgent_trade,Leeds,1006864,"Leeds, West Yorkshire, England, United Kingdom",City,Active,90,MEDIUM,51,18.2590,4.4600,15.8135,generic_query_inside_local_geo_target,2026-09-03
roof repair,roof repair,roof repair,,roof_repair,roof repair,planned_trade,Leeds,1006864,"Leeds, West Yorkshire, England, United Kingdom",City,Active,70,MEDIUM,65,3.7425,5.3311,8.9176,generic_query_inside_local_geo_target,2026-09-03
tree surgeon,tree surgeon,tree surgeon,,tree_surgeon,tree surgeon,planned_trade,Leeds,1006864,"Leeds, West Yorkshire, England, United Kingdom",City,Active,90,MEDIUM,44,0.9077,1.7642,9.0382,generic_query_inside_local_geo_target,2026-09-03
pest control,pest control,pest control,,pest_control,pest control,urgent_trade,Leeds,1006864,"Leeds, West Yorkshire, England, United Kingdom",City,Active,210,HIGH,85,2.8369,2.1389,4.6161,generic_query_inside_local_geo_target,2026-09-03
house clearance,house clearance,house clearance,,house_clearance,house clearance,planned_trade,Leeds,1006864,"Leeds, West Yorkshire, England, United Kingdom",City,Active,40,HIGH,73,4.4187,1.0575,3.4659,generic_query_inside_local_geo_target,2026-09-03
asbestos survey,asbestos survey,asbestos survey,,asbestos_survey,asbestos survey,specialist_compliance,Leeds,1006864,"Leeds, West Yorkshire, England, United Kingdom",City,Active,50,HIGH,73,15.0676,3.9065,14.2053,generic_query_inside_local_geo_target,2026-09-03
fire risk assessment,fire risk assessment,fire risk assessment,,fire_risk_assessment,fire risk assessment,specialist_compliance,Leeds,1006864,"Leeds, West Yorkshire, England, United Kingdom",City,Active,70,MEDIUM,59,20.0100,5.2166,18.5404,generic_query_inside_local_geo_target,2026-09-03
commercial cleaning,commercial cleaning,commercial cleaning,,commercial_cleaning,commercial cleaning,b2b_recurring,Leeds,1006864,"Leeds, West Yorkshire, England, United Kingdom",City,Active,40,LOW,29,10.8246,5.9459,22.5397,generic_query_inside_local_geo_target,2026-09-03
garage door repair,garage door repair,garage door repair,,garage_door_repair,garage door repair,planned_trade,Leeds,1006864,"Leeds, West Yorkshire, England, United Kingdom",City,Active,70,MEDIUM,52,7.0021,4.4945,13.9735,generic_query_inside_local_geo_target,2026-09-03
resin driveways,resin driveways,resin driveways,,resin_driveways,resin driveways,high_ticket_home,Leeds,1006864,"Leeds, West Yorkshire, England, United Kingdom",City,Active,30,HIGH,80,2.3113,1.2174,3.4169,generic_query_inside_local_geo_target,2026-09-03
boiler installation,boiler installation,boiler installation,,boiler_installation,boiler installation,high_ticket_home,Leeds,1006864,"Leeds, West Yorkshire, England, United Kingdom",City,Active,50,MEDIUM,63,9.8885,5.1375,11.3627,generic_query_inside_local_geo_target,2026-09-03
spray foam removal,spray foam removal,spray foam removal,,spray_foam_removal,spray foam removal,specialist_remediation,Leeds,1006864,"Leeds, West Yorkshire, England, United Kingdom",City,Active,10,HIGH,74,63.1395,9.3305,40.7840,generic_query_inside_local_geo_target,2026-09-03
loft conversion,loft conversion,loft conversion,,loft_conversion,loft conversion,high_ticket_home,Leeds,1006864,"Leeds, West Yorkshire, England, United Kingdom",City,Active,170,MEDIUM,55,2.7463,0.8264,2.8176,generic_query_inside_local_geo_target,2026-09-03
bathroom fitters,bathroom fitters,bathroom fitters,,bathroom_fitters,bathroom fitters,high_ticket_home,Leeds,1006864,"Leeds, West Yorkshire, England, United Kingdom",City,Active,70,MEDIUM,64,3.6885,2.1798,4.6953,generic_query_inside_local_geo_target,2026-09-03
emergency plumber,emergency plumber,emergency plumber,,emergency_plumber,emergency plumber,urgent_trade,Bristol,1006567,"Bristol, England, United Kingdom",City,Active,90,HIGH,71,12.3296,4.2247,28.7576,generic_query_inside_local_geo_target,2026-09-03
drain unblocking,drain unblocking,drain unblocking,,drain_unblocking,drain unblocking,urgent_trade,Bristol,1006567,"Bristol, England, United Kingdom",City,Active,320,HIGH,100,6.3693,4.2213,13.9006,generic_query_inside_local_geo_target,2026-09-03
emergency locksmith,emergency locksmith,emergency locksmith,,emergency_locksmith,emergency locksmith,urgent_trade,Bristol,1006567,"Bristol, England, United Kingdom",City,Active,70,HIGH,68,42.0367,4.5162,21.4367,generic_query_inside_local_geo_target,2026-09-03
roof repair,roof repair,roof repair,,roof_repair,roof repair,planned_trade,Bristol,1006567,"Bristol, England, United Kingdom",City,Active,40,HIGH,89,8.1124,6.2496,10.9595,generic_query_inside_local_geo_target,2026-09-03
tree surgeon,tree surgeon,tree surgeon,,tree_surgeon,tree surgeon,planned_trade,Bristol,1006567,"Bristol, England, United Kingdom",City,Active,90,HIGH,71,7.6935,2.4397,4.8886,generic_query_inside_local_geo_target,2026-09-03
pest control,pest control,pest control,,pest_control,pest control,urgent_trade,Bristol,1006567,"Bristol, England, United Kingdom",City,Active,140,HIGH,75,3.7668,1.5837,6.2970,generic_query_inside_local_geo_target,2026-09-03
house clearance,house clearance,house clearance,,house_clearance,house clearance,planned_trade,Bristol,1006567,"Bristol, England, United Kingdom",City,Active,40,MEDIUM,53,2.4993,0.9390,3.0606,generic_query_inside_local_geo_target,2026-09-03
asbestos survey,asbestos survey,asbestos survey,,asbestos_survey,asbestos survey,specialist_compliance,Bristol,1006567,"Bristol, England, United Kingdom",City,Active,50,HIGH,69,12.2829,3.1947,53.0181,generic_query_inside_local_geo_target,2026-09-03
fire risk assessment,fire risk assessment,fire risk assessment,,fire_risk_assessment,fire risk assessment,specialist_compliance,Bristol,1006567,"Bristol, England, United Kingdom",City,Active,70,HIGH,67,17.0837,6.2110,18.4632,generic_query_inside_local_geo_target,2026-09-03
commercial cleaning,commercial cleaning,commercial cleaning,,commercial_cleaning,commercial cleaning,b2b_recurring,Bristol,1006567,"Bristol, England, United Kingdom",City,Active,30,HIGH,78,57.6060,3.4539,8.3638,generic_query_inside_local_geo_target,2026-09-03
garage door repair,garage door repair,garage door repair,,garage_door_repair,garage door repair,planned_trade,Bristol,1006567,"Bristol, England, United Kingdom",City,Active,40,MEDIUM,65,8.5155,1.9590,8.7444,generic_query_inside_local_geo_target,2026-09-03
resin driveways,resin driveways,resin driveways,,resin_driveways,resin driveways,high_ticket_home,Bristol,1006567,"Bristol, England, United Kingdom",City,Active,30,HIGH,97,4.5247,1.6379,5.7716,generic_query_inside_local_geo_target,2026-09-03
boiler installation,boiler installation,boiler installation,,boiler_installation,boiler installation,high_ticket_home,Bristol,1006567,"Bristol, England, United Kingdom",City,Active,30,MEDIUM,50,17.4403,9.8787,18.7566,generic_query_inside_local_geo_target,2026-09-03
spray foam removal,spray foam removal,spray foam removal,,spray_foam_removal,spray foam removal,specialist_remediation,Bristol,1006567,"Bristol, England, United Kingdom",City,Active,20,HIGH,95,45.7044,11.7597,37.3536,generic_query_inside_local_geo_target,2026-09-03
loft conversion,loft conversion,loft conversion,,loft_conversion,loft conversion,high_ticket_home,Bristol,1006567,"Bristol, England, United Kingdom",City,Active,140,MEDIUM,57,11.0993,3.8477,30.6157,generic_query_inside_local_geo_target,2026-09-03
bathroom fitters,bathroom fitters,bathroom fitters,,bathroom_fitters,bathroom fitters,high_ticket_home,Bristol,1006567,"Bristol, England, United Kingdom",City,Active,50,HIGH,97,5.3427,1.6673,4.6844,generic_query_inside_local_geo_target,2026-09-03
emergency plumber,emergency plumber,emergency plumber,,emergency_plumber,emergency plumber,urgent_trade,Nottingham,1006965,"Nottingham, Nottingham, England, United Kingdom",City,Active,20,HIGH,96,7.6054,3.3682,18.2585,generic_query_inside_local_geo_target,2026-09-03
drain unblocking,drain unblocking,drain unblocking,,drain_unblocking,drain unblocking,urgent_trade,Nottingham,1006965,"Nottingham, Nottingham, England, United Kingdom",City,Active,40,HIGH,90,1.7622,3.3184,9.6594,generic_query_inside_local_geo_target,2026-09-03
emergency locksmith,emergency locksmith,emergency locksmith,,emergency_locksmith,emergency locksmith,urgent_trade,Nottingham,1006965,"Nottingham, Nottingham, England, United Kingdom",City,Active,10,HIGH,86,9.6778,6.4565,10.7542,generic_query_inside_local_geo_target,2026-09-03
roof repair,roof repair,roof repair,,roof_repair,roof repair,planned_trade,Nottingham,1006965,"Nottingham, Nottingham, England, United Kingdom",City,Active,10,HIGH,86,0.0000,0.0000,0.0000,generic_query_inside_local_geo_target,2026-09-03
tree surgeon,tree surgeon,tree surgeon,,tree_surgeon,tree surgeon,planned_trade,Nottingham,1006965,"Nottingham, Nottingham, England, United Kingdom",City,Active,20,MEDIUM,44,0.0000,0.0000,0.0000,generic_query_inside_local_geo_target,2026-09-03
pest control,pest control,pest control,,pest_control,pest control,urgent_trade,Nottingham,1006965,"Nottingham, Nottingham, England, United Kingdom",City,Active,30,MEDIUM,52,1.0936,1.9254,5.9375,generic_query_inside_local_geo_target,2026-09-03
house clearance,house clearance,house clearance,,house_clearance,house clearance,planned_trade,Nottingham,1006965,"Nottingham, Nottingham, England, United Kingdom",City,Active,10,LOW,24,0.0000,0.0000,0.0000,generic_query_inside_local_geo_target,2026-09-03
asbestos survey,asbestos survey,asbestos survey,,asbestos_survey,asbestos survey,specialist_compliance,Nottingham,1006965,"Nottingham, Nottingham, England, United Kingdom",City,Active,10,LOW,32,0.0000,0.0000,0.0000,generic_query_inside_local_geo_target,2026-09-03
fire risk assessment,fire risk assessment,fire risk assessment,,fire_risk_assessment,fire risk assessment,specialist_compliance,Nottingham,1006965,"Nottingham, Nottingham, England, United Kingdom",City,Active,10,HIGH,68,16.8557,3.1492,12.8587,generic_query_inside_local_geo_target,2026-09-03
commercial cleaning,commercial cleaning,commercial cleaning,,commercial_cleaning,commercial cleaning,b2b_recurring,Nottingham,1006965,"Nottingham, Nottingham, England, United Kingdom",City,Active,10,MEDIUM,36,2.9220,0.0000,0.0000,generic_query_inside_local_geo_target,2026-09-03
garage door repair,garage door repair,garage door repair,,garage_door_repair,garage door repair,planned_trade,Nottingham,1006965,"Nottingham, Nottingham, England, United Kingdom",City,Active,40,HIGH,93,8.6831,2.8305,9.0146,generic_query_inside_local_geo_target,2026-09-03
resin driveways,resin driveways,resin driveways,,resin_driveways,resin driveways,high_ticket_home,Nottingham,1006965,"Nottingham, Nottingham, England, United Kingdom",City,Active,10,LOW,0,0.0000,0.0000,0.0000,generic_query_inside_local_geo_target,2026-09-03
boiler installation,boiler installation,boiler installation,,boiler_installation,boiler installation,high_ticket_home,Nottingham,1006965,"Nottingham, Nottingham, England, United Kingdom",City,Active,10,HIGH,100,0.0000,0.0000,0.0000,generic_query_inside_local_geo_target,2026-09-03
spray foam removal,spray foam removal,spray foam removal,,spray_foam_removal,spray foam removal,specialist_remediation,Nottingham,1006965,"Nottingham, Nottingham, England, United Kingdom",City,Active,10,HIGH,100,8.4560,0.0000,0.0000,generic_query_inside_local_geo_target,2026-09-03
loft conversion,loft conversion,loft conversion,,loft_conversion,loft conversion,high_ticket_home,Nottingham,1006965,"Nottingham, Nottingham, England, United Kingdom",City,Active,10,HIGH,67,2.1881,0.8412,3.4850,generic_query_inside_local_geo_target,2026-09-03
bathroom fitters,bathroom fitters,bathroom fitters,,bathroom_fitters,bathroom fitters,high_ticket_home,Nottingham,1006965,"Nottingham, Nottingham, England, United Kingdom",City,Active,10,MEDIUM,64,4.9687,0.0000,0.0000,generic_query_inside_local_geo_target,2026-09-03
emergency plumber,emergency plumber,emergency plumber,,emergency_plumber,emergency plumber,urgent_trade,Southampton,1007089,"Southampton, Southampton, England, United Kingdom",City,Active,20,HIGH,72,0.0000,6.4736,23.2363,generic_query_inside_local_geo_target,2026-09-03
drain unblocking,drain unblocking,drain unblocking,,drain_unblocking,drain unblocking,urgent_trade,Southampton,1007089,"Southampton, Southampton, England, United Kingdom",City,Active,90,HIGH,100,15.4989,6.2618,34.6867,generic_query_inside_local_geo_target,2026-09-03
emergency locksmith,emergency locksmith,emergency locksmith,,emergency_locksmith,emergency locksmith,urgent_trade,Southampton,1007089,"Southampton, Southampton, England, United Kingdom",City,Active,10,HIGH,78,59.4097,5.4885,38.1361,generic_query_inside_local_geo_target,2026-09-03
roof repair,roof repair,roof repair,,roof_repair,roof repair,planned_trade,Southampton,1007089,"Southampton, Southampton, England, United Kingdom",City,Active,10,HIGH,100,26.1654,6.2892,11.9757,generic_query_inside_local_geo_target,2026-09-03
tree surgeon,tree surgeon,tree surgeon,,tree_surgeon,tree surgeon,planned_trade,Southampton,1007089,"Southampton, Southampton, England, United Kingdom",City,Active,10,MEDIUM,67,3.1707,2.1151,8.0238,generic_query_inside_local_geo_target,2026-09-03
pest control,pest control,pest control,,pest_control,pest control,urgent_trade,Southampton,1007089,"Southampton, Southampton, England, United Kingdom",City,Active,40,HIGH,76,5.7131,2.1672,5.2292,generic_query_inside_local_geo_target,2026-09-03
house clearance,house clearance,house clearance,,house_clearance,house clearance,planned_trade,Southampton,1007089,"Southampton, Southampton, England, United Kingdom",City,Active,10,HIGH,73,4.2664,0.7210,3.9439,generic_query_inside_local_geo_target,2026-09-03
asbestos survey,asbestos survey,asbestos survey,,asbestos_survey,asbestos survey,specialist_compliance,Southampton,1007089,"Southampton, Southampton, England, United Kingdom",City,Active,10,MEDIUM,54,5.7115,5.4326,17.7662,generic_query_inside_local_geo_target,2026-09-03
fire risk assessment,fire risk assessment,fire risk assessment,,fire_risk_assessment,fire risk assessment,specialist_compliance,Southampton,1007089,"Southampton, Southampton, England, United Kingdom",City,Active,20,MEDIUM,67,18.0415,5.6338,12.9299,generic_query_inside_local_geo_target,2026-09-03
commercial cleaning,commercial cleaning,commercial cleaning,,commercial_cleaning,commercial cleaning,b2b_recurring,Southampton,1007089,"Southampton, Southampton, England, United Kingdom",City,Active,10,MEDIUM,52,0.9154,2.5469,7.1480,generic_query_inside_local_geo_target,2026-09-03
garage door repair,garage door repair,garage door repair,,garage_door_repair,garage door repair,planned_trade,Southampton,1007089,"Southampton, Southampton, England, United Kingdom",City,Active,10,MEDIUM,51,11.5190,1.9607,6.4495,generic_query_inside_local_geo_target,2026-09-03
resin driveways,resin driveways,resin driveways,,resin_driveways,resin driveways,high_ticket_home,Southampton,1007089,"Southampton, Southampton, England, United Kingdom",City,Active,10,HIGH,95,6.7875,4.6642,6.1943,generic_query_inside_local_geo_target,2026-09-03
boiler installation,boiler installation,boiler installation,,boiler_installation,boiler installation,high_ticket_home,Southampton,1007089,"Southampton, Southampton, England, United Kingdom",City,Active,10,HIGH,100,32.1052,0.0000,0.0000,generic_query_inside_local_geo_target,2026-09-03
spray foam removal,spray foam removal,spray foam removal,,spray_foam_removal,spray foam removal,specialist_remediation,Southampton,1007089,"Southampton, Southampton, England, United Kingdom",City,Active,10,HIGH,78,20.1302,6.7856,14.9156,generic_query_inside_local_geo_target,2026-09-03
loft conversion,loft conversion,loft conversion,,loft_conversion,loft conversion,high_ticket_home,Southampton,1007089,"Southampton, Southampton, England, United Kingdom",City,Active,20,MEDIUM,49,5.4736,1.6423,7.5700,generic_query_inside_local_geo_target,2026-09-03
bathroom fitters,bathroom fitters,bathroom fitters,,bathroom_fitters,bathroom fitters,high_ticket_home,Southampton,1007089,"Southampton, Southampton, England, United Kingdom",City,Active,10,HIGH,71,6.9012,1.8573,3.4124,generic_query_inside_local_geo_target,2026-09-03
