submitted_keyword,returned_keyword,grouped_submitted_keywords,close_variants,niche,niche_phrase,lane,intent_variant,average_monthly_searches,competition,competition_index,average_cpc_gbp,low_top_of_page_gbp,high_top_of_page_gbp,geography_method,observed_at
dental implants,dental implants,dental implants,,dental_implants,dental implants,regulated_health,generic_uk,22200,MEDIUM,62,7.0648,1.6768,8.1796,generic_query_under_uk_target,2026-09-03
dental implants near me,dental implants near me,dental implants near me,,dental_implants,dental implants,regulated_health,near_me_uk,6600,MEDIUM,45,10.8918,2.8430,13.2322,near_me_query_under_uk_target,2026-09-03
private adhd assessment,private adhd assessment,private adhd assessment,,private_adhd_assessment,private adhd assessment,regulated_health,generic_uk,5400,HIGH,82,6.7693,2.2551,6.5916,generic_query_under_uk_target,2026-09-03
private adhd assessment near me,private adhd assessment near me,private adhd assessment near me,,private_adhd_assessment,private adhd assessment,regulated_health,near_me_uk,480,HIGH,69,5.5202,2.0703,6.8313,near_me_query_under_uk_target,2026-09-03
mortgage broker,mortgage broker,mortgage broker,,mortgage_broker,mortgage broker,regulated_finance,generic_uk,18100,MEDIUM,65,18.9856,6.3504,16.2939,generic_query_under_uk_target,2026-09-03
mortgage broker near me,mortgage broker near me,mortgage broker near me,,mortgage_broker,mortgage broker,regulated_finance,near_me_uk,5400,MEDIUM,53,14.1055,4.6346,13.7238,near_me_query_under_uk_target,2026-09-03
personal injury solicitor,personal injury solicitor,personal injury solicitor,,personal_injury_solicitor,personal injury solicitor,regulated_legal,generic_uk,2400,MEDIUM,63,48.5684,14.8780,45.1368,generic_query_under_uk_target,2026-09-03
personal injury solicitor near me,personal injury solicitor near me,personal injury solicitor near me,,personal_injury_solicitor,personal injury solicitor,regulated_legal,near_me_uk,210,MEDIUM,35,20.9861,9.3835,39.4679,near_me_query_under_uk_target,2026-09-03
funeral directors,funeral directors,funeral directors,,funeral_directors,funeral directors,sensitive_service,generic_uk,12100,MEDIUM,40,12.9923,4.2411,20.7182,generic_query_under_uk_target,2026-09-03
funeral directors near me,funeral directors near me,funeral directors near me,,funeral_directors,funeral directors,sensitive_service,near_me_uk,9900,MEDIUM,53,12.0626,3.4185,20.7761,near_me_query_under_uk_target,2026-09-03
self storage,self storage,self storage,,self_storage,self storage,local_inventory,generic_uk,22200,MEDIUM,35,12.7116,5.0202,13.9774,generic_query_under_uk_target,2026-09-03
self storage near me,self storage near me,self storage near me,,self_storage,self storage,local_inventory,near_me_uk,22200,MEDIUM,56,10.1055,3.7127,13.2921,near_me_query_under_uk_target,2026-09-03
cctv installation,cctv installation,cctv installation,,cctv_installation,cctv installation,specialist_installation,generic_uk,2900,MEDIUM,60,6.9577,2.1318,11.9021,generic_query_under_uk_target,2026-09-03
cctv installation near me,cctv installation near me,cctv installation near me,,cctv_installation,cctv installation,specialist_installation,near_me_uk,4400,MEDIUM,64,5.5105,1.8980,11.8601,near_me_query_under_uk_target,2026-09-03
scaffolding,scaffolding,scaffolding,,scaffolding,scaffolding,specialist_trade,generic_uk,33100,HIGH,100,2.1303,1.2977,5.5350,generic_query_under_uk_target,2026-09-03
scaffolding near me,scaffolding near me,scaffolding near me,,scaffolding,scaffolding,specialist_trade,near_me_uk,6600,MEDIUM,52,5.1595,1.4911,6.8919,near_me_query_under_uk_target,2026-09-03
resin driveways,resin driveways,resin driveways,,resin_driveways,resin driveways,high_ticket_home,generic_uk,3600,HIGH,100,5.1160,1.1970,5.7743,generic_query_under_uk_target,2026-09-03
resin driveways near me,resin driveways near me,resin driveways near me,,resin_driveways,resin driveways,high_ticket_home,near_me_uk,1900,HIGH,86,5.7583,2.1573,12.5757,near_me_query_under_uk_target,2026-09-03
boiler installation,boiler installation,boiler installation,,boiler_installation,boiler installation,high_ticket_home,generic_uk,4400,MEDIUM,61,13.8849,4.9046,18.5141,generic_query_under_uk_target,2026-09-03
boiler installation near me,boiler installation near me,boiler installation near me,,boiler_installation,boiler installation,high_ticket_home,near_me_uk,4400,MEDIUM,45,7.3819,5.9443,20.4508,near_me_query_under_uk_target,2026-09-03
heat pump installer,heat pump installer,heat pump installer,,heat_pump_installer,heat pump installer,high_ticket_home,generic_uk,2900,MEDIUM,64,6.8292,1.9990,8.2954,generic_query_under_uk_target,2026-09-03
heat pump installer near me,heat pump installer near me,heat pump installer near me,,heat_pump_installer,heat pump installer,high_ticket_home,near_me_uk,390,LOW,17,5.4484,5.0645,12.6373,near_me_query_under_uk_target,2026-09-03
spray foam removal,spray foam removal,spray foam removal,,spray_foam_removal,spray foam removal,specialist_remediation,generic_uk,1600,HIGH,78,26.0733,5.8475,25.2589,generic_query_under_uk_target,2026-09-03
spray foam removal near me,spray foam removal near me,spray foam removal near me,,spray_foam_removal,spray foam removal,specialist_remediation,near_me_uk,320,HIGH,79,38.4614,13.5375,45.9492,near_me_query_under_uk_target,2026-09-03
loft conversion,loft conversion,loft conversion,,loft_conversion,loft conversion,high_ticket_home,generic_uk,14800,MEDIUM,56,5.2858,1.2027,5.8941,generic_query_under_uk_target,2026-09-03
loft conversion near me,loft conversion near me,loft conversion near me,,loft_conversion,loft conversion,high_ticket_home,near_me_uk,2900,MEDIUM,52,7.2902,1.6437,11.2790,near_me_query_under_uk_target,2026-09-03
bathroom fitters,bathroom fitters,bathroom fitters,,bathroom_fitters,bathroom fitters,high_ticket_home,generic_uk,6600,HIGH,68,4.0513,1.7067,5.8449,generic_query_under_uk_target,2026-09-03
bathroom fitters near me,bathroom fitters near me,bathroom fitters near me,,bathroom_fitters,bathroom fitters,high_ticket_home,near_me_uk,8100,HIGH,70,3.6837,1.7973,6.5989,near_me_query_under_uk_target,2026-09-03
water damage restoration,water damage restoration,water damage restoration,,water_damage_restoration,water damage restoration,urgent_remediation,generic_uk,1900,LOW,7,8.6970,2.9836,18.2064,generic_query_under_uk_target,2026-09-03
water damage restoration near me,water damage restoration near me,water damage restoration near me,,water_damage_restoration,water damage restoration,urgent_remediation,near_me_uk,880,LOW,2,18.1030,3.3246,15.8769,near_me_query_under_uk_target,2026-09-03
appliance repair,appliance repair,appliance repair,,appliance_repair,appliance repair,planned_trade,generic_uk,4400,MEDIUM,33,2.2463,0.9608,3.4800,generic_query_under_uk_target,2026-09-03
appliance repair near me,appliance repair near me,appliance repair near me,,appliance_repair,appliance repair,planned_trade,near_me_uk,5400,MEDIUM,46,2.0130,0.7355,2.6308,near_me_query_under_uk_target,2026-09-03
conservatory roof replacement,conservatory roof replacement,conservatory roof replacement,,conservatory_roof_replacement,conservatory roof replacement,high_ticket_home,generic_uk,9900,HIGH,98,12.8852,3.5867,15.5248,generic_query_under_uk_target,2026-09-03
conservatory roof replacement near me,conservatory roof replacement near me,conservatory roof replacement near me,,conservatory_roof_replacement,conservatory roof replacement,high_ticket_home,near_me_uk,1000,HIGH,90,11.1224,4.4549,19.4130,near_me_query_under_uk_target,2026-09-03
damp proofing,damp proofing,damp proofing,,damp_proofing,damp proofing,high_ticket_home,generic_uk,0,UNSPECIFIED,0,0.0000,0.0000,0.0000,generic_query_under_uk_target,2026-09-03
damp proofing near me,damp proofing near me,damp proofing near me,,damp_proofing,damp proofing,high_ticket_home,near_me_uk,0,UNSPECIFIED,0,0.0000,0.0000,0.0000,near_me_query_under_uk_target,2026-09-03
