research_segment,submitted_identity,company_number,registered_name,company_status,sic_codes,accounts_period_end,accounts_type,latest_accounts_format,turnover_gbp,gross_profit_gbp,operating_profit_gbp,profit_before_tax_gbp,profit_after_tax_gbp,cash_gbp,net_assets_gbp,average_employees,accounts_extraction_method,account_note,identity_state,identity_source_url,identity_source_note,companies_house_profile_url,accounts_filing_url,parser_warning,evidence_class,observed_at
manchester_fire_risk,Jackson Fire and Security UK Ltd,08429080,JACKSON FIRE & SECURITY UK LTD,active,96090,2025-11-30,total-exemption-full,structured,,,,,,296758,535717,1,repository structured-account parser,Turnover and profit may be absent because many small-company filings do not disclose a profit-and-loss account.,related-entity ambiguity: do not count as a separate Jackson buyer without group resolution,https://manchester.jacksonfire.co.uk/,related Jackson group service site; its footer identifies company 03893399 rather than this entity,https://find-and-update.company-information.service.gov.uk/company/08429080,https://find-and-update.company-information.service.gov.uk/company/08429080/filing-history,Turnover was not disclosed in the structured accounts.,observed registry filing with stated extraction method,2026-09-03
manchester_fire_risk,Pyro Fire Services Ltd,10881187,PYRO FIRE SERVICES LTD,active,84250,2025-03-31,audit-exemption-subsidiary,pdf,,,,,,,,,no structured financial metrics available,Turnover and profit may be absent because many small-company filings do not disclose a profit-and-loss account.,"resolved to registry entity; service-site match is supporting evidence, not proof of current lead-buying intent",https://www.pyrofire.co.uk/manchester/,first-party Manchester service page,https://find-and-update.company-information.service.gov.uk/company/10881187,https://find-and-update.company-information.service.gov.uk/company/10881187/filing-history,The latest retrieved accounts were not available as structured XBRL/iXBRL metrics.,observed registry filing with stated extraction method,2026-09-03
manchester_fire_risk,Ashton Fire Limited,12044770,ASHTON FIRE LTD,active,70229|71122,2025-06-30,total-exemption-full,structured,,,,,,1736816,2468442,76,repository structured-account parser,Turnover and profit may be absent because many small-company filings do not disclose a profit-and-loss account.,"resolved to registry entity; service-site match is supporting evidence, not proof of current lead-buying intent",https://ashtonfire.com/contact/,first-party contact page; legal identity cross-checked in the privacy notice,https://find-and-update.company-information.service.gov.uk/company/12044770,https://find-and-update.company-information.service.gov.uk/company/12044770/filing-history,Turnover was not disclosed in the structured accounts. | Employee count used the displayed integral value because the filing supplied an inconsistent negative iXBRL scale.,observed registry filing with stated extraction method,2026-09-03
manchester_fire_risk,Fire Safety Risk Assessment Consultancy Limited,10736887,FIRE SAFETY RISK ASSESSMENT CONSULTANCY LIMITED,active,70229,2025-04-30,total-exemption-full,structured,,,,,,315895,142819,2,repository structured-account parser,Turnover and profit may be absent because many small-company filings do not disclose a profit-and-loss account.,"resolved to registry entity; service-site match is supporting evidence, not proof of current lead-buying intent",https://firesafetyriskassessmentmanchester.co.uk/about-us/,first-party about page,https://find-and-update.company-information.service.gov.uk/company/10736887,https://find-and-update.company-information.service.gov.uk/company/10736887/filing-history,Turnover was not disclosed in the structured accounts.,observed registry filing with stated extraction method,2026-09-03
bristol_drainage,Bonds Utilities Services Ltd,05190203,BOND'S UTILITIES SERVICES LTD,active,37000,2025-07-31,total-exemption-full,structured,,,,,,16222,236352,13,repository structured-account parser,Turnover and profit may be absent because many small-company filings do not disclose a profit-and-loss account.,"resolved to registry entity; service-site match is supporting evidence, not proof of current lead-buying intent",https://www.bondsutilities.co.uk/,first-party service website,https://find-and-update.company-information.service.gov.uk/company/05190203,https://find-and-update.company-information.service.gov.uk/company/05190203/filing-history,Turnover was not disclosed in the structured accounts.,observed registry filing with stated extraction method,2026-09-03
bristol_drainage,Trent's South West Ltd,08566297,TRENT'S (SOUTH WEST) LTD,active,43999,2025-06-30,unaudited-abridged,structured,,,,,,632501,1809199,37,repository structured-account parser,Turnover and profit may be absent because many small-company filings do not disclose a profit-and-loss account.,"resolved to registry entity; service-site match is supporting evidence, not proof of current lead-buying intent",https://www.trentsdrains.co.uk/,first-party service website,https://find-and-update.company-information.service.gov.uk/company/08566297,https://find-and-update.company-information.service.gov.uk/company/08566297/filing-history,Turnover was not disclosed in the structured accounts.,observed registry filing with stated extraction method,2026-09-03
bristol_drainage,Maintain-A-Drain South West Limited,08031495,MAINTAIN-A-DRAIN (SOUTH WEST) LIMITED,active,99999,2025-04-30,dormant,structured,,,,,,,100,,repository structured-account parser,Turnover and profit may be absent because many small-company filings do not disclose a profit-and-loss account.,identity mismatch: dormant named company and active website; trading entity unknown,https://www.maintainadrain.co.uk/,"active trading website found, but its legal-entity connection was not established and the named company files dormant accounts",https://find-and-update.company-information.service.gov.uk/company/08031495,https://find-and-update.company-information.service.gov.uk/company/08031495/filing-history,Turnover was not disclosed in the structured accounts.,observed registry filing with stated extraction method,2026-09-03
edinburgh_boilers,The Edinburgh Boiler Company Ltd,SC516132,THE EDINBURGH BOILER COMPANY LTD,active,43220,2025-03-31,total-exemption-full,structured,,,,,,170378,118673,38,repository structured-account parser,Turnover and profit may be absent because many small-company filings do not disclose a profit-and-loss account.,"resolved to registry entity; service-site match is supporting evidence, not proof of current lead-buying intent",https://theedinburghboilercompany.com/about-us/,first-party about page,https://find-and-update.company-information.service.gov.uk/company/SC516132,https://find-and-update.company-information.service.gov.uk/company/SC516132/filing-history,Turnover was not disclosed in the structured accounts.,observed registry filing with stated extraction method,2026-09-03
edinburgh_boilers,City Technical Services UK Ltd,SC287172,CITY TECHNICAL SERVICES (UK) LIMITED,active,33190,2024-12-31,medium,structured,27037416,5561133,1120687,1120687,832549,4086039,3590082,218,repository structured-account parser,Turnover and profit may be absent because many small-company filings do not disclose a profit-and-loss account.,"resolved to registry entity; service-site match is supporting evidence, not proof of current lead-buying intent",https://citytechnical.co.uk/products/boilers/boiler-installation-edinburgh/,first-party Edinburgh boiler page,https://find-and-update.company-information.service.gov.uk/company/SC287172,https://find-and-update.company-information.service.gov.uk/company/SC287172/filing-history,,observed registry filing with stated extraction method,2026-09-03
edinburgh_boilers,Adams Brothers Plumbers and Heating Engineers Ltd,SC038547,ADAMS BROTHERS (PLUMBERS & HEATING ENGINEERS) LIMITED,active,43220,2025-05-31,total-exemption-full,structured,,,,,1096,10401,18748,3,repository structured-account parser,Turnover and profit may be absent because many small-company filings do not disclose a profit-and-loss account.,"resolved to registry entity; service-site match is supporting evidence, not proof of current lead-buying intent",https://www.adamsbros.co.uk/,first-party service website,https://find-and-update.company-information.service.gov.uk/company/SC038547,https://find-and-update.company-information.service.gov.uk/company/SC038547/filing-history,Turnover was not disclosed in the structured accounts.,observed registry filing with stated extraction method,2026-09-03
edinburgh_boilers,Smart Gas Solutions Group Limited,SC626257,SMARTGAS SOLUTIONS GROUP LIMITED,active,43220,2025-03-31,unaudited-abridged,structured,,,,,,135817,94548,21,repository structured-account parser,Turnover and profit may be absent because many small-company filings do not disclose a profit-and-loss account.,"resolved to registry entity; service-site match is supporting evidence, not proof of current lead-buying intent",https://smartgassolutions.co.uk/boilers/,first-party boiler page,https://find-and-update.company-information.service.gov.uk/company/SC626257,https://find-and-update.company-information.service.gov.uk/company/SC626257/filing-history,Turnover was not disclosed in the structured accounts.,observed registry filing with stated extraction method,2026-09-03
edinburgh_boilers,Contract Heating Ltd,SC230095,CONTRACT HEATING LIMITED,active,43220,2025-05-31,total-exemption-full,structured,,,,,,304374,290826,32,repository structured-account parser,Turnover and profit may be absent because many small-company filings do not disclose a profit-and-loss account.,"resolved to registry entity; service-site match is supporting evidence, not proof of current lead-buying intent",https://contractheating.co.uk/,first-party service website,https://find-and-update.company-information.service.gov.uk/company/SC230095,https://find-and-update.company-information.service.gov.uk/company/SC230095/filing-history,Turnover was not disclosed in the structured accounts. | Employee count used the displayed integral value because the filing supplied an inconsistent negative iXBRL scale.,observed registry filing with stated extraction method,2026-09-03
edinburgh_boilers,Reliaheat Ltd,SC651324,RELIAHEAT LTD,active,43220,2026-01-31,total-exemption-full,structured,,,,,,53600,37822,1,repository structured-account parser,Turnover and profit may be absent because many small-company filings do not disclose a profit-and-loss account.,"resolved to registry entity; service-site match is supporting evidence, not proof of current lead-buying intent",https://www.reliaheat.co.uk/boiler-installation-edinburgh/,first-party Edinburgh boiler page,https://find-and-update.company-information.service.gov.uk/company/SC651324,https://find-and-update.company-information.service.gov.uk/company/SC651324/filing-history,Turnover was not disclosed in the structured accounts.,observed registry filing with stated extraction method,2026-09-03
manchester_fire_risk,Jackson Fire and Security Ltd identified by Manchester website footer,03893399,JACKSON (FIRE & SECURITY) LTD,active,84250|96090,2025-11-30,total-exemption-full,structured,,,,,,379790,593002,27,repository structured-account parser,Turnover and profit may be absent because many small-company filings do not disclose a profit-and-loss account.,website-identified Jackson entity; group relationship still needs buyer-side confirmation,https://manchester.jacksonfire.co.uk/,the Manchester site footer identifies this company number,https://find-and-update.company-information.service.gov.uk/company/03893399,https://find-and-update.company-information.service.gov.uk/company/03893399/filing-history,Turnover was not disclosed in the structured accounts.,observed registry filing with stated extraction method,2026-09-03
