operator,layer,primary_user,customer_acquisition_product,revenue_model,public_price_signal,verification_or_quality_signal,strategic_read,evidence_class,source_id
BookaBuilderUK,trades_marketplace_and_software,homeowner_and_trade,"Profiles local leads quotes invoices and payments",free_profile_plus_membership_and_payments,"Free entry; paid memberships described","Profile and platform terms identify Palace Media Limited","Competes on bundled workflow as well as leads but filed performance was not established",observed,S61|S94
HaMuch,rate_comparison_and_marketplace,consumer_and_trade,"Indicative rates profiles job posting and membership",membership_and_lead_access,"Public rate comparison; membership amount not retained","Terms and contact pages disclose conflicting historic and current company identities","Useful price-content archetype but legal-identity drift is a diligence warning",observed,S62|S93
Airtasker UK,transaction_marketplace,consumer_and_tasker,"Posted tasks offers booking payment and dispute process",customer_connection_fee_plus_tasker_percentage_plus_membership,"Customer connection fee 4.95 to 39.95 GBP; tasker service fee 12.5 to 20 percent plus tax; customer membership 49.90 GBP yearly","On-platform payment reviews and rules","Transaction take-rate captures more value but requires support liquidity payments and loss funding",observed,S63|S66|S91|S92
Taskrabbit,transaction_marketplace,consumer_and_tasker,"Bookable local tasks and on-platform payment",service_fee_and_trust_fee,"Category and market dependent","Identity checks platform reviews and payment","Closest horizontal transaction analogue; brand demand is material but category economics remain unknown",observed,D20
TrustMark,government_endorsed_quality_scheme,consumer_and_registered_business,"Searchable registered-business scheme",scheme_and_provider_membership,"Not assessed","Government-endorsed quality framework delivered through scheme providers","A trust and verification input rather than a lead marketplace",observed,S68
Watts Marketing,direct_appointment_supplier,home_improvement_installer,"Exclusive qualified booked appointments in six home-improvement trades",contracted_appointment_supply,"Quote-led","Phone qualification and claimed return policy","Demonstrates that buyers purchase an appointment standard not just traffic",observed,S69
Exclusive Home Leads,direct_lead_supplier,home_improvement_installer,"Exclusive leads across boilers insulation solar and construction",managed_lead_generation,"Quote-led","First-party exclusivity claim","A small-provider archetype; public claims require buyer references and cohort data",observed,S70
Sales Fuel,direct_lead_supplier,home_improvement_installer,"Exclusive pre-qualified home-improvement leads",lead_supply,"Quote-led","Claims first-30-day exclusivity and qualification","Illustrates vertical breadth but not independently verified outcome quality",observed,S71
Trade Leads UK,direct_lead_supplier,contractor_and_trade,"Human-verified construction opportunities by trade and geography",pay_as_you_go_or_monthly,"From 19 GBP per lead","Human verification and example packs","Public tariff supplies a useful floor but not a like-for-like price for consumer emergency calls",observed,S72
LeadZen,managed_acquisition_agency,home_improvement_installer,"Advertising qualification appointment setting and follow-up",retainer_or_package,"Quote-led; public guarantee language","Exclusive price-qualified lead claim","Sells an operating system and result promise rather than an isolated lead",observed,S73
ElevateOne,managed_acquisition_agency,trade_business,"Exclusive area campaigns qualification and automated follow-up",retainer_or_performance_package,"Quote-led","One business per trade per area and budget qualification claim","Territory exclusivity moves competition from lead price to capacity and delivery proof",observed,S74
BuildSprout,trade_marketing_agency,trade_business,"Websites SEO Google Ads and lead generation",project_and_retainer,"Quote-led","Trade-specialist positioning","Competes with a rank-and-rent operator for the same contractor acquisition budget",observed,S75
Strive Online,home_improvement_marketing_agency,home_improvement_business,"Exclusive postcode campaigns and managed acquisition",retainer_or_performance_package,"Quote-led","One business per postcode claim","An agency substitute means a lead portfolio is not competing only against directories",observed,S76
BuildBright Leads,appointment_supplier,home_improvement_business,"Qualified leads appointment setting and calendar booking",managed_lead_generation,"Quote-led","Qualification and booked-appointment claim","Moves value downstream toward attended sales conversations",observed,S77
Tradello,procurement_intelligence,commercial_contractor,"Public contract records normalised into trade-specific opportunity packs",pay_per_opportunity,"24.99 GBP per lead pack","Published procurement source and no personal-data sale claim","A distinct B2B route: monetise research and route-to-buyer rather than homeowner forms",observed,S78
FatRank,portfolio_operator_and_educator,SEO_operator,"Rank-and-rent case studies interviews and services",education_services_and_owned_assets,"Case-specific","Public case narratives with anonymous commercial detail","Important practitioner source but commercially interested and unaudited",observed,S12|S14
Rank and Rent UK,education_vendor,SEO_operator,"Training and lead-site model guidance",course_or_membership,"Low-cost promoter framing observed","No audited representative benchmark found","Evidence of discourse and acquisition promises not outcome distribution",observed,S18
Chameleon Overlay,SEO_agency_and_operator,SEO_operator,"Local SEO playbook and reported site case",agency_services,"Self-reported low-cost case","Tactic included virtual-office profile use","Useful failure-warning because a promoted tactic conflicts with current Google eligibility rules",observed,S15
Lead Smart,publisher_network,lead_site_operator,"Call tracking buyer network and publisher monetisation",revenue_share_or_per_lead,"Not retained","Public twenty-day publisher funnel","Provides operational funnel detail but the case is US and network-selected",observed,S17
CallRail,measurement_infrastructure,lead_operator_and_buyer,"Call form and conversation attribution",software_subscription_plus_usage,"UK plans 60 110 170 and 220 GBP monthly plus usage","UK number KYC and call-recording controls","Attribution cost is material and belongs in contribution economics",observed,S79
LeadByte,routing_infrastructure,lead_operator,"Lead validation buyer rules budgets delivery and returns",software_subscription,"Quote-led","Contract-based routing and delivery logic","Illustrates the data model required once more than one buyer or route exists",observed,S80
WhatConverts,measurement_infrastructure,lead_operator_and_agency,"Calls forms chats transaction and lead-value attribution",software_subscription,"Public price varies by plan","Lead qualification and source attribution","Useful substitute or complement to CallRail; tooling does not create buyer demand",observed,S81
