operator,archetype,home_market,geographic_shape,consumer_job,primary_payer,observed_revenue_layers,observed_price_or_scale,current_evidence,evidence_class,source_ids,commercial_read,known_unknown
GO Mammoth,managed social sports leagues,UK multi-city,London-led venue network,Join an organised recurring team-sport season alone or with friends,player; team; employer,prepaid league season; fitness; corporate programmes,"individual from £7 weekly on category page; current basketball example £12.20 weekly",live product pricing and terms,observed first-party,S135;S136,Completed fixtures and bounded seasons create recurrence before membership,venue margin season fill refunds and player retention
Airbnb Experiences,travel experience marketplace,global,host-generated supply,Book distinctive hosted local activities,host; guest,experience service fee,typically 20% host fee,live help,observed first-party,S121,Global demand and trust support a high take rate,host repeat local non-travel demand and profitability
Eatwith,social dining marketplace,global,host-generated dining experiences,Book social meals hosted by locals,guest; host,commission,30% added to host price,live help,observed first-party,S122,High take rate reflects payment support insurance and discovery,host concentration repeat and local liquidity
ClassBento,creative-class marketplace,UK/global,15k-plus claimed UK experiences,Book craft cooking art and wellbeing workshops,consumer; employer; teacher,marketplace fee; corporate; private; gift cards,corporate buyer sees zero fees and no contract,live product,observed first-party claim,S123;S124,Creative supply gains B2C B2B and gifting distribution,teacher fee take rate and repeat
Social Pottery,vertically integrated craft experience,UK regional,five studios with another announced,Pause create and connect through ceramics,consumer; employer,painting; making; courses; studio membership; private and corporate; gifts,"courses from £260; studio access from £15/hour",live product and pricing,observed first-party,S125;S126,Own venue captures more spend and repeat but adds fixed-cost exposure,studio occupancy gross margin lease and expansion economics
Pottery Cafe,craft venue,UK/London,studio locations,Paint a keepsake in a social setting,consumer; group,studio fee; ceramics; parties; private room; refreshments,"adult party £37.95; studio fee plus item",live pricing,observed first-party,S127,Multiple revenue components make a simple activity economically denser,material margin occupancy and labour
Brush Party,mobile paint and sip,UK,venue and virtual delivery,Create socially without needing a permanent studio,consumer; employer,tickets; private events; virtual; material kits,"virtual from £180 plus VAT for 12; materials from £22 per person",live pricing,observed first-party,S128,Portable format avoids leases and travels into B2B,live event contribution and host network
StartPlaying,professional tabletop marketplace,global online,distributed game masters,Join reliable hosted role-playing games,player; game master,15% booking fee; player service fee,"average session price $15-$20 stated",live help,observed first-party,S129,Paid facilitation converts hobby expertise into recurring small cohorts,offline portability and GM utilisation
Otter Chaos,hobby hospitality venue,UK/London,single Brixton venue,Play board games and facilitated Dungeons and Dragons with food and drink,visitor; group,table fee; food and drink; hosted Dungeons and Dragons,"£2 per adult hour or £5 for three hours",live venue site and pricing,observed first-party,S137,Hobby gives the venue a conversation script and repeat reason,food margin occupancy facilitator economics and event profitability
Adventure Solos,high-ticket friendship cohort,UK/Manchester,local cohort plus destination events,Build a friendship group through repeated adventures,member,12-month subscription; events; merchandise,"£195 monthly for 12 months and 9-10 events",live product and pricing,observed first-party,S105,Outcome bundle creates upfront commitment and recurring cohort exposure,delivery liability cohort completion and refund experience
DEIGHT,singles social membership,UK regional,Nottingham and Birmingham,Maintain a real-life social calendar with other singles,member; attendee,membership; event passes; premium experience margin,"£29.99 monthly; £20 standard pass; premium £39-£95",live product and pricing,observed first-party,S106,Free regular events make membership tangible while premium events lift yield,member utilisation balance retention and host capacity
