returned_keyword,close_variants,matched_submitted_keywords,matched_formats,average_monthly_searches,competition,competition_index,average_cpc_gbp,low_top_of_page_gbp,high_top_of_page_gbp,monthly_search_volumes,geography,geo_criterion,language,language_criterion,network,observed_at,interpretation
bowling alley near me,,bowling alley near me,Competitive experiences: Bowling,33100,LOW,23,0.2952,0.2792,1.0689,2025-august:33100|2025-september:27100|2025-october:33100|2025-november:27100|2025-december:27100|2026-january:33100|2026-february:40500|2026-march:33100|2026-april:33100|2026-may:27100|2026-june:27100|2026-july:27100,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
crazy golf near me,,crazy golf near me,Competitive experiences: Crazy golf,33100,LOW,24,0.4127,0.3051,1.0239,2025-august:90500|2025-september:33100|2025-october:33100|2025-november:18100|2025-december:14800|2026-january:22200|2026-february:27100|2026-march:27100|2026-april:40500|2026-may:40500|2026-june:27100|2026-july:40500,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
pottery painting,,pottery painting,Craft and making: Pottery painting,33100,LOW,18,0.3859,0.3625,0.9578,2025-august:40500|2025-september:27100|2025-october:33100|2025-november:27100|2025-december:22200|2026-january:33100|2026-february:40500|2026-march:33100|2026-april:27100|2026-may:22200|2026-june:22200|2026-july:33100,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
theatre near me,,theatre near me,Live culture: Theatre,33100,LOW,28,0.6414,0.2275,1.1914,2025-august:33100|2025-september:40500|2025-october:40500|2025-november:40500|2025-december:40500|2026-january:40500|2026-february:33100|2026-march:33100|2026-april:27100|2026-may:27100|2026-june:27100|2026-july:27100,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
spa breaks uk,,spa breaks uk,"Wellness, spa and retreats: Spa breaks",27100,HIGH,100,1.2467,0.3745,3.2537,2025-august:33100|2025-september:33100|2025-october:27100|2025-november:22200|2025-december:27100|2026-january:33100|2026-february:27100|2026-march:27100|2026-april:22200|2026-may:27100|2026-june:22200|2026-july:22200,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
yoga classes near me,,yoga classes near me,Fitness and mind-body: Yoga classes,27100,LOW,21,1.3680,0.5042,1.7790,2025-august:27100|2025-september:27100|2025-october:27100|2025-november:22200|2025-december:18100|2026-january:33100|2026-february:22200|2026-march:27100|2026-april:27100|2026-may:27100|2026-june:22200|2026-july:27100,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
horse riding near me,,horse riding near me,Nature and animals: Horse riding,22200,LOW,11,1.0619,0.1951,2.0673,2025-august:40500|2025-september:22200|2025-october:22200|2025-november:18100|2025-december:14800|2026-january:18100|2026-february:18100|2026-march:22200|2026-april:27100|2026-may:27100|2026-june:22200|2026-july:27100,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
live music near me,,live music near me,Live culture: Live music,22200,LOW,23,0.2455,0.3074,1.4098,2025-august:33100|2025-september:27100|2025-october:27100|2025-november:22200|2025-december:22200|2026-january:22200|2026-february:22200|2026-march:22200|2026-april:22200|2026-may:27100|2026-june:22200|2026-july:22200,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
paintball near me,paintballing near me,paintball near me|paintballing near me,Competitive experiences: Paintball,22200,MEDIUM,41,0.9365,0.3968,0.8320,2025-august:33100|2025-september:22200|2025-october:22200|2025-november:18100|2025-december:14800|2026-january:22200|2026-february:18100|2026-march:22200|2026-april:22200|2026-may:22200|2026-june:18100|2026-july:22200,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
pilates classes near me,,pilates classes near me,Fitness and mind-body: Pilates classes,18100,LOW,28,1.2947,0.5117,1.4499,2025-august:18100|2025-september:18100|2025-october:18100|2025-november:14800|2025-december:12100|2026-january:22200|2026-february:18100|2026-march:18100|2026-april:18100|2026-may:18100|2026-june:14800|2026-july:18100,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
tai chi near me,,tai chi near me,Fitness and mind-body: Tai chi,18100,LOW,14,1.7751,0.4084,1.5869,2025-august:33100|2025-september:27100|2025-october:18100|2025-november:14800|2025-december:12100|2026-january:27100|2026-february:14800|2026-march:14800|2026-april:14800|2026-may:12100|2026-june:9900|2026-july:8100,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
airsoft near me,,airsoft near me,Competitive experiences: Airsoft,14800,LOW,10,0.4570,0.2372,0.6355,2025-august:22200|2025-september:18100|2025-october:14800|2025-november:14800|2025-december:12100|2026-january:14800|2026-february:14800|2026-march:18100|2026-april:18100|2026-may:14800|2026-june:14800|2026-july:14800,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
axe throwing,,axe throwing,Competitive experiences: Axe throwing,14800,MEDIUM,56,1.2364,0.5467,1.5076,2025-august:18100|2025-september:18100|2025-october:18100|2025-november:18100|2025-december:14800|2026-january:18100|2026-february:22200|2026-march:12100|2026-april:12100|2026-may:12100|2026-june:9900|2026-july:12100,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
boxing club near me,,boxing club near me,Fitness and mind-body: Boxing classes,14800,LOW,24,0.7428,0.4463,1.2604,2025-august:14800|2025-september:18100|2025-october:14800|2025-november:14800|2025-december:12100|2026-january:14800|2026-february:12100|2026-march:12100|2026-april:12100|2026-may:12100|2026-june:14800|2026-july:12100,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
climbing near me,,climbing near me,Outdoor and endurance: Climbing,14800,LOW,23,0.2230,0.3408,0.9879,2025-august:18100|2025-september:14800|2025-october:14800|2025-november:14800|2025-december:12100|2026-january:18100|2026-february:18100|2026-march:14800|2026-april:14800|2026-may:14800|2026-june:12100|2026-july:14800,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
horse riding lessons near me,,horse riding lessons near me,Nature and animals: Horse riding,14800,LOW,7,1.9004,0.1891,6.7585,2025-august:18100|2025-september:18100|2025-october:14800|2025-november:12100|2025-december:9900|2026-january:14800|2026-february:12100|2026-march:14800|2026-april:14800|2026-may:14800|2026-june:12100|2026-july:12100,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
martial arts near me,,martial arts near me,Fitness and mind-body: Martial arts,14800,LOW,24,0.8539,0.3886,1.3995,2025-august:18100|2025-september:18100|2025-october:18100|2025-november:18100|2025-december:12100|2026-january:14800|2026-february:14800|2026-march:14800|2026-april:12100|2026-may:12100|2026-june:12100|2026-july:12100,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
pottery classes near me,,pottery classes near me,Craft and making: Pottery classes,14800,HIGH,90,0.6430,0.3086,0.9311,2025-august:14800|2025-september:14800|2025-october:14800|2025-november:12100|2025-december:14800|2026-january:22200|2026-february:18100|2026-march:14800|2026-april:12100|2026-may:9900|2026-june:9900|2026-july:9900,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
roller skating near me,,roller skating near me,Outdoor and endurance: Roller skating,14800,LOW,16,0.4500,0.1897,1.6882,2025-august:18100|2025-september:12100|2025-october:14800|2025-november:12100|2025-december:14800|2026-january:22200|2026-february:22200|2026-march:14800|2026-april:12100|2026-may:9900|2026-june:8100|2026-july:9900,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
spa break near me,,spa break near me,"Wellness, spa and retreats: Spa breaks",14800,HIGH,100,0.7105,0.2681,0.8741,2025-august:14800|2025-september:14800|2025-october:14800|2025-november:12100|2025-december:14800|2026-january:22200|2026-february:18100|2026-march:14800|2026-april:12100|2026-may:12100|2026-june:12100|2026-july:12100,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
allotments near me,,allotments near me,Nature and animals: Allotment groups,12100,LOW,1,3.7319,1.1281,10.3532,2025-august:14800|2025-september:9900|2025-october:9900|2025-november:6600|2025-december:5400|2026-january:9900|2026-february:8100|2026-march:14800|2026-april:14800|2026-may:14800|2026-june:12100|2026-july:12100,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
badminton near me,,badminton near me,Racket and team sport: Badminton,12100,LOW,8,0.4528,0.1769,2.8692,2025-august:12100|2025-september:12100|2025-october:12100|2025-november:9900|2025-december:8100|2026-january:14800|2026-february:12100|2026-march:12100|2026-april:12100|2026-may:14800|2026-june:9900|2026-july:12100,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
bingo near me,,bingo near me,Tabletop and games: Bingo,12100,LOW,12,2.2603,1.4150,6.8171,2025-august:18100|2025-september:14800|2025-october:14800|2025-november:12100|2025-december:9900|2026-january:14800|2026-february:14800|2026-march:14800|2026-april:12100|2026-may:12100|2026-june:9900|2026-july:9900,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
board game cafe,,board game cafe,Tabletop and games: Board-game cafes,12100,LOW,6,0.5598,0.3402,1.4273,2025-august:12100|2025-september:12100|2025-october:14800|2025-november:12100|2025-december:9900|2026-january:14800|2026-february:12100|2026-march:9900|2026-april:8100|2026-may:8100|2026-june:8100|2026-july:8100,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
bouldering near me,,bouldering near me,Outdoor and endurance: Bouldering,12100,LOW,21,0.1760,0.2977,0.9608,2025-august:14800|2025-september:12100|2025-october:12100|2025-november:9900|2025-december:9900|2026-january:14800|2026-february:14800|2026-march:12100|2026-april:12100|2026-may:12100|2026-june:9900|2026-july:12100,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
darts near me,,darts near me,Competitive experiences: Darts,12100,LOW,33,0.2922,0.2495,1.2535,2025-august:9900|2025-september:8100|2025-october:9900|2025-november:12100|2025-december:14800|2026-january:22200|2026-february:14800|2026-march:12100|2026-april:9900|2026-may:9900|2026-june:6600|2026-july:6600,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
kickboxing near me,,kickboxing near me,Fitness and mind-body: Kickboxing,12100,LOW,28,0.9101,0.4076,1.3861,2025-august:12100|2025-september:14800|2025-october:14800|2025-november:12100|2025-december:9900|2026-january:14800|2026-february:12100|2026-march:12100|2026-april:9900|2026-may:9900|2026-june:12100|2026-july:9900,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
laser tag near me,,laser tag near me,Competitive experiences: Laser tag,12100,LOW,30,0.7881,0.3779,1.0766,2025-august:18100|2025-september:14800|2025-october:14800|2025-november:12100|2025-december:9900|2026-january:14800|2026-february:14800|2026-march:12100|2026-april:12100|2026-may:9900|2026-june:9900|2026-july:9900,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
sip and paint,,sip and paint,Craft and making: Sip and paint,12100,HIGH,94,0.8028,0.2441,0.8262,2025-august:9900|2025-september:9900|2025-october:12100|2025-november:9900|2025-december:8100|2026-january:14800|2026-february:14800|2026-march:12100|2026-april:9900|2026-may:9900|2026-june:33100|2026-july:9900,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
tennis clubs near me,,tennis clubs near me,Racket and team sport: Tennis,12100,LOW,12,0.3437,0.2944,1.0608,2025-august:12100|2025-september:12100|2025-october:9900|2025-november:6600|2025-december:5400|2026-january:9900|2026-february:12100|2026-march:9900|2026-april:12100|2026-may:12100|2026-june:12100|2026-july:14800,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
volunteer events near me,,volunteer events near me,Community and alternative: Volunteering,12100,MEDIUM,39,4.0150,0.4026,1.6020,2025-august:14800|2025-september:12100|2025-october:14800|2025-november:14800|2025-december:9900|2026-january:14800|2026-february:12100|2026-march:12100|2026-april:9900|2026-may:12100|2026-june:14800|2026-july:14800,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
volunteering near me,,volunteering near me,Community and alternative: Volunteering,12100,MEDIUM,42,2.5567,0.4609,1.3165,2025-august:12100|2025-september:14800|2025-october:14800|2025-november:12100|2025-december:9900|2026-january:14800|2026-february:9900|2026-march:9900|2026-april:8100|2026-may:9900|2026-june:9900|2026-july:9900,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
cricket clubs near me,,cricket clubs near me,Racket and team sport: Cricket,9900,LOW,3,0.4017,0.4500,1.4807,2025-august:12100|2025-september:9900|2025-october:8100|2025-november:6600|2025-december:5400|2026-january:8100|2026-february:9900|2026-march:9900|2026-april:12100|2026-may:14800|2026-june:12100|2026-july:12100,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
jazz club near me,,jazz club near me,Live culture: Jazz clubs,9900,LOW,32,0.1446,0.2805,1.1349,2025-august:12100|2025-september:12100|2025-october:12100|2025-november:12100|2025-december:9900|2026-january:12100|2026-february:12100|2026-march:9900|2026-april:8100|2026-may:8100|2026-june:8100|2026-july:8100,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
line dancing classes near me,,line dancing classes near me,Performance and dance: Line dancing,9900,LOW,3,3.0434,0.4074,3.7883,2025-august:9900|2025-september:14800|2025-october:14800|2025-november:8100|2025-december:6600|2026-january:12100|2026-february:9900|2026-march:9900|2026-april:8100|2026-may:8100|2026-june:8100|2026-july:8100,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
line dancing near me,,line dancing near me,Performance and dance: Line dancing,9900,LOW,3,3.0434,0.4074,3.7883,2025-august:9900|2025-september:14800|2025-october:14800|2025-november:8100|2025-december:6600|2026-january:12100|2026-february:9900|2026-march:9900|2026-april:8100|2026-may:8100|2026-june:8100|2026-july:8100,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
paddleboarding near me,paddle board near me,paddleboarding near me|paddle board near me,Outdoor and endurance: Paddleboarding,9900,LOW,26,0.4261,0.1996,1.0891,2025-august:33100|2025-september:4400|2025-october:1900|2025-november:1000|2025-december:1000|2026-january:1600|2026-february:1600|2026-march:2900|2026-april:6600|2026-may:18100|2026-june:18100|2026-july:27100,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
cooking classes near me,,cooking classes near me,Food and drink: Cooking classes,8100,HIGH,99,0.7675,0.2994,0.9744,2025-august:8100|2025-september:8100|2025-october:8100|2025-november:9900|2025-december:9900|2026-january:9900|2026-february:8100|2026-march:6600|2026-april:5400|2026-may:5400|2026-june:5400|2026-july:5400,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
pickleball near me,,pickleball near me,Racket and team sport: Pickleball,8100,LOW,10,0.5837,0.2298,0.8919,2025-august:9900|2025-september:8100|2025-october:6600|2025-november:5400|2025-december:5400|2026-january:8100|2026-february:6600|2026-march:8100|2026-april:8100|2026-may:8100|2026-june:6600|2026-july:8100,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
pole dancing classes near me,,pole dancing classes near me,Performance and dance: Pole dancing,8100,LOW,9,0.5467,0.2806,1.0743,2025-august:8100|2025-september:8100|2025-october:9900|2025-november:8100|2025-december:6600|2026-january:9900|2026-february:9900|2026-march:9900|2026-april:8100|2026-may:8100|2026-june:6600|2026-july:8100,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
pub quiz near me,,pub quiz near me,Tabletop and games: Quiz nights,8100,LOW,7,0.2541,0.7342,2.3860,2025-august:12100|2025-september:12100|2025-october:12100|2025-november:9900|2025-december:8100|2026-january:9900|2026-february:8100|2026-march:8100|2026-april:8100|2026-may:6600|2026-june:6600|2026-july:6600,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
tai chi classes near me,,tai chi classes near me,Fitness and mind-body: Tai chi,8100,LOW,16,1.9544,0.3890,1.4512,2025-august:9900|2025-september:8100|2025-october:6600|2025-november:6600|2025-december:5400|2026-january:12100|2026-february:8100|2026-march:8100|2026-april:8100|2026-may:6600|2026-june:6600|2026-july:5400,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
axe throwing near me,,axe throwing near me,Competitive experiences: Axe throwing,6600,LOW,27,1.1603,0.4602,1.4313,2025-august:8100|2025-september:5400|2025-october:6600|2025-november:6600|2025-december:5400|2026-january:8100|2026-february:8100|2026-march:6600|2026-april:6600|2026-may:5400|2026-june:3600|2026-july:4400,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
board game cafe near me,,board game cafe near me,Tabletop and games: Board-game cafes,6600,LOW,17,0.1821,0.3888,1.6213,2025-august:6600|2025-september:6600|2025-october:8100|2025-november:6600|2025-december:6600|2026-january:9900|2026-february:8100|2026-march:6600|2026-april:5400|2026-may:5400|2026-june:5400|2026-july:5400,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
boxing classes near me,,boxing classes near me,Fitness and mind-body: Boxing classes,6600,MEDIUM,35,1.0760,0.4238,1.1293,2025-august:8100|2025-september:9900|2025-october:8100|2025-november:6600|2025-december:5400|2026-january:8100|2026-february:5400|2026-march:6600|2026-april:6600|2026-may:6600|2026-june:6600|2026-july:5400,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
comedy club near me,,comedy club near me,Live culture: Stand-up comedy,6600,MEDIUM,35,0.7217,0.2906,1.3083,2025-august:8100|2025-september:6600|2025-october:8100|2025-november:6600|2025-december:5400|2026-january:8100|2026-february:8100|2026-march:8100|2026-april:6600|2026-may:6600|2026-june:5400|2026-july:5400,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
kayaking near me,,kayaking near me,Outdoor and endurance: Kayaking,6600,MEDIUM,35,0.5956,0.2094,0.8093,2025-august:22200|2025-september:5400|2025-october:2900|2025-november:1300|2025-december:1000|2026-january:1600|2026-february:1600|2026-march:2900|2026-april:6600|2026-may:14800|2026-june:9900|2026-july:18100,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
nature walks near me,,nature walks near me,Nature and animals: Nature walks,6600,LOW,11,1.0187,0.1692,1.2613,2025-august:9900|2025-september:5400|2025-october:5400|2025-november:3600|2025-december:3600|2026-january:5400|2026-february:5400|2026-march:8100|2026-april:9900|2026-may:8100|2026-june:5400|2026-july:8100,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
social clubs near me,social club near me,social clubs near me|social club near me,Social and relationship: Social clubs,6600,LOW,6,0.5775,0.2246,1.6293,2025-august:8100|2025-september:8100|2025-october:8100|2025-november:6600|2025-december:5400|2026-january:8100|2026-february:6600|2026-march:6600|2026-april:6600|2026-may:6600|2026-june:6600|2026-july:6600,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
sound bath near me,,sound bath near me,Fitness and mind-body: Sound baths,6600,LOW,14,0.7217,0.3326,1.3004,2025-august:6600|2025-september:6600|2025-october:6600|2025-november:5400|2025-december:4400|2026-january:9900|2026-february:8100|2026-march:8100|2026-april:6600|2026-may:6600|2026-june:5400|2026-july:5400,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
squash courts near me,,squash courts near me,Racket and team sport: Squash,6600,LOW,11,0.4237,0.2279,1.1740,2025-august:6600|2025-september:8100|2025-october:8100|2025-november:6600|2025-december:5400|2026-january:9900|2026-february:8100|2026-march:8100|2026-april:6600|2026-may:5400|2026-june:5400|2026-july:5400,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
table tennis near me,,table tennis near me,Racket and team sport: Table tennis,6600,LOW,18,0.2075,0.4281,3.1987,2025-august:8100|2025-september:6600|2025-october:6600|2025-november:5400|2025-december:5400|2026-january:8100|2026-february:8100|2026-march:6600|2026-april:6600|2026-may:6600|2026-june:5400|2026-july:5400,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
alpaca walking near me,alpaca walks near me,alpaca walking near me|alpaca walks near me,Nature and animals: Alpaca walks,5400,HIGH,82,0.3108,0.2379,0.7095,2025-august:9900|2025-september:4400|2025-october:3600|2025-november:2900|2025-december:3600|2026-january:3600|2026-february:4400|2026-march:5400|2026-april:5400|2026-may:5400|2026-june:4400|2026-july:6600,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
badminton clubs near me,,badminton clubs near me,Racket and team sport: Badminton,5400,LOW,4,1.0509,0.3266,4.5855,2025-august:5400|2025-september:8100|2025-october:8100|2025-november:6600|2025-december:4400|2026-january:6600|2026-february:9900|2026-march:5400|2026-april:5400|2026-may:4400|2026-june:3600|2026-july:4400,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
laser quest near me,,laser quest near me,Competitive experiences: Laser tag,5400,LOW,15,0.9275,0.3956,1.3075,2025-august:5400|2025-september:5400|2025-october:5400|2025-november:5400|2025-december:4400|2026-january:6600|2026-february:5400|2026-march:5400|2026-april:4400|2026-may:4400|2026-june:3600|2026-july:3600,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
open water swimming near me,,open water swimming near me,Outdoor and endurance: Open-water swimming,5400,LOW,7,0.5340,0.4741,1.4828,2025-august:12100|2025-september:3600|2025-october:1900|2025-november:1300|2025-december:1600|2026-january:1900|2026-february:1600|2026-march:2400|2026-april:3600|2026-may:12100|2026-june:9900|2026-july:12100,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
sewing classes near me,,sewing classes near me,Craft and making: Sewing classes,5400,HIGH,74,0.5925,0.2157,0.7835,2025-august:8100|2025-september:8100|2025-october:5400|2025-november:4400|2025-december:4400|2026-january:6600|2026-february:4400|2026-march:5400|2026-april:4400|2026-may:4400|2026-june:4400|2026-july:5400,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
