source_id,source_name,source_type,url,observed_at,status,supports,limitations
S44,Awin content value case analysis,industry-case-study,https://www.awin.com/us/sector-insights/content-value-affiliate,2026-09-03,live-primary,Assisted-value example for a major electronics retailer,Single commercially selected case is not a benchmark
S45,Awin SharkNinja and Blue Light Card interview,public-podcast-transcript,https://www.awin.com/us/awin-win-marketing-podcast/episode/sharkninja-blue-light-card,2026-09-03,live-primary,Advertiser and publisher evidence on exclusive offers versus tenancy,Produced by an affiliate network
S46,Awin Gen3 Marketing and Moonpull interview,public-podcast-transcript,https://www.awin.com/us/awin-win-marketing-podcast/episode/gen3-marketing-moonpull,2026-09-03,live-primary,Agency and tracking evidence on attribution leakage,Produced by an affiliate network
S47,impact.com Q4 publisher buying discussion,public-podcast-transcript,https://impact.com/podcasts/episodes/q4-is-closer-than-you-think/,2026-09-03,live-primary,Fixed fee plus revenue share packaging and campaign records,Produced by a partnership platform
S48,impact.com publisher growth discussion,public-podcast-transcript,https://impact.com/podcasts/episodes/fewer-delays-more-paydays-with-richa-dani/,2026-09-03,live-primary,Media kits paid placements audience segmentation and cash flow,Produced by a partnership platform
S49,idealo UK merchant pricing,platform-pricing,https://partner.idealo.com/partner-idealo-com/uk/pricing,2026-09-03,live-primary,Current standard and category merchant CPC rates,Established platform pricing is not transferable to a new publisher
S50,idealo consumer FAQ,platform-documentation,https://www.idealo.co.uk/magazine/faqs,2026-09-03,live-primary,Merchant payment does not alter organic offer ranking,Platform-authored explanation
S51,Kelkoo merchant feed documentation,platform-documentation,https://docs.kelkoogroup.com/for-publishers/shopping-api-feeds/feeds-merchants,2026-09-03,live-primary,Estimated CPC target cost of sale and traffic-permission fields,Documentation describes an established network
S52,MoneySuperMarket commercial explanation,platform-documentation,https://www.moneysupermarket.com/how-moneysupermarket-works/,2026-09-03,live-primary,Click sale percentage commission and sponsored placement models,Financial comparison is not directly transferable to products
S53,MONY Group Annual Report 2025,annual-report,https://www.monygroup.com/application/files/3417/7304/3833/MONY-Group-plc-Annual-Report-2025.pdf,2026-09-03,live-primary,Tenancy data insight white-label and provider-service evidence,Mature regulated comparison business
S54,Future Annual Report 2025,annual-report,https://futureplc.com/wp-content/uploads/2025/12/Annual-Report-and-Accounts-FY-2025-incl-Notice-of-AGM.pdf,2026-09-03,live-primary,Specialist publishing across advertising affiliate subscriptions leads and events,Mature international publisher economics
S55,Auto Trader Annual Report 2026,annual-report,https://plc.autotrader.co.uk/investors/2026-annual-report/,2026-09-03,live-primary,Dealer consumer and manufacturer revenue architecture,Mature automotive marketplace economics
S56,Auto Trader FY26 results,annual-results,https://plc.autotrader.co.uk/media/etud5vca/full-year-press-release-fy26.pdf,2026-09-03,live-primary,Average retailer revenue and retailer forecourt count,Automotive scale is not a startup benchmark
S57,Google generative AI content guidance,official-documentation,https://developers.google.com/search/docs/fundamentals/using-gen-ai-content?hl=en,2026-09-03,live-primary,"Accuracy quality provenance and Merchant Center labelling for generated text and imagery","Search and feed guidance can change and does not establish traffic"
S58,Google Universal Commerce Protocol announcement,official-platform-announcement,https://blog.google/products/ads-commerce/agentic-commerce-ai-tools-protocol-retailers-platforms/,2026-09-03,live-primary,"Agentic discovery checkout merchant feeds and new conversational-commerce attributes","Initial checkout and Business Agent availability is US focused and platform reported"
S59,OpenAI product discovery announcement,official-platform-announcement,https://openai.com/index/powering-product-discovery-in-chatgpt/,2026-09-03,live-primary,"Conversational product comparison merchant feeds retailer integrations and merchant checkout direction","Platform announcement does not establish UK adoption conversion or publisher compensation"
S60,OpenAI Merchant Feed Terms,official-platform-terms,https://openai.com/policies/merchant-feed-terms-of-service/,2026-09-03,live-primary,"Direct merchant-feed delivery content responsibilities licences and data-quality requirements","Terms establish a distribution route rather than product visibility or sales"
