vertical,lane,included_in_scored_basket,keyword,average_monthly_searches,competition,competition_index,average_cpc_gbp,low_top_page_bid_gbp,high_top_page_bid_gbp,note
maker-studios,validation,no,laser cutter for sale,70,HIGH,100,2.282100,1.078463,2.868220,Confirms high CPC for laser cutter lane
private-leisure,product,yes,pool table for sale,4400,HIGH,100,1.238864,0.186438,1.006674,Canonical cue-sports purchase term
private-leisure,product,yes,pool dining table for sale,90,HIGH,100,1.154497,0.429636,1.460664,Space-efficient premium table subtype
private-leisure,product,yes,pinball machine for sale,1300,HIGH,100,0.230073,0.033199,0.705907,High-ticket collector purchase term
private-leisure,product,yes,arcade machine for sale,1600,HIGH,100,0.425268,0.052818,0.909189,High-ticket home and commercial purchase term
private-leisure,product,yes,jukebox for sale,1600,HIGH,100,0.242692,0.059250,0.527263,New and restored purchase intent may mix
private-leisure,product,yes,shuffleboard table for sale,90,HIGH,100,1.156331,0.122686,1.177189,Premium room extension
private-leisure,product,yes,golf simulator price,590,HIGH,100,1.863065,0.699149,1.582957,Higher-CPC premium installation/product lane
private-leisure,validation,no,buy pool table,590,HIGH,100,1.530542,0.342600,1.570647,Supporting buy term not added to canonical family total
private-leisure,validation,no,pinball machine price,10,HIGH,100,1.031143,0.000000,0.000000,Low-volume supporting price term
private-leisure,validation,no,arcade machine price,90,HIGH,98,1.869946,0.209746,12.364013,Supporting price term with high bid spread
land-smallholding,high-ticket,yes,compact tractor for sale,480,HIGH,100,0.094696,0.059675,0.495061,Dealer and used intent likely
land-smallholding,high-ticket,yes,mini digger for sale,5400,HIGH,100,0.429310,0.274447,1.059830,Dealer private-sale and used intent likely
land-smallholding,high-ticket,yes,wood chipper for sale,1900,HIGH,100,0.918015,0.167837,1.312398,New and used intent may mix
land-smallholding,high-ticket,yes,log splitter for sale,3600,HIGH,100,0.769352,0.125498,0.983175,New and used intent may mix
land-smallholding,high-ticket,yes,freeze dryer for sale,90,HIGH,100,0.666434,0.588842,1.277105,Specialist preservation equipment
land-smallholding,high-ticket,yes,livestock trailer for sale,170,HIGH,100,0.040395,0.020194,0.280359,Dealer and used intent likely
land-smallholding,high-ticket,yes,plant trailer for sale,210,HIGH,100,0.216244,0.081592,1.046405,Dealer and used intent likely
land-smallholding,adjacent,no,polytunnel for sale,1600,HIGH,100,0.572479,0.205916,0.873918,AOV varies too widely for high-ticket basket
land-smallholding,adjacent,no,chicken coop for sale,3600,HIGH,100,0.835375,0.185315,1.057084,AOV varies too widely for high-ticket basket
home-wellness,product,yes,pilates reformer for sale,390,HIGH,100,1.063292,0.446189,1.459499,Standalone wellness basket
home-wellness,product,yes,home sauna for sale,140,HIGH,100,1.603121,0.713845,1.779683,Standalone wellness basket
home-wellness,product,yes,infrared sauna for sale,210,HIGH,100,2.354837,0.846988,2.148499,Standalone CPC above target
home-wellness,product,yes,massage chair price,720,HIGH,100,1.660144,0.506495,1.473062,Standalone CPC above target
home-wellness,product,yes,ice bath for sale,880,HIGH,100,1.613870,0.406682,1.760307,Standalone CPC above target
home-wellness,product,yes,commercial treadmill for sale,170,HIGH,95,1.933529,0.598426,1.890900,High-AOV qualifier but expensive CPC
home-wellness,product,yes,commercial gym equipment for sale,320,HIGH,100,1.639684,0.364533,1.604428,High-AOV qualifier but expensive CPC
overlanding,screened-out,no,roof tent for sale,390,HIGH,100,0.563143,0.141038,1.040734,Commercial but vertical basket too small
overlanding,screened-out,no,electric outboard motor for sale,140,HIGH,100,0.593965,0.128215,1.010540,Commercial but weak fit with road overlanding
overlanding,screened-out,no,campervan awning for sale,170,HIGH,100,0.506884,0.089148,0.489137,Commercial extension
overlanding,screened-out,no,motorhome awning for sale,260,HIGH,100,0.302604,0.059958,0.322004,Commercial extension
overlanding,screened-out,no,portable power station for sale,30,HIGH,100,1.208588,0.726572,2.044599,Low explicit purchase volume
overlanding,screened-out,no,campervan conversion kit for sale,0,UNSPECIFIED,0,0.000000,0.000000,0.000000,No reportable volume returned
