city,family,format,submitted_keyword,grouped_submitted_keywords,returned_keyword,close_variants,average_monthly_searches,competition,competition_index,average_cpc_gbp,low_top_of_page_gbp,high_top_of_page_gbp,monthly_search_volumes,geography_method,observed_at
London,Competitive experiences,Darts,darts near me,darts near me,darts near me,,3600,MEDIUM,43,0.3051,0.2898,1.0524,2025-august:3600|2025-september:2900|2025-october:4400|2025-november:4400|2025-december:4400|2026-january:6600|2026-february:4400|2026-march:4400|2026-april:3600|2026-may:2900|2026-june:2400|2026-july:2400,generic_query_inside_local_geo_target,2026-09-03
London,Food and drink,Cooking classes,cooking classes near me,cooking classes near me,cooking classes near me,,720,HIGH,100,0.7315,0.3218,0.9798,2025-august:880|2025-september:880|2025-october:880|2025-november:880|2025-december:880|2026-january:880|2026-february:720|2026-march:720|2026-april:590|2026-may:480|2026-june:590|2026-july:480,generic_query_inside_local_geo_target,2026-09-03
London,Nature and animals,Nature walks,nature walks near me,nature walks near me,nature walks near me,,260,LOW,9,0.6816,0.2543,1.1532,2025-august:590|2025-september:320|2025-october:260|2025-november:170|2025-december:260|2026-january:260|2026-february:140|2026-march:260|2026-april:320|2026-may:320|2026-june:210|2026-july:260,generic_query_inside_local_geo_target,2026-09-03
London,Social and relationship,Speed dating,speed dating near me,speed dating near me,speed dating near me,,260,MEDIUM,58,1.4120,0.3918,1.6661,2025-august:390|2025-september:320|2025-october:320|2025-november:320|2025-december:260|2026-january:320|2026-february:260|2026-march:260|2026-april:260|2026-may:210|2026-june:210|2026-july:210,generic_query_inside_local_geo_target,2026-09-03
London,Performance and dance,Karaoke,karaoke near me,karaoke near me,karaoke near me,,22200,MEDIUM,56,0.2368,0.2501,0.7055,2025-august:22200|2025-september:18100|2025-october:22200|2025-november:22200|2025-december:27100|2026-january:18100|2026-february:18100|2026-march:18100|2026-april:18100|2026-may:22200|2026-june:18100|2026-july:22200,generic_query_inside_local_geo_target,2026-09-03
London,"Wellness, spa and retreats",Spa retreats,spa retreat near me,spa retreat near me,spa retreat near me,,170,HIGH,98,0.4960,0.2522,0.8031,2025-august:210|2025-september:170|2025-october:210|2025-november:110|2025-december:170|2026-january:170|2026-february:170|2026-march:170|2026-april:140|2026-may:170|2026-june:140|2026-july:140,generic_query_inside_local_geo_target,2026-09-03
London,Craft and making,General art workshops,art workshops near me,art workshops near me,art workshops near me,,90,HIGH,87,0.5826,0.3333,1.0167,2025-august:90|2025-september:90|2025-october:140|2025-november:70|2025-december:50|2026-january:70|2026-february:70|2026-march:90|2026-april:70|2026-may:90|2026-june:90|2026-july:70,generic_query_inside_local_geo_target,2026-09-03
London,Craft and making,Sip and paint,sip and paint near me,sip and paint near me,sip and paint near me,,590,HIGH,96,0.6580,0.2798,0.8392,2025-august:590|2025-september:590|2025-october:590|2025-november:590|2025-december:480|2026-january:720|2026-february:1000|2026-march:720|2026-april:590|2026-may:590|2026-june:480|2026-july:480,generic_query_inside_local_geo_target,2026-09-03
Birmingham,Competitive experiences,Darts,darts near me,darts near me,darts near me,,210,LOW,32,0.3014,0.2366,0.3965,2025-august:170|2025-september:140|2025-october:170|2025-november:170|2025-december:210|2026-january:320|2026-february:320|2026-march:210|2026-april:170|2026-may:170|2026-june:110|2026-july:110,generic_query_inside_local_geo_target,2026-09-03
Birmingham,Performance and dance,Line dancing,line dancing near me,line dancing near me,line dancing near me,,170,LOW,1,1.7873,0.0000,0.0000,2025-august:140|2025-september:210|2025-october:260|2025-november:210|2025-december:110|2026-january:260|2026-february:210|2026-march:210|2026-april:210|2026-may:140|2026-june:170|2026-july:140,generic_query_inside_local_geo_target,2026-09-03
Birmingham,Performance and dance,Salsa classes,salsa classes near me,salsa classes near me,salsa classes near me,,70,LOW,14,0.1072,0.0000,0.0000,2025-august:70|2025-september:70|2025-october:90|2025-november:50|2025-december:40|2026-january:90|2026-february:50|2026-march:50|2026-april:70|2026-may:40|2026-june:30|2026-july:50,generic_query_inside_local_geo_target,2026-09-03
Birmingham,Tabletop and games,Board-game cafes,board game cafe near me,board game cafe near me,board game cafe near me,,170,LOW,19,0.0625,0.0000,0.0000,2025-august:140|2025-september:140|2025-october:170|2025-november:170|2025-december:210|2026-january:260|2026-february:210|2026-march:170|2026-april:140|2026-may:210|2026-june:140|2026-july:140,generic_query_inside_local_geo_target,2026-09-03
Birmingham,Craft and making,Pottery painting,pottery painting near me,pottery painting near me,pottery painting near me,,880,LOW,18,0.0916,0.0585,0.2686,2025-august:1300|2025-september:720|2025-october:880|2025-november:880|2025-december:590|2026-january:880|2026-february:1300|2026-march:1000|2026-april:720|2026-may:590|2026-june:590|2026-july:880,generic_query_inside_local_geo_target,2026-09-03
Birmingham,Craft and making,Pottery classes,pottery classes near me,pottery classes near me,pottery classes near me,,210,HIGH,95,0.4685,0.2292,0.6250,2025-august:320|2025-september:260|2025-october:170|2025-november:210|2025-december:210|2026-january:320|2026-february:320|2026-march:210|2026-april:210|2026-may:140|2026-june:140|2026-july:170,generic_query_inside_local_geo_target,2026-09-03
Birmingham,Tabletop and games,Dungeons & Dragons,dungeons and dragons near me,dungeons and dragons near me,dungeons and dragons near me,,20,LOW,8,0.7738,0.0000,0.0000,2025-august:30|2025-september:20|2025-october:30|2025-november:20|2025-december:20|2026-january:20|2026-february:20|2026-march:20|2026-april:20|2026-may:20|2026-june:20|2026-july:10,generic_query_inside_local_geo_target,2026-09-03
Birmingham,Craft and making,Sewing classes,sewing classes near me,sewing classes near me,sewing classes near me,,110,HIGH,67,0.5150,0.2238,0.7854,2025-august:140|2025-september:140|2025-october:110|2025-november:90|2025-december:90|2026-january:110|2026-february:90|2026-march:110|2026-april:140|2026-may:110|2026-june:110|2026-july:110,generic_query_inside_local_geo_target,2026-09-03
Birmingham,Food and drink,Wine tasting,wine tasting near me,wine tasting near me,wine tasting near me,,70,HIGH,94,1.1538,0.4174,1.5261,2025-august:110|2025-september:110|2025-october:70|2025-november:110|2025-december:90|2026-january:70|2026-february:70|2026-march:70|2026-april:70|2026-may:50|2026-june:40|2026-july:90,generic_query_inside_local_geo_target,2026-09-03
Birmingham,Performance and dance,Acting classes,acting classes near me,acting classes near me,acting classes near me,,70,MEDIUM,50,2.7565,0.6005,1.7439,2025-august:70|2025-september:90|2025-october:30|2025-november:50|2025-december:50|2026-january:110|2026-february:50|2026-march:90|2026-april:70|2026-may:30|2026-june:40|2026-july:50,generic_query_inside_local_geo_target,2026-09-03
Birmingham,Tabletop and games,Quiz nights,quiz night near me,quiz night near me,quiz night near me,,50,LOW,5,0.0000,0.0000,0.0000,2025-august:50|2025-september:70|2025-october:50|2025-november:40|2025-december:30|2026-january:50|2026-february:70|2026-march:70|2026-april:40|2026-may:30|2026-june:20|2026-july:30,generic_query_inside_local_geo_target,2026-09-03
Birmingham,Racket and team sport,Volleyball,volleyball clubs near me,volleyball clubs near me,volleyball clubs near me,,90,LOW,1,0.5419,0.0000,0.0000,2025-august:110|2025-september:140|2025-october:110|2025-november:110|2025-december:90|2026-january:110|2026-february:90|2026-march:140|2026-april:110|2026-may:50|2026-june:70|2026-july:70,generic_query_inside_local_geo_target,2026-09-03
Birmingham,Racket and team sport,Netball,netball clubs near me,netball clubs near me,netball clubs near me,,70,LOW,6,0.7564,0.0000,0.0000,2025-august:40|2025-september:110|2025-october:140|2025-november:110|2025-december:50|2026-january:70|2026-february:70|2026-march:90|2026-april:50|2026-may:70|2026-june:50|2026-july:40,generic_query_inside_local_geo_target,2026-09-03
Birmingham,Outdoor and endurance,Running clubs,running clubs near me,running clubs near me,running clubs near me,,70,LOW,18,1.9336,0.4969,1.0817,2025-august:110|2025-september:70|2025-october:70|2025-november:70|2025-december:50|2026-january:70|2026-february:70|2026-march:70|2026-april:90|2026-may:90|2026-june:90|2026-july:70,generic_query_inside_local_geo_target,2026-09-03
Birmingham,Tabletop and games,Chess clubs,chess club near me,chess club near me,chess club near me,,50,LOW,2,0.0000,0.0000,0.0000,2025-august:70|2025-september:40|2025-october:50|2025-november:70|2025-december:70|2026-january:90|2026-february:70|2026-march:50|2026-april:50|2026-may:50|2026-june:50|2026-july:50,generic_query_inside_local_geo_target,2026-09-03
Birmingham,"Wellness, spa and retreats",Yoga retreats,yoga retreat near me,yoga retreat near me,yoga retreat near me,,10,MEDIUM,51,0.6421,0.3184,1.0980,2025-august:10|2025-september:10|2025-october:20|2025-november:10|2025-december:10|2026-january:10|2026-february:10|2026-march:10|2026-april:10|2026-may:10|2026-june:20|2026-july:10,generic_query_inside_local_geo_target,2026-09-03
Birmingham,Racket and team sport,Padel,padel near me,padel near me,padel near me,,880,LOW,8,0.2520,0.2078,0.7961,2025-august:880|2025-september:880|2025-october:880|2025-november:590|2025-december:590|2026-january:880|2026-february:880|2026-march:1000|2026-april:1000|2026-may:1000|2026-june:1000|2026-july:1000,generic_query_inside_local_geo_target,2026-09-03
Birmingham,Food and drink,Cooking classes,cooking classes near me,cooking classes near me,cooking classes near me,,110,HIGH,100,0.8701,0.3150,0.9884,2025-august:140|2025-september:110|2025-october:140|2025-november:140|2025-december:140|2026-january:110|2026-february:140|2026-march:110|2026-april:70|2026-may:70|2026-june:70|2026-july:90,generic_query_inside_local_geo_target,2026-09-03
Birmingham,Nature and animals,Nature walks,nature walks near me,nature walks near me,nature walks near me,,110,LOW,14,0.4070,0.1779,0.8583,2025-august:170|2025-september:70|2025-october:90|2025-november:70|2025-december:50|2026-january:90|2026-february:70|2026-march:140|2026-april:170|2026-may:170|2026-june:90|2026-july:170,generic_query_inside_local_geo_target,2026-09-03
Birmingham,Social and relationship,Speed dating,speed dating near me,speed dating near me,speed dating near me,,50,MEDIUM,34,1.1586,0.2570,1.9864,2025-august:90|2025-september:50|2025-october:50|2025-november:50|2025-december:50|2026-january:40|2026-february:70|2026-march:70|2026-april:50|2026-may:50|2026-june:40|2026-july:50,generic_query_inside_local_geo_target,2026-09-03
Birmingham,Performance and dance,Karaoke,karaoke near me,karaoke near me,karaoke near me,,1000,LOW,20,0.4124,0.2791,1.0118,2025-august:1000|2025-september:1000|2025-october:1000|2025-november:1300|2025-december:1300|2026-january:880|2026-february:1000|2026-march:1000|2026-april:880|2026-may:1300|2026-june:1000|2026-july:1000,generic_query_inside_local_geo_target,2026-09-03
Birmingham,"Wellness, spa and retreats",Spa retreats,spa retreat near me,spa retreat near me,spa retreat near me,,20,HIGH,87,0.4496,0.1529,0.6930,2025-august:40|2025-september:20|2025-october:20|2025-november:10|2025-december:20|2026-january:30|2026-february:30|2026-march:30|2026-april:20|2026-may:20|2026-june:30|2026-july:30,generic_query_inside_local_geo_target,2026-09-03
Birmingham,Craft and making,General art workshops,art workshops near me,art workshops near me,art workshops near me,,10,HIGH,86,0.4610,0.2645,0.5368,2025-august:10|2025-september:10|2025-october:10|2025-november:10|2025-december:10|2026-january:10|2026-february:10|2026-march:20|2026-april:10|2026-may:10|2026-june:10|2026-july:20,generic_query_inside_local_geo_target,2026-09-03
Birmingham,Craft and making,Sip and paint,sip and paint near me,sip and paint near me,sip and paint near me,,70,HIGH,99,0.3550,0.1261,0.4292,2025-august:70|2025-september:70|2025-october:50|2025-november:50|2025-december:50|2026-january:70|2026-february:90|2026-march:70|2026-april:50|2026-may:50|2026-june:50|2026-july:40,generic_query_inside_local_geo_target,2026-09-03
Manchester,Competitive experiences,Darts,darts near me,darts near me,darts near me,,320,MEDIUM,33,0.2506,0.2636,0.6071,2025-august:260|2025-september:210|2025-october:260|2025-november:320|2025-december:480|2026-january:720|2026-february:480|2026-march:390|2026-april:390|2026-may:260|2026-june:170|2026-july:260,generic_query_inside_local_geo_target,2026-09-03
Manchester,Performance and dance,Line dancing,line dancing near me,line dancing near me,line dancing near me,,70,LOW,6,0.0000,0.0000,0.0000,2025-august:90|2025-september:140|2025-october:70|2025-november:50|2025-december:50|2026-january:90|2026-february:70|2026-march:70|2026-april:50|2026-may:90|2026-june:90|2026-july:70,generic_query_inside_local_geo_target,2026-09-03
Manchester,Performance and dance,Salsa classes,salsa classes near me,salsa classes near me,salsa classes near me,,30,LOW,8,0.0000,0.0000,0.0000,2025-august:40|2025-september:30|2025-october:30|2025-november:20|2025-december:30|2026-january:30|2026-february:30|2026-march:30|2026-april:20|2026-may:30|2026-june:20|2026-july:30,generic_query_inside_local_geo_target,2026-09-03
Manchester,Tabletop and games,Board-game cafes,board game cafe near me,board game cafe near me,board game cafe near me,,170,LOW,9,0.0145,0.0000,0.0000,2025-august:170|2025-september:140|2025-october:210|2025-november:170|2025-december:140|2026-january:170|2026-february:170|2026-march:170|2026-april:140|2026-may:170|2026-june:140|2026-july:170,generic_query_inside_local_geo_target,2026-09-03
Manchester,Craft and making,Pottery painting,pottery painting near me,pottery painting near me,pottery painting near me,,480,LOW,18,0.1997,0.0000,0.0000,2025-august:590|2025-september:480|2025-october:390|2025-november:480|2025-december:390|2026-january:590|2026-february:720|2026-march:590|2026-april:480|2026-may:480|2026-june:480|2026-july:590,generic_query_inside_local_geo_target,2026-09-03
Manchester,Craft and making,Pottery classes,pottery classes near me,pottery classes near me,pottery classes near me,,110,HIGH,87,0.6556,0.2930,1.5677,2025-august:170|2025-september:70|2025-october:70|2025-november:90|2025-december:110|2026-january:210|2026-february:140|2026-march:110|2026-april:140|2026-may:90|2026-june:110|2026-july:110,generic_query_inside_local_geo_target,2026-09-03
Manchester,Tabletop and games,Dungeons & Dragons,dungeons and dragons near me,dungeons and dragons near me,dungeons and dragons near me,,20,LOW,16,0.4951,0.0000,0.0000,2025-august:10|2025-september:10|2025-october:30|2025-november:20|2025-december:30|2026-january:30|2026-february:20|2026-march:20|2026-april:10|2026-may:20|2026-june:20|2026-july:20,generic_query_inside_local_geo_target,2026-09-03
Manchester,Craft and making,Sewing classes,sewing classes near me,sewing classes near me,sewing classes near me,,50,HIGH,79,1.0055,0.3258,1.7499,2025-august:70|2025-september:70|2025-october:50|2025-november:40|2025-december:40|2026-january:70|2026-february:50|2026-march:50|2026-april:50|2026-may:70|2026-june:50|2026-july:70,generic_query_inside_local_geo_target,2026-09-03
Manchester,Food and drink,Wine tasting,wine tasting near me,wine tasting near me,wine tasting near me,,40,HIGH,98,0.4893,0.2699,0.7366,2025-august:50|2025-september:50|2025-october:30|2025-november:30|2025-december:50|2026-january:50|2026-february:40|2026-march:20|2026-april:30|2026-may:30|2026-june:40|2026-july:70,generic_query_inside_local_geo_target,2026-09-03
Manchester,Performance and dance,Acting classes,acting classes near me,acting classes near me,acting classes near me,,40,HIGH,67,1.6457,0.6947,3.0579,2025-august:40|2025-september:70|2025-october:30|2025-november:10|2025-december:40|2026-january:70|2026-february:50|2026-march:30|2026-april:20|2026-may:30|2026-june:50|2026-july:20,generic_query_inside_local_geo_target,2026-09-03
Manchester,Tabletop and games,Quiz nights,quiz night near me,quiz night near me,quiz night near me,,30,LOW,8,0.2531,0.0000,0.0000,2025-august:30|2025-september:20|2025-october:20|2025-november:20|2025-december:20|2026-january:20|2026-february:40|2026-march:40|2026-april:40|2026-may:20|2026-june:20|2026-july:10,generic_query_inside_local_geo_target,2026-09-03
Manchester,Racket and team sport,Volleyball,volleyball clubs near me,volleyball clubs near me,volleyball clubs near me,,40,LOW,0,0.0000,0.0000,0.0000,2025-august:50|2025-september:50|2025-october:40|2025-november:30|2025-december:30|2026-january:40|2026-february:40|2026-march:50|2026-april:30|2026-may:40|2026-june:40|2026-july:40,generic_query_inside_local_geo_target,2026-09-03
Manchester,Racket and team sport,Netball,netball clubs near me,netball clubs near me,netball clubs near me,,40,LOW,4,1.4882,0.0000,0.0000,2025-august:30|2025-september:40|2025-october:50|2025-november:40|2025-december:20|2026-january:50|2026-february:30|2026-march:40|2026-april:30|2026-may:30|2026-june:20|2026-july:40,generic_query_inside_local_geo_target,2026-09-03
Manchester,Outdoor and endurance,Running clubs,running clubs near me,running clubs near me,running clubs near me,,40,LOW,18,1.6228,0.0000,0.0000,2025-august:50|2025-september:50|2025-october:40|2025-november:30|2025-december:30|2026-january:50|2026-february:30|2026-march:40|2026-april:30|2026-may:30|2026-june:40|2026-july:40,generic_query_inside_local_geo_target,2026-09-03
Manchester,Tabletop and games,Chess clubs,chess club near me,chess club near me,chess club near me,,30,LOW,1,0.0000,0.0000,0.0000,2025-august:20|2025-september:30|2025-october:30|2025-november:30|2025-december:20|2026-january:50|2026-february:40|2026-march:40|2026-april:30|2026-may:40|2026-june:30|2026-july:50,generic_query_inside_local_geo_target,2026-09-03
Manchester,"Wellness, spa and retreats",Yoga retreats,yoga retreat near me,yoga retreat near me,yoga retreat near me,,10,HIGH,71,0.9355,0.3133,1.1218,2025-august:10|2025-september:10|2025-october:10|2025-november:10|2025-december:10|2026-january:10|2026-february:10|2026-march:10|2026-april:10|2026-may:10|2026-june:10|2026-july:10,generic_query_inside_local_geo_target,2026-09-03
Manchester,Racket and team sport,Padel,padel near me,padel near me,padel near me,,880,LOW,6,0.2445,0.2292,1.1636,2025-august:880|2025-september:720|2025-october:720|2025-november:590|2025-december:590|2026-january:1000|2026-february:880|2026-march:880|2026-april:880|2026-may:880|2026-june:880|2026-july:880,generic_query_inside_local_geo_target,2026-09-03
Manchester,Food and drink,Cooking classes,cooking classes near me,cooking classes near me,cooking classes near me,,50,HIGH,96,0.9461,0.2559,0.8993,2025-august:70|2025-september:40|2025-october:40|2025-november:50|2025-december:70|2026-january:70|2026-february:70|2026-march:50|2026-april:50|2026-may:30|2026-june:70|2026-july:50,generic_query_inside_local_geo_target,2026-09-03
Manchester,Nature and animals,Nature walks,nature walks near me,nature walks near me,nature walks near me,,70,LOW,10,0.7908,0.2153,1.4835,2025-august:140|2025-september:50|2025-october:70|2025-november:30|2025-december:30|2026-january:70|2026-february:50|2026-march:50|2026-april:110|2026-may:70|2026-june:70|2026-july:110,generic_query_inside_local_geo_target,2026-09-03
Manchester,Social and relationship,Speed dating,speed dating near me,speed dating near me,speed dating near me,,20,MEDIUM,44,2.1293,0.3998,2.6670,2025-august:30|2025-september:10|2025-october:10|2025-november:20|2025-december:10|2026-january:50|2026-february:20|2026-march:10|2026-april:20|2026-may:30|2026-june:20|2026-july:20,generic_query_inside_local_geo_target,2026-09-03
Manchester,Performance and dance,Karaoke,karaoke near me,karaoke near me,karaoke near me,,1900,LOW,19,0.1786,0.1907,0.5406,2025-august:1900|2025-september:1600|2025-october:1900|2025-november:1900|2025-december:2400|2026-january:1600|2026-february:1600|2026-march:1900|2026-april:1600|2026-may:1900|2026-june:1900|2026-july:1900,generic_query_inside_local_geo_target,2026-09-03
Manchester,"Wellness, spa and retreats",Spa retreats,spa retreat near me,spa retreat near me,spa retreat near me,,20,HIGH,100,0.3069,0.1878,0.8855,2025-august:40|2025-september:40|2025-october:10|2025-november:10|2025-december:10|2026-january:20|2026-february:30|2026-march:20|2026-april:20|2026-may:20|2026-june:20|2026-july:40,generic_query_inside_local_geo_target,2026-09-03
Manchester,Craft and making,General art workshops,art workshops near me,art workshops near me,art workshops near me,,10,HIGH,88,0.0145,0.0000,0.0000,2025-august:10|2025-september:10|2025-october:10|2025-november:10|2025-december:10|2026-january:10|2026-february:20|2026-march:10|2026-april:10|2026-may:10|2026-june:10|2026-july:10,generic_query_inside_local_geo_target,2026-09-03
Manchester,Craft and making,Sip and paint,sip and paint near me,sip and paint near me,sip and paint near me,,40,HIGH,98,0.4814,0.2618,0.7872,2025-august:50|2025-september:50|2025-october:50|2025-november:40|2025-december:40|2026-january:70|2026-february:70|2026-march:40|2026-april:30|2026-may:30|2026-june:30|2026-july:40,generic_query_inside_local_geo_target,2026-09-03
Leeds,Competitive experiences,Darts,darts near me,darts near me,darts near me,,110,MEDIUM,34,0.1174,0.0000,0.0000,2025-august:90|2025-september:90|2025-october:140|2025-november:110|2025-december:140|2026-january:260|2026-february:140|2026-march:110|2026-april:90|2026-may:110|2026-june:70|2026-july:90,generic_query_inside_local_geo_target,2026-09-03
Leeds,Performance and dance,Line dancing,line dancing near me,line dancing near me,line dancing near me,,70,LOW,3,0.5526,0.0000,0.0000,2025-august:90|2025-september:140|2025-october:110|2025-november:70|2025-december:40|2026-january:70|2026-february:50|2026-march:70|2026-april:40|2026-may:50|2026-june:50|2026-july:70,generic_query_inside_local_geo_target,2026-09-03
Leeds,Performance and dance,Salsa classes,salsa classes near me,salsa classes near me,salsa classes near me,,20,LOW,27,1.2431,0.3143,0.9932,2025-august:20|2025-september:30|2025-october:20|2025-november:20|2025-december:20|2026-january:20|2026-february:30|2026-march:20|2026-april:10|2026-may:20|2026-june:20|2026-july:30,generic_query_inside_local_geo_target,2026-09-03
Leeds,Tabletop and games,Board-game cafes,board game cafe near me,board game cafe near me,board game cafe near me,,50,LOW,11,0.0142,0.0000,0.0000,2025-august:50|2025-september:50|2025-october:70|2025-november:50|2025-december:40|2026-january:70|2026-february:40|2026-march:40|2026-april:40|2026-may:40|2026-june:40|2026-july:40,generic_query_inside_local_geo_target,2026-09-03
Leeds,Craft and making,Pottery painting,pottery painting near me,pottery painting near me,pottery painting near me,,320,LOW,11,0.1339,0.0000,0.0000,2025-august:480|2025-september:390|2025-october:480|2025-november:320|2025-december:260|2026-january:320|2026-february:390|2026-march:320|2026-april:260|2026-may:260|2026-june:260|2026-july:320,generic_query_inside_local_geo_target,2026-09-03
Leeds,Craft and making,Pottery classes,pottery classes near me,pottery classes near me,pottery classes near me,,90,HIGH,96,0.7031,0.1345,1.8159,2025-august:90|2025-september:110|2025-october:110|2025-november:90|2025-december:90|2026-january:110|2026-february:70|2026-march:70|2026-april:50|2026-may:70|2026-june:40|2026-july:50,generic_query_inside_local_geo_target,2026-09-03
