rank,format,family,primary_keyword,national_average_monthly_searches,national_average_cpc_gbp,best_city,best_city_explicit_average_monthly_searches,best_city_local_geo_average_monthly_searches,best_city_liquidity_index_100,top_three_city_cells,best_non_london_city,best_non_london_explicit_average_monthly_searches,best_non_london_local_geo_average_monthly_searches,best_non_london_liquidity_index_100,top_three_non_london_city_cells,cities_with_reportable_signal_15,national_demand_points_15,city_liquidity_points_20,city_breadth_points_10,commercial_intent_points_10,repeatability_points_10,social_design_points_10,asset_light_control_points_10,price_evidence_points_5,eventization_headroom_points_10,deep_opportunity_score_100,decision,decision_gate,recommended_test,current_price_anchor,evidence_coverage,largest_unknown,score_method,observed_at
11,Acting classes,Performance and dance,acting classes near me,3600,2.2071,London,2900,390,73,London:73 (explicit 2900; local 390) | Manchester:55 (explicit 880; local 40) | Birmingham:52 (explicit 260; local 70),Manchester,880,40,55,Manchester:55 (explicit 880; local 40) | Birmingham:52 (explicit 260; local 70) | Glasgow:51 (explicit 390; local 40),13,12,14.6,8.7,8,8,10,10,2,8,81,focused_validation,"Ceiling: focused_validation; applied for facility, free-substitute, fulfilment or evidence risk",Four-session beginner cohort with a sharing night,No comparable current adult acting-course price retained,national demand; 15-city demand; incomplete price evidence,"adult solo-friendly conversion, fill, second paid booking and direct contribution in the proposed city-format cell",15 national demand + 20 best-city liquidity + 10 city breadth + 10 commercial intent + 10 repeatability + 10 social design + 10 asset-light control + 5 price evidence + 10 eventization headroom,2026-09-03
12,Sip and paint,Craft and making,sip and paint near me,3600,0.5167,London,6600,590,80,London:80 (explicit 6600; local 590) | Birmingham:58 (explicit 880; local 70) | Manchester:56 (explicit 1000; local 40),Birmingham,880,70,58,Birmingham:58 (explicit 880; local 70) | Manchester:56 (explicit 1000; local 40) | Bristol:52 (explicit 590; local 30),15,12,16,10,8,6,8,10,3,8,81,priority_paid_pilot,No manual ceiling beyond the weighted score,Venue-partnered evening with materials pre-kitted,Brush Party product evidence retained; comparable in-person unit economics unknown,national demand; 15-city demand; incomplete price evidence,"adult solo-friendly conversion, fill, second paid booking and direct contribution in the proposed city-format cell",15 national demand + 20 best-city liquidity + 10 city breadth + 10 commercial intent + 10 repeatability + 10 social design + 10 asset-light control + 5 price evidence + 10 eventization headroom,2026-09-03
13,Sewing classes,Craft and making,sewing classes near me,5400,0.5925,London,1600,720,73,London:73 (explicit 1600; local 720) | Birmingham:54 (explicit 260; local 110) | Glasgow:54 (explicit 390; local 70),Birmingham,260,110,54,Birmingham:54 (explicit 260; local 110) | Glasgow:54 (explicit 390; local 70) | Manchester:52 (explicit 390; local 50),15,13.5,14.6,10,10,8,8,6,2,8,80,focused_validation,"Ceiling: focused_validation; applied for facility, free-substitute, fulfilment or evidence risk",Bring-your-machine taster before equipment-heavy provision,No comparable current operator price retained,national demand; 15-city demand; incomplete price evidence,"adult solo-friendly conversion, fill, second paid booking and direct contribution in the proposed city-format cell",15 national demand + 20 best-city liquidity + 10 city breadth + 10 commercial intent + 10 repeatability + 10 social design + 10 asset-light control + 5 price evidence + 10 eventization headroom,2026-09-03
14,Chess clubs,Tabletop and games,chess club near me,2400,0.7754,London,1600,480,71,London:71 (explicit 1600; local 480) | Birmingham:48 (explicit 170; local 50) | Edinburgh:46 (explicit 480; local 10),Birmingham,170,50,48,Birmingham:48 (explicit 170; local 50) | Edinburgh:46 (explicit 480; local 10) | Manchester:46 (explicit 210; local 30),11,10.5,14.2,7.3,6,10,10,10,3,8,79,focused_validation,"Ceiling: focused_validation; applied for facility, free-substitute, fulfilment or evidence risk",Hosted ladder with teaching table and seasonal final,Adjacent hosted chess and games evidence; no broad UK benchmark,national demand; 15-city demand; incomplete price evidence,"adult solo-friendly conversion, fill, second paid booking and direct contribution in the proposed city-format cell",15 national demand + 20 best-city liquidity + 10 city breadth + 10 commercial intent + 10 repeatability + 10 social design + 10 asset-light control + 5 price evidence + 10 eventization headroom,2026-09-03
15,Cooking classes,Food and drink,cooking classes near me,8100,0.7675,London,5400,720,80,London:80 (explicit 5400; local 720) | Manchester:60 (explicit 1600; local 50) | Birmingham:58 (explicit 590; local 110),Manchester,1600,50,60,Manchester:60 (explicit 1600; local 50) | Birmingham:58 (explicit 590; local 110) | Glasgow:56 (explicit 880; local 50),15,13.5,16,10,10,6,8,6,2,6,78,focused_validation,"Ceiling: focused_validation; applied for facility, free-substitute, fulfilment or evidence risk",Licensed-kitchen partnership with one repeatable menu,No comparable current UK operator price retained,national demand; 15-city demand; incomplete price evidence,"adult solo-friendly conversion, fill, second paid booking and direct contribution in the proposed city-format cell",15 national demand + 20 best-city liquidity + 10 city breadth + 10 commercial intent + 10 repeatability + 10 social design + 10 asset-light control + 5 price evidence + 10 eventization headroom,2026-09-03
16,Quiz nights,Tabletop and games,quiz night near me,2900,0.6879,London,170,210,55,London:55 (explicit 170; local 210) | Glasgow:54 (explicit 1300; local 20) | Bristol:52 (explicit 880; local 20),Glasgow,1300,20,54,Glasgow:54 (explicit 1300; local 20) | Bristol:52 (explicit 880; local 20) | Edinburgh:52 (explicit 1600; local 10),12,12,11,8,6,10,10,10,2,8,77,focused_validation,"Ceiling: focused_validation; applied for facility, free-substitute, fulfilment or evidence risk","Team rotation and season table, not a commodity pub quiz",No directly comparable managed-series price retained,national demand; 15-city demand; incomplete price evidence,"adult solo-friendly conversion, fill, second paid booking and direct contribution in the proposed city-format cell",15 national demand + 20 best-city liquidity + 10 city breadth + 10 commercial intent + 10 repeatability + 10 social design + 10 asset-light control + 5 price evidence + 10 eventization headroom,2026-09-03
17,Speed dating,Social and relationship,speed dating near me,2900,1.6623,London,5400,260,75,London:75 (explicit 5400; local 260) | Belfast:49 (explicit 880; local 10) | Birmingham:20 (explicit 0; local 50),Belfast,880,10,49,Belfast:49 (explicit 880; local 10) | Birmingham:20 (explicit 0; local 50) | Bristol:15 (explicit 0; local 20),6,12,15,4,8,8,10,10,4,6,77,focused_validation,"Ceiling: focused_validation; applied for facility, free-substitute, fulfilment or evidence risk",Only with a sharply defined cohort and balanced inventory,"Original Dating current regional inventory and ticket examples (S169, S170)",national demand; 15-city demand; current adjacent price evidence,"adult solo-friendly conversion, fill, second paid booking and direct contribution in the proposed city-format cell",15 national demand + 20 best-city liquidity + 10 city breadth + 10 commercial intent + 10 repeatability + 10 social design + 10 asset-light control + 5 price evidence + 10 eventization headroom,2026-09-03
18,Dungeons & Dragons,Tabletop and games,dungeons and dragons near me,1300,0.1490,London,1000,260,65,London:65 (explicit 1000; local 260) | Edinburgh:40 (explicit 90; local 20) | Glasgow:40 (explicit 90; local 20),Edinburgh,90,20,40,Edinburgh:40 (explicit 90; local 20) | Glasgow:40 (explicit 90; local 20) | Manchester:38 (explicit 70; local 20),10,10.5,13,6.7,8,10,10,8,3,8,77,focused_validation,"Ceiling: focused_validation; applied for facility, free-substitute, fulfilment or evidence risk",Prepaid continuing campaign with a trained game master,Adjacent professional game-master pricing retained; no UK city benchmark,national demand; 15-city demand; incomplete price evidence,"adult solo-friendly conversion, fill, second paid booking and direct contribution in the proposed city-format cell",15 national demand + 20 best-city liquidity + 10 city breadth + 10 commercial intent + 10 repeatability + 10 social design + 10 asset-light control + 5 price evidence + 10 eventization headroom,2026-09-03
19,Volleyball,Racket and team sport,volleyball clubs near me,4400,0.3712,London,390,590,64,London:64 (explicit 390; local 590) | Birmingham:48 (explicit 110; local 90) | Bristol:47 (explicit 260; local 30),Birmingham,110,90,48,Birmingham:48 (explicit 110; local 90) | Bristol:47 (explicit 260; local 30) | Glasgow:40 (explicit 50; local 40),8,12,12.8,5.3,8,10,10,4,4,8,74,partner_only_or_narrow_test,"Ceiling: partner_only_or_narrow_test; applied for facility, free-substitute, fulfilment or evidence risk",Prepaid season using a recurring rented court slot,GO Mammoth adjacent social-sport league price evidence (S175),national demand; 15-city demand; current adjacent price evidence,"adult solo-friendly conversion, fill, second paid booking and direct contribution in the proposed city-format cell",15 national demand + 20 best-city liquidity + 10 city breadth + 10 commercial intent + 10 repeatability + 10 social design + 10 asset-light control + 5 price evidence + 10 eventization headroom,2026-09-03
20,Netball,Racket and team sport,netball clubs near me,2900,1.2329,London,170,390,58,London:58 (explicit 170; local 390) | Birmingham:46 (explicit 90; local 70) | Manchester:46 (explicit 170; local 40),Birmingham,90,70,46,Birmingham:46 (explicit 90; local 70) | Manchester:46 (explicit 170; local 40) | Bristol:45 (explicit 170; local 30),10,12,11.6,6.7,8,10,10,4,4,8,74,partner_only_or_narrow_test,"Ceiling: partner_only_or_narrow_test; applied for facility, free-substitute, fulfilment or evidence risk",Prepaid season with individual player matching,"GO Mammoth city coverage and adjacent league price evidence (S171, S175)",national demand; 15-city demand; current adjacent price evidence,"adult solo-friendly conversion, fill, second paid booking and direct contribution in the proposed city-format cell",15 national demand + 20 best-city liquidity + 10 city breadth + 10 commercial intent + 10 repeatability + 10 social design + 10 asset-light control + 5 price evidence + 10 eventization headroom,2026-09-03
21,Nature walks,Nature and animals,nature walks near me,6600,1.0187,London,210,260,57,London:57 (explicit 210; local 260) | Bristol:46 (explicit 90; local 70) | Glasgow:46 (explicit 70; local 90),Bristol,90,70,46,Bristol:46 (explicit 90; local 70) | Glasgow:46 (explicit 70; local 90) | Birmingham:44 (explicit 40; local 110),12,13.5,11.4,8,8,6,8,8,1,8,72,focused_validation,"Ceiling: focused_validation; applied for facility, free-substitute, fulfilment or evidence risk","Qualified guide, bounded theme and weather fallback",No comparable current paid-walk price retained,national demand; 15-city demand; incomplete price evidence,"adult solo-friendly conversion, fill, second paid booking and direct contribution in the proposed city-format cell",15 national demand + 20 best-city liquidity + 10 city breadth + 10 commercial intent + 10 repeatability + 10 social design + 10 asset-light control + 5 price evidence + 10 eventization headroom,2026-09-03
22,General art workshops,Craft and making,art workshops near me,880,0.5673,London,2400,90,65,London:65 (explicit 2400; local 90) | Liverpool:44 (explicit 390; local 10) | Leeds:43 (explicit 320; local 10),Liverpool,390,10,44,Liverpool:44 (explicit 390; local 10) | Leeds:43 (explicit 320; local 10) | Sheffield:43 (explicit 320; local 10),10,9,13,6.7,8,6,8,10,2,8,71,partner_only_or_narrow_test,"Ceiling: focused_validation; applied for facility, free-substitute, fulfilment or evidence risk",Portable two-hour workshop in a partner venue,No comparable current general-workshop price retained,national demand; 15-city demand; incomplete price evidence,"adult solo-friendly conversion, fill, second paid booking and direct contribution in the proposed city-format cell",15 national demand + 20 best-city liquidity + 10 city breadth + 10 commercial intent + 10 repeatability + 10 social design + 10 asset-light control + 5 price evidence + 10 eventization headroom,2026-09-03
23,Yoga retreats,"Wellness, spa and retreats",yoga retreats uk,2400,1.1447,London,210,70,50,London:50 (explicit 210; local 70) | Bristol:31 (explicit 30; local 10) | Liverpool:29 (explicit 20; local 10),Bristol,30,10,31,Bristol:31 (explicit 30; local 10) | Liverpool:29 (explicit 20; local 10) | Newcastle:29 (explicit 20; local 10),1,10.5,10,0.7,10,8,8,6,5,8,66,partner_only_or_narrow_test,"Ceiling: partner_only_or_narrow_test; applied for facility, free-substitute, fulfilment or evidence risk",Partner-venue weekend only after audience pre-validation,"Emyoga two nights £395 shared or £495 single; Zest from £945 (S176, S177)",national demand; 15-city demand; current adjacent price evidence,"adult solo-friendly conversion, fill, second paid booking and direct contribution in the proposed city-format cell",15 national demand + 20 best-city liquidity + 10 city breadth + 10 commercial intent + 10 repeatability + 10 social design + 10 asset-light control + 5 price evidence + 10 eventization headroom,2026-09-03
24,Spa retreats,"Wellness, spa and retreats",spa retreats uk,1300,0.8113,London,480,170,59,London:59 (explicit 480; local 170) | Manchester:42 (explicit 140; local 20) | Birmingham:38 (explicit 70; local 20),Manchester,140,20,42,Manchester:42 (explicit 140; local 20) | Birmingham:38 (explicit 70; local 20) | Liverpool:32 (explicit 40; local 10),4,10.5,11.8,2.7,10,6,8,4,5,8,66,partner_only_or_narrow_test,"Ceiling: partner_only_or_narrow_test; applied for facility, free-substitute, fulfilment or evidence risk",Audience-led day retreat through an existing spa,"Grange day retreat £199; Macdonald spa days £64–£85+; Stobo four nights from £1,128 (S178–S180)",national demand; 15-city demand; current adjacent price evidence,"adult solo-friendly conversion, fill, second paid booking and direct contribution in the proposed city-format cell",15 national demand + 20 best-city liquidity + 10 city breadth + 10 commercial intent + 10 repeatability + 10 social design + 10 asset-light control + 5 price evidence + 10 eventization headroom,2026-09-03
