city,category,submitted_keyword,grouped_submitted_keywords,returned_keyword,close_variants,average_monthly_searches,competition,competition_index,average_cpc_gbp,low_top_of_page_gbp,high_top_of_page_gbp,monthly_search_volumes,geography_method,observed_at
London,interest_led,social sports London,social sports London,social sports london,social sports London,70,LOW,27,3.7480,0.8881,1.9376,2025-august:110|2025-september:70|2025-october:90|2025-november:50|2025-december:50|2026-january:70|2026-february:70|2026-march:50|2026-april:70|2026-may:50|2026-june:50|2026-july:50,explicit_city_query_under_uk_target,2026-09-03
London,dating,speed dating London,speed dating London,speed dating london,speed dating London,5400,MEDIUM,54,1.3328,0.4268,1.3198,2025-august:5400|2025-september:5400|2025-october:5400|2025-november:5400|2025-december:4400|2026-january:5400|2026-february:5400|2026-march:4400|2026-april:4400|2026-may:4400|2026-june:3600|2026-july:4400,explicit_city_query_under_uk_target,2026-09-03
London,dating,singles events London,singles events London,singles events london,singles events London,1600,MEDIUM,50,1.2666,0.3883,1.2206,2025-august:1900|2025-september:1600|2025-october:1600|2025-november:1600|2025-december:1300|2026-january:1900|2026-february:1900|2026-march:1600|2026-april:1600|2026-may:1600|2026-june:1600|2026-july:1600,explicit_city_query_under_uk_target,2026-09-03
London,dating,singles nights London,singles nights London,singles nights london,singles nights London,1000,MEDIUM,50,1.0749,0.3641,1.1713,2025-august:1000|2025-september:1000|2025-october:1000|2025-november:1000|2025-december:880|2026-january:1000|2026-february:1000|2026-march:1000|2026-april:1000|2026-may:880|2026-june:880|2026-july:1000,explicit_city_query_under_uk_target,2026-09-03
London,broad_discovery,things to do London,things to do London,things to do london,things to do London,22200,HIGH,100,0.5327,0.1516,0.8944,2025-august:27100|2025-september:22200|2025-october:22200|2025-november:18100|2025-december:18100|2026-january:22200|2026-february:18100|2026-march:18100|2026-april:18100|2026-may:18100|2026-june:14800|2026-july:22200,explicit_city_query_under_uk_target,2026-09-03
London,broad_discovery,events London,events London,events london,events London,14800,HIGH,100,0.9630,0.2789,1.1557,2025-august:18100|2025-september:18100|2025-october:18100|2025-november:14800|2025-december:12100|2026-january:14800|2026-february:12100|2026-march:12100|2026-april:12100|2026-may:14800|2026-june:12100|2026-july:14800,explicit_city_query_under_uk_target,2026-09-03
Birmingham,friendship_discovery,social events Birmingham,social events Birmingham,social events birmingham,social events Birmingham,70,HIGH,72,0.9648,0.1606,1.0602,2025-august:70|2025-september:70|2025-october:70|2025-november:90|2025-december:50|2026-january:70|2026-february:90|2026-march:50|2026-april:90|2026-may:70|2026-june:50|2026-july:50,explicit_city_query_under_uk_target,2026-09-03
Birmingham,friendship_discovery,meet new people Birmingham,meet new people Birmingham,meet new people birmingham,meet new people Birmingham,10,MEDIUM,47,0.7786,0.6515,1.8777,2025-august:10|2025-september:10|2025-october:10|2025-november:10|2025-december:10|2026-january:10|2026-february:10|2026-march:10|2026-april:20|2026-may:10|2026-june:20|2026-july:10,explicit_city_query_under_uk_target,2026-09-03
Birmingham,friendship_discovery,make new friends Birmingham,make new friends Birmingham,make new friends birmingham,make new friends Birmingham,20,LOW,10,2.9699,0.8348,2.2253,2025-august:30|2025-september:40|2025-october:10|2025-november:30|2025-december:20|2026-january:20|2026-february:20|2026-march:10|2026-april:10|2026-may:30|2026-june:20|2026-july:40,explicit_city_query_under_uk_target,2026-09-03
Birmingham,friendship_discovery,social groups Birmingham,social groups Birmingham,social groups birmingham,social groups Birmingham,50,LOW,8,0.4702,0.0982,1.1714,2025-august:50|2025-september:70|2025-october:70|2025-november:30|2025-december:50|2026-january:40|2026-february:40|2026-march:40|2026-april:50|2026-may:30|2026-june:50|2026-july:40,explicit_city_query_under_uk_target,2026-09-03
Birmingham,interest_led,public lectures Birmingham,public lectures Birmingham,public lectures birmingham,public lectures Birmingham,10,LOW,2,0.0000,0.0000,0.0000,2025-august:10|2025-september:10|2025-october:10|2025-november:10|2025-december:10|2026-january:30|2026-february:20|2026-march:10|2026-april:10|2026-may:10|2026-june:20|2026-july:20,explicit_city_query_under_uk_target,2026-09-03
Birmingham,interest_led,book club Birmingham,book club Birmingham,book club birmingham,book club Birmingham,260,LOW,7,0.4623,0.2241,0.6876,2025-august:320|2025-september:260|2025-october:260|2025-november:260|2025-december:320|2026-january:390|2026-february:260|2026-march:210|2026-april:260|2026-may:170|2026-june:210|2026-july:260,explicit_city_query_under_uk_target,2026-09-03
Birmingham,interest_led,board game cafe Birmingham,board game cafe Birmingham,board game cafe birmingham,board game cafe Birmingham,880,LOW,7,0.0750,0.0346,0.1712,2025-august:880|2025-september:880|2025-october:880|2025-november:880|2025-december:880|2026-january:1000|2026-february:1000|2026-march:880|2026-april:880|2026-may:720|2026-june:720|2026-july:590,explicit_city_query_under_uk_target,2026-09-03
Birmingham,interest_led,chess club Birmingham,chess club Birmingham,chess club birmingham,chess club Birmingham,170,LOW,0,0.0000,0.0000,0.0000,2025-august:210|2025-september:170|2025-october:170|2025-november:170|2025-december:170|2026-january:170|2026-february:110|2026-march:170|2026-april:170|2026-may:170|2026-june:170|2026-july:170,explicit_city_query_under_uk_target,2026-09-03
Birmingham,interest_led,pottery classes Birmingham,pottery classes Birmingham,pottery classes birmingham,pottery classes Birmingham,880,HIGH,100,0.5975,0.2232,0.7198,2025-august:880|2025-september:880|2025-october:880|2025-november:880|2025-december:1000|2026-january:1600|2026-february:1000|2026-march:880|2026-april:880|2026-may:720|2026-june:590|2026-july:590,explicit_city_query_under_uk_target,2026-09-03
Birmingham,interest_led,pottery painting Birmingham,pottery painting Birmingham,pottery painting birmingham,pottery painting Birmingham,4400,LOW,28,0.1579,0.0721,0.2469,2025-august:4400|2025-september:3600|2025-october:4400|2025-november:3600|2025-december:2900|2026-january:5400|2026-february:6600|2026-march:5400|2026-april:4400|2026-may:3600|2026-june:2900|2026-july:3600,explicit_city_query_under_uk_target,2026-09-03
Birmingham,dating,singles events Birmingham,singles events Birmingham,singles events birmingham,singles events Birmingham,260,LOW,23,1.6980,0.6485,2.3029,2025-august:390|2025-september:260|2025-october:260|2025-november:320|2025-december:210|2026-january:320|2026-february:320|2026-march:260|2026-april:210|2026-may:260|2026-june:210|2026-july:260,explicit_city_query_under_uk_target,2026-09-03
Birmingham,dating,singles nights Birmingham,singles nights Birmingham,singles nights birmingham,singles nights Birmingham,90,LOW,29,1.4130,0.4546,1.6991,2025-august:90|2025-september:110|2025-october:140|2025-november:110|2025-december:70|2026-january:90|2026-february:140|2026-march:90|2026-april:70|2026-may:90|2026-june:90|2026-july:90,explicit_city_query_under_uk_target,2026-09-03
Birmingham,broad_discovery,things to do Birmingham,things to do Birmingham,things to do birmingham,things to do Birmingham,27100,HIGH,100,0.4508,0.1528,1.0366,2025-august:40500|2025-september:27100|2025-october:33100|2025-november:22200|2025-december:22200|2026-january:27100|2026-february:27100|2026-march:27100|2026-april:27100|2026-may:27100|2026-june:22200|2026-july:27100,explicit_city_query_under_uk_target,2026-09-03
Birmingham,broad_discovery,events Birmingham,events Birmingham,events birmingham,events Birmingham,4400,HIGH,100,0.7419,0.3474,1.8358,2025-august:5400|2025-september:5400|2025-october:5400|2025-november:4400|2025-december:3600|2026-january:3600|2026-february:3600|2026-march:3600|2026-april:3600|2026-may:4400|2026-june:3600|2026-july:3600,explicit_city_query_under_uk_target,2026-09-03
Manchester,friendship_discovery,social events Manchester,social events Manchester,social events manchester,social events Manchester,140,LOW,12,0.8838,0.2679,1.0999,2025-august:140|2025-september:140|2025-october:140|2025-november:110|2025-december:70|2026-january:140|2026-february:90|2026-march:140|2026-april:140|2026-may:170|2026-june:110|2026-july:140,explicit_city_query_under_uk_target,2026-09-03
Manchester,friendship_discovery,meet new people Manchester,meet new people Manchester,meet new people manchester,meet new people Manchester,30,MEDIUM,34,1.5048,0.5868,1.5072,2025-august:40|2025-september:30|2025-october:40|2025-november:30|2025-december:20|2026-january:30|2026-february:30|2026-march:30|2026-april:30|2026-may:30|2026-june:30|2026-july:20,explicit_city_query_under_uk_target,2026-09-03
Manchester,friendship_discovery,make new friends Manchester,make new friends Manchester,make new friends manchester,make new friends Manchester,40,LOW,21,1.1997,0.3320,2.0410,2025-august:30|2025-september:20|2025-october:40|2025-november:30|2025-december:30|2026-january:30|2026-february:30|2026-march:30|2026-april:40|2026-may:50|2026-june:50|2026-july:50,explicit_city_query_under_uk_target,2026-09-03
Manchester,friendship_discovery,social groups Manchester,social groups Manchester,social groups manchester,social groups Manchester,110,LOW,10,0.3253,0.1800,1.0541,2025-august:140|2025-september:110|2025-october:110|2025-november:110|2025-december:90|2026-january:170|2026-february:90|2026-march:110|2026-april:110|2026-may:70|2026-june:70|2026-july:110,explicit_city_query_under_uk_target,2026-09-03
Manchester,interest_led,public lectures Manchester,public lectures Manchester,public lectures manchester,public lectures Manchester,40,LOW,2,6.6266,0.0000,0.0000,2025-august:30|2025-september:30|2025-october:40|2025-november:40|2025-december:40|2026-january:70|2026-february:40|2026-march:30|2026-april:40|2026-may:30|2026-june:70|2026-july:50,explicit_city_query_under_uk_target,2026-09-03
Manchester,interest_led,book club Manchester,book club Manchester,book club manchester,book club Manchester,480,LOW,9,1.2133,0.3430,1.1869,2025-august:480|2025-september:480|2025-october:590|2025-november:590|2025-december:480|2026-january:720|2026-february:480|2026-march:480|2026-april:480|2026-may:480|2026-june:390|2026-july:480,explicit_city_query_under_uk_target,2026-09-03
Manchester,interest_led,board game cafe Manchester,board game cafe Manchester,board game cafe manchester,board game cafe Manchester,720,LOW,7,0.5130,0.5951,1.6820,2025-august:720|2025-september:720|2025-october:720|2025-november:720|2025-december:590|2026-january:880|2026-february:880|2026-march:720|2026-april:720|2026-may:590|2026-june:590|2026-july:480,explicit_city_query_under_uk_target,2026-09-03
Manchester,interest_led,chess club Manchester,chess club Manchester,chess club manchester,chess club Manchester,210,LOW,1,1.9527,0.0000,0.0000,2025-august:260|2025-september:260|2025-october:260|2025-november:260|2025-december:210|2026-january:260|2026-february:210|2026-march:210|2026-april:210|2026-may:210|2026-june:170|2026-july:210,explicit_city_query_under_uk_target,2026-09-03
Manchester,interest_led,pottery classes Manchester,pottery classes Manchester,pottery classes manchester,pottery classes Manchester,2400,HIGH,100,0.8994,0.4263,1.2870,2025-august:2400|2025-september:2400|2025-october:2400|2025-november:2400|2025-december:2400|2026-january:2900|2026-february:2400|2026-march:2400|2026-april:1900|2026-may:1600|2026-june:1600|2026-july:1600,explicit_city_query_under_uk_target,2026-09-03
Manchester,interest_led,pottery painting Manchester,pottery painting Manchester,pottery painting manchester,pottery painting Manchester,4400,HIGH,100,0.4147,0.2774,0.6562,2025-august:4400|2025-september:4400|2025-october:5400|2025-november:4400|2025-december:3600|2026-january:5400|2026-february:5400|2026-march:4400|2026-april:3600|2026-may:3600|2026-june:2900|2026-july:3600,explicit_city_query_under_uk_target,2026-09-03
Manchester,dating,singles events Manchester,singles events Manchester,singles events manchester,singles events Manchester,590,LOW,31,1.0130,0.3651,1.5691,2025-august:590|2025-september:720|2025-october:590|2025-november:720|2025-december:590|2026-january:720|2026-february:590|2026-march:590|2026-april:480|2026-may:590|2026-june:590|2026-july:590,explicit_city_query_under_uk_target,2026-09-03
Manchester,dating,singles nights Manchester,singles nights Manchester,singles nights manchester,singles nights Manchester,210,MEDIUM,41,1.1544,0.4164,1.8515,2025-august:210|2025-september:210|2025-october:170|2025-november:140|2025-december:140|2026-january:320|2026-february:210|2026-march:210|2026-april:170|2026-may:210|2026-june:210|2026-july:210,explicit_city_query_under_uk_target,2026-09-03
Manchester,broad_discovery,things to do Manchester,things to do Manchester,things to do manchester,things to do Manchester,40500,HIGH,100,0.4113,0.1539,0.7645,2025-august:60500|2025-september:40500|2025-october:49500|2025-november:33100|2025-december:40500|2026-january:49500|2026-february:49500|2026-march:40500|2026-april:40500|2026-may:40500|2026-june:33100|2026-july:40500,explicit_city_query_under_uk_target,2026-09-03
Manchester,broad_discovery,events Manchester,events Manchester,events manchester,events Manchester,6600,HIGH,100,0.7190,0.3019,1.2157,2025-august:8100|2025-september:8100|2025-october:8100|2025-november:6600|2025-december:5400|2026-january:6600|2026-february:6600|2026-march:8100|2026-april:6600|2026-may:6600|2026-june:6600|2026-july:6600,explicit_city_query_under_uk_target,2026-09-03
Leeds,friendship_discovery,social events Leeds,social events Leeds,social events leeds,social events Leeds,40,HIGH,100,0.4397,0.0000,0.0000,2025-august:40|2025-september:40|2025-october:50|2025-november:30|2025-december:20|2026-january:40|2026-february:50|2026-march:50|2026-april:50|2026-may:40|2026-june:50|2026-july:40,explicit_city_query_under_uk_target,2026-09-03
Leeds,friendship_discovery,meet new people Leeds,meet new people Leeds,meet new people leeds,meet new people Leeds,10,LOW,7,0.0000,0.0000,0.0000,2025-august:10|2025-september:10|2025-october:10|2025-november:10|2025-december:10|2026-january:10|2026-february:20|2026-march:10|2026-april:20|2026-may:20|2026-june:20|2026-july:10,explicit_city_query_under_uk_target,2026-09-03
Leeds,friendship_discovery,make new friends Leeds,make new friends Leeds,make new friends leeds,make new friends Leeds,10,LOW,20,0.0000,0.0000,0.0000,2025-august:20|2025-september:10|2025-october:10|2025-november:20|2025-december:10|2026-january:10|2026-february:10|2026-march:10|2026-april:20|2026-may:20|2026-june:10|2026-july:10,explicit_city_query_under_uk_target,2026-09-03
Leeds,friendship_discovery,social groups Leeds,social groups Leeds,social groups leeds,social groups Leeds,70,LOW,3,1.2735,0.0000,0.0000,2025-august:70|2025-september:90|2025-october:70|2025-november:50|2025-december:40|2026-january:90|2026-february:50|2026-march:50|2026-april:50|2026-may:70|2026-june:50|2026-july:70,explicit_city_query_under_uk_target,2026-09-03
Leeds,interest_led,public lectures Leeds,public lectures Leeds,public lectures leeds,public lectures Leeds,10,LOW,0,0.0000,0.0000,0.0000,2025-august:10|2025-september:10|2025-october:20|2025-november:10|2025-december:10|2026-january:20|2026-february:10|2026-march:10|2026-april:10|2026-may:10|2026-june:10|2026-july:10,explicit_city_query_under_uk_target,2026-09-03
Leeds,interest_led,book club Leeds,book club Leeds,book club leeds,book club Leeds,480,LOW,5,0.6222,0.2853,0.5816,2025-august:480|2025-september:590|2025-october:590|2025-november:590|2025-december:390|2026-january:590|2026-february:480|2026-march:480|2026-april:390|2026-may:480|2026-june:480|2026-july:390,explicit_city_query_under_uk_target,2026-09-03
Leeds,interest_led,board game cafe Leeds,board game cafe Leeds,board game cafe leeds,board game cafe Leeds,390,LOW,2,0.4625,0.0000,0.0000,2025-august:480|2025-september:390|2025-october:480|2025-november:390|2025-december:320|2026-january:480|2026-february:480|2026-march:390|2026-april:320|2026-may:320|2026-june:260|2026-july:320,explicit_city_query_under_uk_target,2026-09-03
Leeds,interest_led,chess club Leeds,chess club Leeds,chess club leeds,chess club Leeds,140,LOW,1,0.0000,0.0000,0.0000,2025-august:140|2025-september:140|2025-october:140|2025-november:170|2025-december:140|2026-january:170|2026-february:140|2026-march:170|2026-april:170|2026-may:140|2026-june:110|2026-july:90,explicit_city_query_under_uk_target,2026-09-03
Leeds,interest_led,pottery classes Leeds,pottery classes Leeds,pottery classes leeds,pottery classes Leeds,590,HIGH,100,0.5348,0.1965,0.6132,2025-august:590|2025-september:480|2025-october:720|2025-november:720|2025-december:720|2026-january:1000|2026-february:880|2026-march:720|2026-april:480|2026-may:390|2026-june:390|2026-july:480,explicit_city_query_under_uk_target,2026-09-03
Leeds,interest_led,pottery painting Leeds,pottery painting Leeds,pottery painting leeds,pottery painting Leeds,2400,LOW,26,0.3043,0.2096,0.8006,2025-august:1900|2025-september:2400|2025-october:2900|2025-november:2400|2025-december:1600|2026-january:2900|2026-february:3600|2026-march:2400|2026-april:1900|2026-may:1900|2026-june:1600|2026-july:1900,explicit_city_query_under_uk_target,2026-09-03
Leeds,dating,singles events Leeds,singles events Leeds,singles events leeds,singles events Leeds,170,LOW,22,1.3612,0.4329,2.8972,2025-august:170|2025-september:140|2025-october:110|2025-november:170|2025-december:170|2026-january:210|2026-february:210|2026-march:170|2026-april:140|2026-may:170|2026-june:170|2026-july:170,explicit_city_query_under_uk_target,2026-09-03
Leeds,dating,singles nights Leeds,singles nights Leeds,singles nights leeds,singles nights Leeds,90,LOW,30,1.1509,0.5954,1.8190,2025-august:90|2025-september:90|2025-october:90|2025-november:70|2025-december:70|2026-january:110|2026-february:90|2026-march:90|2026-april:90|2026-may:70|2026-june:90|2026-july:90,explicit_city_query_under_uk_target,2026-09-03
Leeds,broad_discovery,things to do Leeds,things to do Leeds,things to do leeds,things to do Leeds,18100,HIGH,100,0.3516,0.1330,0.8969,2025-august:22200|2025-september:18100|2025-october:18100|2025-november:14800|2025-december:12100|2026-january:18100|2026-february:18100|2026-march:18100|2026-april:14800|2026-may:14800|2026-june:12100|2026-july:14800,explicit_city_query_under_uk_target,2026-09-03
Leeds,broad_discovery,events Leeds,events Leeds,events leeds,events Leeds,3600,HIGH,100,0.5306,0.1397,1.0252,2025-august:3600|2025-september:3600|2025-october:3600|2025-november:3600|2025-december:2900|2026-january:3600|2026-february:3600|2026-march:2900|2026-april:2900|2026-may:3600|2026-june:2900|2026-july:2900,explicit_city_query_under_uk_target,2026-09-03
Bristol,friendship_discovery,social events Bristol,social events Bristol,social events bristol,social events Bristol,40,MEDIUM,45,0.4702,0.4658,1.1694,2025-august:40|2025-september:50|2025-october:30|2025-november:30|2025-december:20|2026-january:40|2026-february:40|2026-march:50|2026-april:40|2026-may:40|2026-june:20|2026-july:50,explicit_city_query_under_uk_target,2026-09-03
Bristol,friendship_discovery,meet new people Bristol,meet new people Bristol,meet new people bristol,meet new people Bristol,20,MEDIUM,34,1.7826,0.4973,3.4227,2025-august:20|2025-september:30|2025-october:20|2025-november:10|2025-december:20|2026-january:20|2026-february:10|2026-march:10|2026-april:10|2026-may:20|2026-june:10|2026-july:10,explicit_city_query_under_uk_target,2026-09-03
Bristol,friendship_discovery,social groups Bristol,social groups Bristol,social groups bristol,social groups Bristol,110,LOW,11,0.3172,0.1796,0.8034,2025-august:110|2025-september:110|2025-october:140|2025-november:110|2025-december:90|2026-january:140|2026-february:110|2026-march:140|2026-april:110|2026-may:110|2026-june:70|2026-july:90,explicit_city_query_under_uk_target,2026-09-03
Bristol,interest_led,public lectures Bristol,public lectures Bristol,public lectures bristol,public lectures Bristol,30,LOW,0,0.0000,0.0000,0.0000,2025-august:30|2025-september:30|2025-october:40|2025-november:20|2025-december:20|2026-january:30|2026-february:20|2026-march:20|2026-april:20|2026-may:10|2026-june:30|2026-july:20,explicit_city_query_under_uk_target,2026-09-03
Bristol,interest_led,book club Bristol,book club Bristol,book club bristol,book club Bristol,390,LOW,6,1.2702,0.2502,0.7109,2025-august:480|2025-september:390|2025-october:390|2025-november:390|2025-december:390|2026-january:590|2026-february:390|2026-march:390|2026-april:320|2026-may:320|2026-june:320|2026-july:320,explicit_city_query_under_uk_target,2026-09-03
Bristol,interest_led,board game cafe Bristol,board game cafe Bristol,board game cafe bristol,board game cafe Bristol,880,LOW,6,0.6282,0.5942,0.6017,2025-august:880|2025-september:880|2025-october:880|2025-november:880|2025-december:720|2026-january:1300|2026-february:1000|2026-march:720|2026-april:590|2026-may:720|2026-june:590|2026-july:480,explicit_city_query_under_uk_target,2026-09-03
Bristol,interest_led,chess club Bristol,chess club Bristol,chess club bristol,chess club Bristol,170,LOW,1,0.0000,0.0000,0.0000,2025-august:170|2025-september:210|2025-october:210|2025-november:210|2025-december:140|2026-january:260|2026-february:140|2026-march:170|2026-april:170|2026-may:140|2026-june:170|2026-july:110,explicit_city_query_under_uk_target,2026-09-03
Bristol,interest_led,pottery classes Bristol,pottery classes Bristol,pottery classes bristol,pottery classes Bristol,1000,HIGH,100,0.9220,0.4062,1.1385,2025-august:1000|2025-september:1300|2025-october:1300|2025-november:1300|2025-december:1600|2026-january:1600|2026-february:1300|2026-march:1300|2026-april:880|2026-may:720|2026-june:720|2026-july:720,explicit_city_query_under_uk_target,2026-09-03
Bristol,interest_led,pottery painting Bristol,pottery painting Bristol,pottery painting bristol,pottery painting Bristol,2900,LOW,20,0.3203,0.3061,0.7622,2025-august:2900|2025-september:3600|2025-october:4400|2025-november:3600|2025-december:2400|2026-january:4400|2026-february:5400|2026-march:3600|2026-april:2900|2026-may:2400|2026-june:1900|2026-july:2400,explicit_city_query_under_uk_target,2026-09-03
Bristol,dating,singles events Bristol,singles events Bristol,singles events bristol,singles events Bristol,390,MEDIUM,35,1.2565,0.4579,1.7870,2025-august:390|2025-september:390|2025-october:390|2025-november:390|2025-december:390|2026-january:480|2026-february:480|2026-march:390|2026-april:390|2026-may:390|2026-june:390|2026-july:480,explicit_city_query_under_uk_target,2026-09-03
Bristol,dating,singles nights Bristol,singles nights Bristol,singles nights bristol,singles nights Bristol,50,MEDIUM,47,1.5401,0.5211,2.0442,2025-august:50|2025-september:50|2025-october:40|2025-november:40|2025-december:40|2026-january:50|2026-february:50|2026-march:70|2026-april:70|2026-may:70|2026-june:90|2026-july:90,explicit_city_query_under_uk_target,2026-09-03
Bristol,broad_discovery,things to do Bristol,things to do Bristol,things to do bristol,things to do Bristol,27100,HIGH,100,0.4448,0.0922,0.7730,2025-august:40500|2025-september:27100|2025-october:27100|2025-november:22200|2025-december:18100|2026-january:27100|2026-february:27100|2026-march:22200|2026-april:27100|2026-may:22200|2026-june:18100|2026-july:22200,explicit_city_query_under_uk_target,2026-09-03
Bristol,broad_discovery,events Bristol,events Bristol,events bristol,events Bristol,4400,HIGH,100,1.5170,0.3409,2.9132,2025-august:5400|2025-september:4400|2025-october:4400|2025-november:3600|2025-december:2900|2026-january:3600|2026-february:3600|2026-march:3600|2026-april:3600|2026-may:4400|2026-june:3600|2026-july:3600,explicit_city_query_under_uk_target,2026-09-03
Nottingham,friendship_discovery,social events Nottingham,social events Nottingham,social events nottingham,social events Nottingham,20,LOW,1,0.0000,0.0000,0.0000,2025-august:20|2025-september:20|2025-october:20|2025-november:20|2025-december:20|2026-january:20|2026-february:30|2026-march:40|2026-april:10|2026-may:20|2026-june:30|2026-july:10,explicit_city_query_under_uk_target,2026-09-03
Nottingham,friendship_discovery,meet new people Nottingham,meet new people Nottingham,meet new people nottingham,meet new people Nottingham,10,LOW,17,0.0000,0.0000,0.0000,2025-august:10|2025-september:10|2025-october:10|2025-november:10|2025-december:10|2026-january:10|2026-february:10|2026-march:10|2026-april:20|2026-may:10|2026-june:10|2026-july:10,explicit_city_query_under_uk_target,2026-09-03
Nottingham,friendship_discovery,make new friends Nottingham,make new friends Nottingham,make new friends nottingham,make new friends Nottingham,10,LOW,10,0.0000,0.0000,0.0000,2025-august:10|2025-september:10|2025-october:20|2025-november:10|2025-december:10|2026-january:10|2026-february:10|2026-march:10|2026-april:10|2026-may:10|2026-june:10|2026-july:10,explicit_city_query_under_uk_target,2026-09-03
Nottingham,friendship_discovery,social groups Nottingham,social groups Nottingham,social groups nottingham,social groups Nottingham,90,LOW,3,3.3388,0.1782,4.6434,2025-august:40|2025-september:70|2025-october:70|2025-november:70|2025-december:40|2026-january:50|2026-february:40|2026-march:50|2026-april:70|2026-may:70|2026-june:170|2026-july:260,explicit_city_query_under_uk_target,2026-09-03
Nottingham,interest_led,public lectures Nottingham,public lectures Nottingham,public lectures nottingham,public lectures Nottingham,10,LOW,1,0.0000,0.0000,0.0000,2025-august:10|2025-september:10|2025-october:20|2025-november:10|2025-december:10|2026-january:10|2026-february:10|2026-march:20|2026-april:10|2026-may:10|2026-june:10|2026-july:10,explicit_city_query_under_uk_target,2026-09-03
Nottingham,interest_led,book club Nottingham,book club Nottingham,book club nottingham,book club Nottingham,210,LOW,9,0.7202,0.2514,0.6334,2025-august:210|2025-september:260|2025-october:210|2025-november:170|2025-december:260|2026-january:390|2026-february:210|2026-march:260|2026-april:170|2026-may:170|2026-june:210|2026-july:210,explicit_city_query_under_uk_target,2026-09-03
Nottingham,interest_led,board game cafe Nottingham,board game cafe Nottingham,board game cafe nottingham,board game cafe Nottingham,390,LOW,2,0.1083,0.0000,0.0000,2025-august:390|2025-september:390|2025-october:480|2025-november:480|2025-december:390|2026-january:590|2026-february:480|2026-march:390|2026-april:390|2026-may:480|2026-june:320|2026-july:320,explicit_city_query_under_uk_target,2026-09-03
