rank,city,family,format,explicit_keyword,explicit_average_monthly_searches,explicit_average_cpc_gbp,explicit_competition_index,local_geo_keyword,local_geo_average_monthly_searches,local_geo_average_cpc_gbp,local_geo_competition_index,comparative_liquidity_index_100,index_method,evidence_note,observed_at
18,Bristol,Performance and dance,Karaoke,karaoke Bristol,2400,0.5742,32,karaoke near me,880,0.1529,24,76,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
19,Leeds,Performance and dance,Karaoke,karaoke Leeds,2900,0.5787,22,karaoke near me,720,0.2258,17,76,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
20,Manchester,Craft and making,Pottery painting,pottery painting Manchester,4400,0.4147,100,pottery painting near me,480,0.1997,18,76,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
21,Liverpool,Performance and dance,Karaoke,karaoke Liverpool,2400,0.4263,24,karaoke near me,720,0.0950,31,75,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
22,London,Social and relationship,Speed dating,speed dating London,5400,1.3328,54,speed dating near me,260,1.4120,58,75,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
23,Bristol,Craft and making,Pottery painting,pottery painting Bristol,2900,0.3203,20,pottery painting near me,390,0.1955,17,73,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
24,Glasgow,Racket and team sport,Padel,padel Glasgow,2900,0.4496,4,padel near me,390,0.2304,9,73,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
25,Leeds,Racket and team sport,Padel,padel Leeds,2400,0.6491,4,padel near me,480,0.5072,4,73,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
26,London,Performance and dance,Acting classes,acting classes London,2900,3.1965,71,acting classes near me,390,2.4008,65,73,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
27,London,Craft and making,Sewing classes,sewing classes London,1600,0.9611,100,sewing classes near me,720,0.5498,99,73,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
28,Liverpool,Racket and team sport,Padel,padel Liverpool,2400,0.9289,2,padel near me,390,0.8891,13,72,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
29,London,Performance and dance,Salsa classes,salsa classes London,1600,0.8614,76,salsa classes near me,590,0.7677,44,72,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
30,Manchester,Competitive experiences,Darts,darts Manchester,2900,1.0054,45,darts near me,320,0.2506,33,72,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
31,Glasgow,Craft and making,Pottery painting,pottery painting Glasgow,3600,0.3731,2,pottery painting near me,210,0.1907,6,71,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
32,Leeds,Craft and making,Pottery painting,pottery painting Leeds,2400,0.3043,26,pottery painting near me,320,0.1339,11,71,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
33,London,Tabletop and games,Chess clubs,chess club London,1600,1.0599,5,chess club near me,480,0.5296,11,71,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
34,London,Performance and dance,Line dancing,line dancing London,1300,1.3618,43,line dancing near me,590,2.9928,20,71,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
35,London,Outdoor and endurance,Running clubs,running clubs London,1300,1.7135,13,running clubs near me,590,1.8143,22,71,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
36,Edinburgh,Racket and team sport,Padel,padel Edinburgh,1900,0.4918,6,padel near me,260,0.4281,4,69,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
37,Nottingham,Performance and dance,Karaoke,karaoke Nottingham,1900,0.5806,29,karaoke near me,260,0.1629,23,69,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
38,Sheffield,Racket and team sport,Padel,padel Sheffield,2900,0.4341,1,padel near me,170,0.1040,7,69,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
39,Belfast,Performance and dance,Karaoke,karaoke Belfast,1600,0.6737,28,karaoke near me,260,0.1725,7,68,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
40,Glasgow,Competitive experiences,Darts,darts Glasgow,2400,1.0368,45,darts near me,170,0.2557,41,68,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
41,Liverpool,Craft and making,Pottery painting,pottery painting Liverpool,1900,0.2752,18,pottery painting near me,210,0.1431,14,68,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
42,Sheffield,Performance and dance,Karaoke,karaoke Sheffield,1300,0.5134,21,karaoke near me,320,0.1587,23,68,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
43,Sheffield,Craft and making,Pottery painting,pottery painting Sheffield,2400,0.4212,3,pottery painting near me,170,0.4222,13,68,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
44,Birmingham,Competitive experiences,Darts,darts Birmingham,1600,1.0440,38,darts near me,210,0.3014,32,67,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
45,Cardiff,Performance and dance,Karaoke,karaoke Cardiff,1600,0.8309,33,karaoke near me,210,0.2697,22,67,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
46,Cardiff,Racket and team sport,Padel,padel Cardiff,2400,0.3694,25,padel near me,140,0.3151,22,67,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
47,Liverpool,Competitive experiences,Darts,darts Liverpool,1600,0.7639,40,darts near me,210,0.3045,37,67,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
48,Manchester,Craft and making,Pottery classes,pottery classes Manchester,2400,0.8994,100,pottery classes near me,110,0.6556,87,66,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
49,London,Tabletop and games,Dungeons & Dragons,dungeons and dragons London,1000,0.8999,7,dungeons and dragons near me,260,0.1706,19,65,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
50,London,Craft and making,General art workshops,art workshops London,2400,1.1843,100,art workshops near me,90,0.5826,87,65,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
51,Nottingham,Racket and team sport,Padel,padel Nottingham,2900,0.2691,3,padel near me,70,0.1732,11,65,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
52,Birmingham,Craft and making,Pottery classes,pottery classes Birmingham,880,0.5975,100,pottery classes near me,210,0.4685,95,64,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
53,Edinburgh,Craft and making,Pottery painting,pottery painting Edinburgh,1600,0.7901,17,pottery painting near me,110,0.0000,6,64,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
54,Leeds,Competitive experiences,Darts,darts Leeds,1600,1.1541,48,darts near me,110,0.1174,34,64,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
55,London,Racket and team sport,Volleyball,volleyball clubs London,390,1.2792,9,volleyball clubs near me,590,0.4558,9,64,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
56,Birmingham,Tabletop and games,Board-game cafes,board game cafe Birmingham,880,0.0750,7,board game cafe near me,170,0.0625,19,63,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
57,Bristol,Tabletop and games,Board-game cafes,board game cafe Bristol,880,0.6282,6,board game cafe near me,170,0.1325,7,63,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
58,Bristol,Craft and making,Pottery classes,pottery classes Bristol,1000,0.9220,100,pottery classes near me,170,0.3903,90,63,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
59,Reading,Craft and making,Pottery painting,pottery painting Reading,880,0.1064,3,pottery painting near me,170,1.0846,9,63,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
60,Belfast,Racket and team sport,Padel,padel Belfast,1300,0.2537,2,padel near me,110,0.1703,9,62,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
61,Edinburgh,Craft and making,Pottery classes,pottery classes Edinburgh,1300,0.6825,94,pottery classes near me,90,0.0000,21,62,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
62,Reading,Racket and team sport,Padel,padel Reading,880,0.6479,3,padel near me,140,0.1650,19,62,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
63,Bristol,Competitive experiences,Darts,darts Bristol,590,1.2573,49,darts near me,210,0.3142,32,61,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
64,Edinburgh,Competitive experiences,Darts,darts Edinburgh,720,1.0750,43,darts near me,170,0.1980,36,61,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
65,Manchester,Tabletop and games,Board-game cafes,board game cafe Manchester,720,0.5130,7,board game cafe near me,170,0.0145,9,61,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
66,Newcastle,Craft and making,Pottery painting,pottery painting Newcastle,1900,0.1600,10,pottery painting near me,50,0.1474,12,61,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
67,Nottingham,Craft and making,Pottery painting,pottery painting Nottingham,1900,0.1348,6,pottery painting near me,50,0.1676,21,61,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
68,Southampton,Craft and making,Pottery painting,pottery painting Southampton,1000,0.5768,4,pottery painting near me,110,0.2306,14,61,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
69,Belfast,Competitive experiences,Darts,darts Belfast,1300,1.0118,16,darts near me,70,0.0000,15,60,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
70,Cardiff,Competitive experiences,Darts,darts Cardiff,1600,1.2366,46,darts near me,50,0.3472,42,60,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
71,Glasgow,Craft and making,Pottery classes,pottery classes Glasgow,880,0.7988,34,pottery classes near me,110,0.3962,42,60,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
72,Manchester,Food and drink,Cooking classes,cooking classes Manchester,1600,0.8587,100,cooking classes near me,50,0.9461,96,60,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
73,Reading,Performance and dance,Karaoke,karaoke Reading,720,0.2159,7,karaoke near me,140,0.4471,18,60,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
74,Sheffield,Tabletop and games,Board-game cafes,board game cafe Sheffield,1000,0.0000,0,board game cafe near me,90,0.0158,10,60,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
75,Southampton,Performance and dance,Karaoke,karaoke Southampton,880,0.5733,7,karaoke near me,110,0.3203,13,60,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
76,Cardiff,Craft and making,Pottery painting,pottery painting Cardiff,1000,0.3079,14,pottery painting near me,70,0.2325,14,59,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
77,London,"Wellness, spa and retreats",Spa retreats,spa retreats London,480,0.6341,100,spa retreat near me,170,0.4960,98,59,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
78,Manchester,Food and drink,Wine tasting,wine tasting Manchester,1600,0.5973,100,wine tasting near me,40,0.4893,98,59,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
79,Sheffield,Competitive experiences,Darts,darts Sheffield,1000,0.6677,23,darts near me,70,0.2992,39,59,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
80,Birmingham,Food and drink,Cooking classes,cooking classes Birmingham,590,0.8172,100,cooking classes near me,110,0.8701,100,58,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
81,Birmingham,Craft and making,Sip and paint,sip and paint Birmingham,880,0.8445,100,sip and paint near me,70,0.3550,99,58,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
82,Birmingham,Food and drink,Wine tasting,wine tasting Birmingham,880,0.8169,98,wine tasting near me,70,1.1538,94,58,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
83,London,Racket and team sport,Netball,netball clubs London,170,1.8627,34,netball clubs near me,390,1.7744,34,58,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
84,Newcastle,Racket and team sport,Padel,padel Newcastle,1300,1.1853,30,padel near me,40,0.0000,2,58,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
85,Southampton,Racket and team sport,Padel,padel Southampton,880,0.9688,2,padel near me,70,1.8710,5,58,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
86,Leeds,Craft and making,Pottery classes,pottery classes Leeds,590,0.5348,100,pottery classes near me,90,0.7031,96,57,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
87,Liverpool,Craft and making,Pottery classes,pottery classes Liverpool,720,0.8098,100,pottery classes near me,70,0.2290,98,57,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
88,London,Nature and animals,Nature walks,nature walks London,210,5.4176,12,nature walks near me,260,0.6816,9,57,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
89,Birmingham,Performance and dance,Line dancing,line dancing Birmingham,260,0.9088,4,line dancing near me,170,1.7873,1,56,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
90,Bristol,Food and drink,Wine tasting,wine tasting Bristol,880,0.6554,99,wine tasting near me,50,0.3574,92,56,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
91,Edinburgh,Tabletop and games,Board-game cafes,board game cafe Edinburgh,390,0.6999,12,board game cafe near me,110,0.1032,16,56,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
92,Glasgow,Food and drink,Cooking classes,cooking classes Glasgow,880,0.4793,97,cooking classes near me,50,1.3696,94,56,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
93,Glasgow,Performance and dance,Line dancing,line dancing Glasgow,320,1.7794,2,line dancing near me,140,0.0893,1,56,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
94,Manchester,Craft and making,Sip and paint,sip and paint Manchester,1000,0.7681,100,sip and paint near me,40,0.4814,98,56,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
95,Newcastle,Performance and dance,Karaoke,karaoke Newcastle,1300,0.4340,12,karaoke near me,30,0.1186,16,56,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
96,Nottingham,Competitive experiences,Darts,darts Nottingham,1000,0.8543,20,darts near me,40,0.1605,42,56,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
97,Belfast,Craft and making,Pottery painting,pottery painting Belfast,880,0.9363,1,pottery painting near me,40,0.0000,3,55,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
98,Edinburgh,Food and drink,Cooking classes,cooking classes Edinburgh,1000,1.1019,100,cooking classes near me,30,1.5590,53,55,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
99,Edinburgh,Food and drink,Wine tasting,wine tasting Edinburgh,1000,0.9152,100,wine tasting near me,30,0.0000,67,55,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
100,Leeds,Food and drink,Cooking classes,cooking classes Leeds,720,0.5020,100,cooking classes near me,50,0.6088,88,55,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
101,London,Tabletop and games,Quiz nights,quiz night London,170,2.7645,32,quiz night near me,210,0.9391,7,55,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
102,Manchester,Performance and dance,Acting classes,acting classes Manchester,880,1.7361,33,acting classes near me,40,1.6457,67,55,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
103,Birmingham,Craft and making,Sewing classes,sewing classes Birmingham,260,1.0355,27,sewing classes near me,110,0.5150,67,54,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
104,Bristol,Food and drink,Cooking classes,cooking classes Bristol,590,0.8430,100,cooking classes near me,50,0.4301,93,54,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
105,Cardiff,Craft and making,Pottery classes,pottery classes Cardiff,720,0.5572,99,pottery classes near me,40,2.6050,100,54,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
106,Glasgow,Tabletop and games,Quiz nights,quiz night Glasgow,1300,0.2420,1,quiz night near me,20,0.0000,4,54,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
107,Glasgow,Craft and making,Sewing classes,sewing classes Glasgow,390,0.7465,12,sewing classes near me,70,0.4391,32,54,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
108,Leeds,Food and drink,Wine tasting,wine tasting Leeds,720,0.7133,100,wine tasting near me,40,0.9367,95,54,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
109,Manchester,Outdoor and endurance,Running clubs,running clubs Manchester,720,1.5707,6,running clubs near me,40,1.6228,18,54,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
110,Birmingham,Performance and dance,Salsa classes,salsa classes Birmingham,320,0.6263,13,salsa classes near me,70,0.1072,14,53,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
111,Bristol,Performance and dance,Line dancing,line dancing Bristol,260,0.8354,4,line dancing near me,90,0.0000,10,53,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
