geography_method,city,format,discovery_searches,event_booking_searches,repeat_programme_searches,beginner_or_adult_searches,group_or_corporate_searches,reportable_commercial_intent_rows_4,strongest_commercial_intent,strongest_commercial_average_monthly_searches,strongest_commercial_average_cpc_gbp,intent_depth,grouped_observation_warning,evidence_note,observed_at
explicit_city_query_under_uk_target,Manchester,Pottery painting,4400,0,0,10,0,1,beginner_or_adult,10,0.2514,thin_reportable_intent,No cross-intent grouping detected,Intent columns are separate overlapping observations and must not be added,2026-09-03
explicit_city_query_under_uk_target,Manchester,Salsa,480,0,480,0,0,1,repeat_programme,480,0.9040,thin_reportable_intent,No cross-intent grouping detected,Intent columns are separate overlapping observations and must not be added,2026-09-03
explicit_city_query_under_uk_target,Manchester,Sip and paint,1000,0,0,0,0,0,event_booking,0,0.0000,no_reportable_commercial_row,No cross-intent grouping detected,Intent columns are separate overlapping observations and must not be added,2026-09-03
explicit_city_query_under_uk_target,Manchester,Spa retreats,140,0,0,0,0,0,event_booking,0,0.0000,no_reportable_commercial_row,No cross-intent grouping detected,Intent columns are separate overlapping observations and must not be added,2026-09-03
explicit_city_query_under_uk_target,Manchester,Wine tasting,1600,30,0,10,10,3,event_booking,30,1.0005,broad_reportable_intent,No cross-intent grouping detected,Intent columns are separate overlapping observations and must not be added,2026-09-03
generic_query_inside_local_geo_target,Birmingham,Board-game events,170,10,10,10,10,4,event_booking,10,0.0000,broad_reportable_intent,No cross-intent grouping detected,Intent columns are separate overlapping observations and must not be added,2026-09-03
generic_query_inside_local_geo_target,Birmingham,Darts,210,10,10,20,0,3,beginner_or_adult,20,0.8102,broad_reportable_intent,No cross-intent grouping detected,Intent columns are separate overlapping observations and must not be added,2026-09-03
generic_query_inside_local_geo_target,Birmingham,Line dancing,170,10,170,10,10,4,repeat_programme,170,1.7873,broad_reportable_intent,No cross-intent grouping detected,Intent columns are separate overlapping observations and must not be added,2026-09-03
generic_query_inside_local_geo_target,Birmingham,Pottery painting,880,10,10,10,0,3,event_booking,10,0.0000,broad_reportable_intent,No cross-intent grouping detected,Intent columns are separate overlapping observations and must not be added,2026-09-03
generic_query_inside_local_geo_target,Birmingham,Salsa,10,10,70,10,10,4,repeat_programme,70,0.1072,broad_reportable_intent,No cross-intent grouping detected,Intent columns are separate overlapping observations and must not be added,2026-09-03
generic_query_inside_local_geo_target,Birmingham,Sip and paint,70,10,10,10,10,4,event_booking,10,0.0000,broad_reportable_intent,No cross-intent grouping detected,Intent columns are separate overlapping observations and must not be added,2026-09-03
generic_query_inside_local_geo_target,Birmingham,Spa retreats,20,0,10,10,10,3,repeat_programme,10,0.0000,broad_reportable_intent,No cross-intent grouping detected,Intent columns are separate overlapping observations and must not be added,2026-09-03
generic_query_inside_local_geo_target,Birmingham,Wine tasting,70,10,10,10,10,4,event_booking,10,0.2443,broad_reportable_intent,No cross-intent grouping detected,Intent columns are separate overlapping observations and must not be added,2026-09-03
generic_query_inside_local_geo_target,Bristol,Board-game events,170,10,10,10,0,3,event_booking,10,0.0000,broad_reportable_intent,No cross-intent grouping detected,Intent columns are separate overlapping observations and must not be added,2026-09-03
generic_query_inside_local_geo_target,Bristol,Darts,210,10,10,10,0,3,event_booking,10,0.0000,broad_reportable_intent,No cross-intent grouping detected,Intent columns are separate overlapping observations and must not be added,2026-09-03
generic_query_inside_local_geo_target,Bristol,Line dancing,90,10,90,10,10,4,repeat_programme,90,0.0000,broad_reportable_intent,No cross-intent grouping detected,Intent columns are separate overlapping observations and must not be added,2026-09-03
generic_query_inside_local_geo_target,Bristol,Pottery painting,390,0,10,10,0,2,repeat_programme,10,0.0000,thin_reportable_intent,No cross-intent grouping detected,Intent columns are separate overlapping observations and must not be added,2026-09-03
generic_query_inside_local_geo_target,Bristol,Salsa,10,10,30,10,10,4,repeat_programme,30,0.2293,broad_reportable_intent,No cross-intent grouping detected,Intent columns are separate overlapping observations and must not be added,2026-09-03
generic_query_inside_local_geo_target,Bristol,Sip and paint,30,10,10,0,10,3,event_booking,10,0.0000,broad_reportable_intent,No cross-intent grouping detected,Intent columns are separate overlapping observations and must not be added,2026-09-03
generic_query_inside_local_geo_target,Bristol,Spa retreats,20,0,10,10,10,3,repeat_programme,10,0.6451,broad_reportable_intent,No cross-intent grouping detected,Intent columns are separate overlapping observations and must not be added,2026-09-03
generic_query_inside_local_geo_target,Bristol,Wine tasting,50,10,10,0,10,3,event_booking,10,1.2546,broad_reportable_intent,No cross-intent grouping detected,Intent columns are separate overlapping observations and must not be added,2026-09-03
generic_query_inside_local_geo_target,Manchester,Board-game events,170,10,10,10,10,4,event_booking,10,0.0000,broad_reportable_intent,No cross-intent grouping detected,Intent columns are separate overlapping observations and must not be added,2026-09-03
generic_query_inside_local_geo_target,Manchester,Darts,320,10,10,10,10,4,event_booking,10,0.0000,broad_reportable_intent,No cross-intent grouping detected,Intent columns are separate overlapping observations and must not be added,2026-09-03
generic_query_inside_local_geo_target,Manchester,Line dancing,70,10,70,0,10,3,repeat_programme,70,0.0000,broad_reportable_intent,No cross-intent grouping detected,Intent columns are separate overlapping observations and must not be added,2026-09-03
generic_query_inside_local_geo_target,Manchester,Pottery painting,480,10,10,10,0,3,event_booking,10,0.0000,broad_reportable_intent,No cross-intent grouping detected,Intent columns are separate overlapping observations and must not be added,2026-09-03
generic_query_inside_local_geo_target,Manchester,Salsa,10,10,30,10,10,4,repeat_programme,30,0.0000,broad_reportable_intent,No cross-intent grouping detected,Intent columns are separate overlapping observations and must not be added,2026-09-03
generic_query_inside_local_geo_target,Manchester,Sip and paint,40,10,10,0,0,2,event_booking,10,1.0319,thin_reportable_intent,No cross-intent grouping detected,Intent columns are separate overlapping observations and must not be added,2026-09-03
generic_query_inside_local_geo_target,Manchester,Spa retreats,20,0,10,0,10,2,repeat_programme,10,0.0000,thin_reportable_intent,No cross-intent grouping detected,Intent columns are separate overlapping observations and must not be added,2026-09-03
generic_query_inside_local_geo_target,Manchester,Wine tasting,40,10,0,10,10,3,event_booking,10,0.0000,broad_reportable_intent,No cross-intent grouping detected,Intent columns are separate overlapping observations and must not be added,2026-09-03
