city,category,submitted_keyword,grouped_submitted_keywords,returned_keyword,close_variants,average_monthly_searches,competition,competition_index,average_cpc_gbp,low_top_of_page_gbp,high_top_of_page_gbp,monthly_search_volumes,geography_method,observed_at
Birmingham,friendship_discovery,social events,social events,social events,,10,LOW,19,0.0913,0.0000,0.0000,2025-august:10|2025-september:20|2025-october:10|2025-november:20|2025-december:20|2026-january:20|2026-february:10|2026-march:20|2026-april:20|2026-may:10|2026-june:20|2026-july:10,generic_query_inside_local_geo_target,2026-09-03
Birmingham,friendship_discovery,social events near me,social events near me,social events near me,,10,LOW,0,0.0000,0.0000,0.0000,2025-august:10|2025-september:10|2025-october:10|2025-november:10|2025-december:10|2026-january:10|2026-february:10|2026-march:10|2026-april:10|2026-may:10|2026-june:10|2026-july:10,generic_query_inside_local_geo_target,2026-09-03
Birmingham,friendship_discovery,meet new people,meet new people,meet new people,,20,MEDIUM,40,2.4501,0.6522,1.4386,2025-august:30|2025-september:10|2025-october:10|2025-november:10|2025-december:20|2026-january:30|2026-february:10|2026-march:20|2026-april:10|2026-may:20|2026-june:20|2026-july:20,generic_query_inside_local_geo_target,2026-09-03
Birmingham,friendship_discovery,make new friends,make new friends,make new friends,,50,LOW,4,0.0000,0.0000,0.0000,2025-august:50|2025-september:40|2025-october:40|2025-november:30|2025-december:40|2026-january:50|2026-february:40|2026-march:70|2026-april:70|2026-may:50|2026-june:70|2026-july:50,generic_query_inside_local_geo_target,2026-09-03
Birmingham,friendship_discovery,social groups near me,social groups near me,social groups near me,,10,LOW,30,0.8488,0.0796,1.3510,2025-august:10|2025-september:20|2025-october:10|2025-november:10|2025-december:10|2026-january:10|2026-february:10|2026-march:10|2026-april:10|2026-may:10|2026-june:10|2026-july:10,generic_query_inside_local_geo_target,2026-09-03
Birmingham,friendship_discovery,dinner with strangers,dinner with strangers,dinner with strangers,,10,LOW,4,0.0000,0.0000,0.0000,2025-august:10|2025-september:10|2025-october:10|2025-november:10|2025-december:10|2026-january:10|2026-february:10|2026-march:10|2026-april:10|2026-may:10|2026-june:10|2026-july:10,generic_query_inside_local_geo_target,2026-09-03
Birmingham,interest_led,public lectures,public lectures,public lectures,,10,LOW,0,0.0000,0.0000,0.0000,2025-august:10|2025-september:0|2025-october:10|2025-november:10|2025-december:10|2026-january:10|2026-february:10|2026-march:10|2026-april:10|2026-may:0|2026-june:10|2026-july:10,generic_query_inside_local_geo_target,2026-09-03
Birmingham,interest_led,live talks,live talks,live talks,,10,LOW,24,0.5186,0.0000,0.0000,2025-august:10|2025-september:0|2025-october:30|2025-november:10|2025-december:10|2026-january:10|2026-february:10|2026-march:10|2026-april:10|2026-may:10|2026-june:10|2026-july:10,generic_query_inside_local_geo_target,2026-09-03
Birmingham,interest_led,book club,book club,book club,,210,LOW,19,0.1554,0.3142,1.3026,2025-august:170|2025-september:260|2025-october:480|2025-november:320|2025-december:210|2026-january:210|2026-february:210|2026-march:170|2026-april:140|2026-may:140|2026-june:90|2026-july:140,generic_query_inside_local_geo_target,2026-09-03
Birmingham,interest_led,reading club,reading club,reading club,,10,LOW,0,0.0000,0.0000,0.0000,2025-august:10|2025-september:20|2025-october:10|2025-november:10|2025-december:10|2026-january:10|2026-february:10|2026-march:10|2026-april:10|2026-may:10|2026-june:10|2026-july:10,generic_query_inside_local_geo_target,2026-09-03
Birmingham,interest_led,board game cafe,board game cafe,board game cafe,,390,LOW,4,0.5116,0.0000,0.0000,2025-august:390|2025-september:320|2025-october:390|2025-november:480|2025-december:390|2026-january:480|2026-february:390|2026-march:390|2026-april:390|2026-may:390|2026-june:260|2026-july:260,generic_query_inside_local_geo_target,2026-09-03
Birmingham,interest_led,chess club,chess club,chess club,,50,LOW,1,0.5319,0.0000,0.0000,2025-august:70|2025-september:70|2025-october:50|2025-november:50|2025-december:70|2026-january:70|2026-february:40|2026-march:50|2026-april:40|2026-may:50|2026-june:40|2026-july:50,generic_query_inside_local_geo_target,2026-09-03
Birmingham,interest_led,pottery classes,pottery classes,pottery classes,,210,HIGH,95,0.4582,0.3054,0.7955,2025-august:210|2025-september:170|2025-october:210|2025-november:170|2025-december:170|2026-january:320|2026-february:260|2026-march:210|2026-april:140|2026-may:140|2026-june:140|2026-july:140,generic_query_inside_local_geo_target,2026-09-03
Birmingham,interest_led,pottery painting,pottery painting,pottery painting,,880,LOW,17,0.1667,0.1082,0.4125,2025-august:1000|2025-september:880|2025-october:880|2025-november:880|2025-december:720|2026-january:1000|2026-february:1600|2026-march:1000|2026-april:880|2026-may:880|2026-june:880|2026-july:880,generic_query_inside_local_geo_target,2026-09-03
Birmingham,interest_led,social sports,social sports,social sports,,210,LOW,1,0.0000,0.0000,0.0000,2025-august:210|2025-september:210|2025-october:210|2025-november:320|2025-december:260|2026-january:210|2026-february:210|2026-march:210|2026-april:210|2026-may:210|2026-june:210|2026-july:260,generic_query_inside_local_geo_target,2026-09-03
Birmingham,dating,speed dating,speed dating,speed dating,,140,LOW,22,1.0983,0.4965,1.7245,2025-august:210|2025-september:170|2025-october:170|2025-november:110|2025-december:140|2026-january:110|2026-february:170|2026-march:140|2026-april:110|2026-may:110|2026-june:110|2026-july:140,generic_query_inside_local_geo_target,2026-09-03
Birmingham,dating,singles events,singles events,singles events,,10,LOW,3,0.0000,0.0000,0.0000,2025-august:20|2025-september:10|2025-october:10|2025-november:10|2025-december:10|2026-january:10|2026-february:10|2026-march:10|2026-april:10|2026-may:10|2026-june:10|2026-july:10,generic_query_inside_local_geo_target,2026-09-03
Birmingham,dating,singles nights,singles nights,singles nights,,10,LOW,0,0.0000,0.0000,0.0000,2025-august:10|2025-september:10|2025-october:10|2025-november:20|2025-december:10|2026-january:10|2026-february:10|2026-march:10|2026-april:10|2026-may:10|2026-june:10|2026-july:10,generic_query_inside_local_geo_target,2026-09-03
Birmingham,broad_discovery,things to do,things to do,things to do,,8100,LOW,19,0.3373,0.4040,1.7841,2025-august:12100|2025-september:9900|2025-october:9900|2025-november:6600|2025-december:6600|2026-january:9900|2026-february:8100|2026-march:9900|2026-april:8100|2026-may:8100|2026-june:8100|2026-july:9900,generic_query_inside_local_geo_target,2026-09-03
Birmingham,broad_discovery,events near me,events near me,events near me,,260,HIGH,100,0.7235,0.3189,1.4520,2025-august:480|2025-september:260|2025-october:260|2025-november:170|2025-december:210|2026-january:140|2026-february:140|2026-march:170|2026-april:210|2026-may:320|2026-june:260|2026-july:320,generic_query_inside_local_geo_target,2026-09-03
Manchester,friendship_discovery,social events,social events,social events,,10,LOW,0,0.0000,0.0000,0.0000,2025-august:0|2025-september:10|2025-october:10|2025-november:10|2025-december:10|2026-january:10|2026-february:10|2026-march:10|2026-april:10|2026-may:10|2026-june:10|2026-july:20,generic_query_inside_local_geo_target,2026-09-03
Manchester,friendship_discovery,social events near me,social events near me,social events near me,,10,MEDIUM,64,2.4943,0.7000,1.7791,2025-august:10|2025-september:0|2025-october:10|2025-november:10|2025-december:10|2026-january:10|2026-february:10|2026-march:10|2026-april:0|2026-may:10|2026-june:10|2026-july:10,generic_query_inside_local_geo_target,2026-09-03
Manchester,friendship_discovery,meet new people,meet new people,meet new people,,10,LOW,26,0.0000,0.7439,2.0409,2025-august:10|2025-september:10|2025-october:10|2025-november:10|2025-december:10|2026-january:20|2026-february:10|2026-march:10|2026-april:10|2026-may:10|2026-june:10|2026-july:10,generic_query_inside_local_geo_target,2026-09-03
Manchester,friendship_discovery,make new friends,make new friends,make new friends,,10,LOW,17,0.0000,0.0000,0.0000,2025-august:10|2025-september:10|2025-october:10|2025-november:10|2025-december:10|2026-january:10|2026-february:10|2026-march:10|2026-april:10|2026-may:10|2026-june:10|2026-july:10,generic_query_inside_local_geo_target,2026-09-03
Manchester,friendship_discovery,social groups near me,social groups near me,social groups near me,,10,LOW,7,0.2506,0.0000,0.0000,2025-august:10|2025-september:10|2025-october:10|2025-november:10|2025-december:10|2026-january:10|2026-february:10|2026-march:10|2026-april:10|2026-may:10|2026-june:10|2026-july:10,generic_query_inside_local_geo_target,2026-09-03
Manchester,friendship_discovery,dinner with strangers,dinner with strangers,dinner with strangers,,10,UNSPECIFIED,0,0.0000,0.0000,0.0000,2025-august:10|2025-september:10|2025-october:10|2025-november:10|2025-december:10|2026-january:10|2026-february:10|2026-march:10|2026-april:10|2026-may:0|2026-june:10|2026-july:0,generic_query_inside_local_geo_target,2026-09-03
Manchester,interest_led,public lectures,public lectures,public lectures,,10,LOW,10,0.0000,0.0000,0.0000,2025-august:0|2025-september:10|2025-october:10|2025-november:10|2025-december:10|2026-january:10|2026-february:0|2026-march:10|2026-april:10|2026-may:10|2026-june:10|2026-july:10,generic_query_inside_local_geo_target,2026-09-03
Manchester,interest_led,live talks,live talks,live talks,,10,LOW,29,0.0000,0.0000,0.0000,2025-august:0|2025-september:10|2025-october:0|2025-november:0|2025-december:10|2026-january:10|2026-february:10|2026-march:10|2026-april:10|2026-may:10|2026-june:10|2026-july:10,generic_query_inside_local_geo_target,2026-09-03
Manchester,interest_led,book club,book club,book club,,140,LOW,22,1.2710,0.0000,0.0000,2025-august:110|2025-september:140|2025-october:210|2025-november:140|2025-december:140|2026-january:170|2026-february:140|2026-march:110|2026-april:90|2026-may:110|2026-june:110|2026-july:70,generic_query_inside_local_geo_target,2026-09-03
Manchester,interest_led,reading club,reading club,reading club,,10,LOW,0,0.0000,0.0000,0.0000,2025-august:0|2025-september:10|2025-october:10|2025-november:10|2025-december:10|2026-january:10|2026-february:10|2026-march:10|2026-april:10|2026-may:10|2026-june:10|2026-july:10,generic_query_inside_local_geo_target,2026-09-03
Manchester,interest_led,board game cafe,board game cafe,board game cafe,,260,LOW,1,0.0000,0.0000,0.0000,2025-august:320|2025-september:260|2025-october:390|2025-november:320|2025-december:210|2026-january:320|2026-february:210|2026-march:210|2026-april:210|2026-may:210|2026-june:210|2026-july:170,generic_query_inside_local_geo_target,2026-09-03
Manchester,interest_led,chess club,chess club,chess club,,30,LOW,0,0.0000,0.0000,0.0000,2025-august:20|2025-september:40|2025-october:20|2025-november:30|2025-december:20|2026-january:70|2026-february:10|2026-march:30|2026-april:20|2026-may:30|2026-june:30|2026-july:30,generic_query_inside_local_geo_target,2026-09-03
Manchester,interest_led,pottery classes,pottery classes,pottery classes,,140,HIGH,86,1.1103,0.4733,1.0463,2025-august:140|2025-september:140|2025-october:90|2025-november:170|2025-december:110|2026-january:170|2026-february:170|2026-march:170|2026-april:140|2026-may:110|2026-june:110|2026-july:90,generic_query_inside_local_geo_target,2026-09-03
Manchester,interest_led,pottery painting,pottery painting,pottery painting,,590,LOW,23,0.2001,0.3761,0.7498,2025-august:480|2025-september:480|2025-october:390|2025-november:480|2025-december:390|2026-january:720|2026-february:1000|2026-march:590|2026-april:480|2026-may:590|2026-june:480|2026-july:590,generic_query_inside_local_geo_target,2026-09-03
Manchester,interest_led,social sports,social sports,social sports,,10,LOW,0,0.0000,0.0000,0.0000,2025-august:10|2025-september:10|2025-october:10|2025-november:10|2025-december:10|2026-january:10|2026-february:10|2026-march:10|2026-april:10|2026-may:10|2026-june:10|2026-july:10,generic_query_inside_local_geo_target,2026-09-03
Manchester,dating,speed dating,speed dating,speed dating,,70,LOW,25,0.7974,0.3253,0.9658,2025-august:70|2025-september:70|2025-october:40|2025-november:50|2025-december:70|2026-january:110|2026-february:110|2026-march:70|2026-april:70|2026-may:70|2026-june:70|2026-july:70,generic_query_inside_local_geo_target,2026-09-03
Manchester,dating,singles events,singles events,singles events,,10,LOW,22,2.5916,0.0000,0.0000,2025-august:10|2025-september:10|2025-october:10|2025-november:10|2025-december:10|2026-january:10|2026-february:10|2026-march:10|2026-april:10|2026-may:10|2026-june:10|2026-july:10,generic_query_inside_local_geo_target,2026-09-03
Manchester,dating,singles nights,singles nights,singles nights,,10,LOW,10,0.0000,0.0000,0.0000,2025-august:10|2025-september:10|2025-october:0|2025-november:10|2025-december:10|2026-january:10|2026-february:10|2026-march:10|2026-april:10|2026-may:10|2026-june:10|2026-july:10,generic_query_inside_local_geo_target,2026-09-03
Manchester,broad_discovery,things to do,things to do,things to do,,8100,LOW,15,0.3441,0.6292,1.8559,2025-august:9900|2025-september:6600|2025-october:6600|2025-november:5400|2025-december:5400|2026-january:8100|2026-february:6600|2026-march:8100|2026-april:8100|2026-may:9900|2026-june:8100|2026-july:9900,generic_query_inside_local_geo_target,2026-09-03
Manchester,broad_discovery,events near me,events near me,events near me,,140,HIGH,99,0.3096,0.2166,0.9410,2025-august:260|2025-september:140|2025-october:110|2025-november:90|2025-december:110|2026-january:110|2026-february:90|2026-march:90|2026-april:110|2026-may:170|2026-june:170|2026-july:170,generic_query_inside_local_geo_target,2026-09-03
Leeds,friendship_discovery,social events,social events,social events,,10,LOW,0,0.0000,0.0000,0.0000,2025-august:10|2025-september:10|2025-october:10|2025-november:10|2025-december:10|2026-january:10|2026-february:20|2026-march:10|2026-april:10|2026-may:10|2026-june:10|2026-july:10,generic_query_inside_local_geo_target,2026-09-03
Leeds,friendship_discovery,social events near me,social events near me,social events near me,,10,LOW,7,0.0000,0.0000,0.0000,2025-august:10|2025-september:10|2025-october:10|2025-november:10|2025-december:10|2026-january:0|2026-february:10|2026-march:10|2026-april:10|2026-may:10|2026-june:10|2026-july:10,generic_query_inside_local_geo_target,2026-09-03
Leeds,friendship_discovery,meet new people,meet new people,meet new people,,10,LOW,7,0.0000,0.0000,0.0000,2025-august:10|2025-september:10|2025-october:10|2025-november:10|2025-december:10|2026-january:10|2026-february:10|2026-march:20|2026-april:10|2026-may:10|2026-june:10|2026-july:10,generic_query_inside_local_geo_target,2026-09-03
Leeds,friendship_discovery,make new friends,make new friends,make new friends,,10,MEDIUM,43,1.6623,0.4859,1.4056,2025-august:10|2025-september:10|2025-october:10|2025-november:10|2025-december:10|2026-january:10|2026-february:10|2026-march:10|2026-april:10|2026-may:10|2026-june:10|2026-july:10,generic_query_inside_local_geo_target,2026-09-03
Leeds,friendship_discovery,social groups near me,social groups near me,social groups near me,,10,LOW,4,0.0000,0.0000,0.0000,2025-august:10|2025-september:10|2025-october:10|2025-november:10|2025-december:10|2026-january:10|2026-february:10|2026-march:10|2026-april:10|2026-may:10|2026-june:10|2026-july:10,generic_query_inside_local_geo_target,2026-09-03
Leeds,friendship_discovery,dinner with strangers,dinner with strangers,dinner with strangers,,10,LOW,29,0.0000,0.0000,0.0000,2025-august:10|2025-september:10|2025-october:10|2025-november:10|2025-december:0|2026-january:10|2026-february:10|2026-march:0|2026-april:0|2026-may:0|2026-june:10|2026-july:10,generic_query_inside_local_geo_target,2026-09-03
Leeds,interest_led,public lectures,public lectures,public lectures,,10,LOW,0,0.0000,0.0000,0.0000,2025-august:10|2025-september:0|2025-october:10|2025-november:10|2025-december:0|2026-january:0|2026-february:10|2026-march:0|2026-april:0|2026-may:10|2026-june:10|2026-july:10,generic_query_inside_local_geo_target,2026-09-03
Leeds,interest_led,live talks,live talks,live talks,,10,HIGH,71,0.2448,0.0000,0.0000,2025-august:10|2025-september:10|2025-october:10|2025-november:10|2025-december:10|2026-january:10|2026-february:0|2026-march:10|2026-april:10|2026-may:0|2026-june:10|2026-july:10,generic_query_inside_local_geo_target,2026-09-03
Leeds,interest_led,book club,book club,book club,,170,LOW,13,0.2485,0.2256,0.9831,2025-august:110|2025-september:210|2025-october:390|2025-november:260|2025-december:140|2026-january:140|2026-february:170|2026-march:140|2026-april:90|2026-may:170|2026-june:110|2026-july:90,generic_query_inside_local_geo_target,2026-09-03
Leeds,interest_led,reading club,reading club,reading club,,10,LOW,2,0.0000,0.0000,0.0000,2025-august:10|2025-september:10|2025-october:10|2025-november:10|2025-december:10|2026-january:10|2026-february:10|2026-march:0|2026-april:10|2026-may:10|2026-june:0|2026-july:10,generic_query_inside_local_geo_target,2026-09-03
Leeds,interest_led,board game cafe,board game cafe,board game cafe,,90,LOW,2,0.0000,0.0000,0.0000,2025-august:110|2025-september:110|2025-october:170|2025-november:110|2025-december:90|2026-january:110|2026-february:70|2026-march:90|2026-april:70|2026-may:70|2026-june:70|2026-july:70,generic_query_inside_local_geo_target,2026-09-03
Leeds,interest_led,chess club,chess club,chess club,,20,LOW,3,0.0000,0.0000,0.0000,2025-august:20|2025-september:40|2025-october:10|2025-november:30|2025-december:10|2026-january:30|2026-february:30|2026-march:10|2026-april:10|2026-may:20|2026-june:10|2026-july:10,generic_query_inside_local_geo_target,2026-09-03
Leeds,interest_led,pottery classes,pottery classes,pottery classes,,90,HIGH,96,0.3427,0.2943,0.6954,2025-august:90|2025-september:90|2025-october:110|2025-november:90|2025-december:90|2026-january:110|2026-february:90|2026-march:90|2026-april:50|2026-may:50|2026-june:50|2026-july:50,generic_query_inside_local_geo_target,2026-09-03
Leeds,interest_led,pottery painting,pottery painting,pottery painting,,390,LOW,13,0.3324,0.4581,0.8803,2025-august:390|2025-september:390|2025-october:480|2025-november:390|2025-december:320|2026-january:320|2026-february:480|2026-march:320|2026-april:320|2026-may:320|2026-june:320|2026-july:390,generic_query_inside_local_geo_target,2026-09-03
Leeds,interest_led,social sports,social sports,social sports,,10,LOW,0,0.0000,0.0000,0.0000,2025-august:10|2025-september:10|2025-october:10|2025-november:10|2025-december:10|2026-january:0|2026-february:10|2026-march:10|2026-april:10|2026-may:10|2026-june:10|2026-july:10,generic_query_inside_local_geo_target,2026-09-03
Leeds,dating,speed dating,speed dating,speed dating,,50,LOW,22,0.8717,0.4142,1.8109,2025-august:70|2025-september:50|2025-october:50|2025-november:90|2025-december:40|2026-january:40|2026-february:30|2026-march:30|2026-april:50|2026-may:30|2026-june:50|2026-july:40,generic_query_inside_local_geo_target,2026-09-03
Leeds,dating,singles events,singles events,singles events,,10,LOW,21,0.0000,0.0000,0.0000,2025-august:10|2025-september:0|2025-october:10|2025-november:10|2025-december:10|2026-january:10|2026-february:10|2026-march:10|2026-april:10|2026-may:10|2026-june:10|2026-july:10,generic_query_inside_local_geo_target,2026-09-03
Leeds,dating,singles nights,singles nights,singles nights,,10,UNSPECIFIED,0,0.0000,0.0000,0.0000,2025-august:0|2025-september:10|2025-october:0|2025-november:10|2025-december:10|2026-january:10|2026-february:10|2026-march:10|2026-april:10|2026-may:10|2026-june:0|2026-july:0,generic_query_inside_local_geo_target,2026-09-03
Leeds,broad_discovery,things to do,things to do,things to do,,5400,LOW,15,0.3802,0.5319,1.8915,2025-august:8100|2025-september:5400|2025-october:5400|2025-november:3600|2025-december:3600|2026-january:5400|2026-february:4400|2026-march:5400|2026-april:5400|2026-may:6600|2026-june:5400|2026-july:5400,generic_query_inside_local_geo_target,2026-09-03
Leeds,broad_discovery,events near me,events near me,events near me,,110,HIGH,97,0.2696,0.2887,1.7362,2025-august:260|2025-september:140|2025-october:140|2025-november:110|2025-december:70|2026-january:50|2026-february:50|2026-march:70|2026-april:90|2026-may:140|2026-june:110|2026-july:170,generic_query_inside_local_geo_target,2026-09-03
Bristol,friendship_discovery,social events,social events,social events,,10,LOW,0,0.0000,0.0000,0.0000,2025-august:10|2025-september:10|2025-october:10|2025-november:10|2025-december:10|2026-january:10|2026-february:10|2026-march:10|2026-april:10|2026-may:10|2026-june:0|2026-july:10,generic_query_inside_local_geo_target,2026-09-03
Bristol,friendship_discovery,social events near me,social events near me,social events near me,,10,LOW,29,0.0000,0.0000,0.0000,2025-august:10|2025-september:10|2025-october:10|2025-november:10|2025-december:10|2026-january:10|2026-february:10|2026-march:10|2026-april:0|2026-may:10|2026-june:10|2026-july:10,generic_query_inside_local_geo_target,2026-09-03
Bristol,friendship_discovery,meet new people,meet new people,meet new people,,10,MEDIUM,35,4.3571,0.7000,2.3886,2025-august:10|2025-september:10|2025-october:10|2025-november:10|2025-december:10|2026-january:10|2026-february:10|2026-march:10|2026-april:10|2026-may:10|2026-june:10|2026-july:10,generic_query_inside_local_geo_target,2026-09-03
Bristol,friendship_discovery,make new friends,make new friends,make new friends,,10,LOW,17,0.5391,0.0000,0.0000,2025-august:10|2025-september:10|2025-october:10|2025-november:10|2025-december:10|2026-january:10|2026-february:10|2026-march:10|2026-april:10|2026-may:10|2026-june:10|2026-july:10,generic_query_inside_local_geo_target,2026-09-03
Bristol,friendship_discovery,social groups near me,social groups near me,social groups near me,,10,LOW,21,0.0000,0.0000,0.0000,2025-august:10|2025-september:10|2025-october:10|2025-november:10|2025-december:10|2026-january:10|2026-february:10|2026-march:10|2026-april:10|2026-may:10|2026-june:10|2026-july:10,generic_query_inside_local_geo_target,2026-09-03
Bristol,friendship_discovery,dinner with strangers,dinner with strangers,dinner with strangers,,10,UNSPECIFIED,0,0.0000,0.0000,0.0000,2025-august:10|2025-september:10|2025-october:10|2025-november:10|2025-december:10|2026-january:10|2026-february:10|2026-march:10|2026-april:10|2026-may:10|2026-june:10|2026-july:0,generic_query_inside_local_geo_target,2026-09-03
Bristol,interest_led,public lectures,public lectures,public lectures,,10,LOW,0,0.0000,0.0000,0.0000,2025-august:10|2025-september:0|2025-october:0|2025-november:0|2025-december:10|2026-january:10|2026-february:10|2026-march:10|2026-april:10|2026-may:10|2026-june:10|2026-july:10,generic_query_inside_local_geo_target,2026-09-03
