rank,family,format,archetype,primary_keyword,returned_keyword,close_variant_group,primary_average_monthly_searches,support_keyword_observations,competition,competition_index,average_cpc_gbp,peak_month,peak_searches,low_month,low_searches,peak_to_low_ratio,demand_score_20,commercial_intent_rating_5,repeatability_rating_5,social_design_rating_5,operating_ease_rating_5,revenue_depth_rating_5,eventization_headroom_rating_5,launch_potential_score_100,decision,recommended_entry_model,intent_caveat,evidence_class,evidence_coverage,largest_unknown,observed_at
11,Tabletop and games,Dungeons & Dragons,tabletop,dungeons and dragons near me,dungeons and dragons near me,dungeons and dragons near me,1300,dnd groups near me:480,LOW,9,0.1490,2026-january,1900,2026-june,880,2.16,14,4,5,5,3,5,4,84,strong_test,"recurring hosted night, ladder or league in a hospitality venue","Local discovery signal may mix classes, venues, clubs and events",observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
12,Craft and making,Sewing classes,studio_craft,sewing classes near me,sewing classes near me,sewing classes near me,5400,sewing workshop near me:390,HIGH,74,0.5925,2025-august,8100,2025-november,4400,1.84,18,5,4,4,2,5,4,83,strong_test,portable workshop or studio-capacity partnership before a lease,"Local discovery signal may mix classes, venues, clubs and events",observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
13,Food and drink,Wine tasting,tasting,wine tasting near me,wine tasting near me,wine tasting near me,5400,wine tasting events near me:170,HIGH,100,0.8210,2025-august,8100,2026-february,3600,2.25,18,5,3,4,5,5,3,83,strong_test,producer and venue partnership while the operator owns the audience,"Local discovery signal may mix classes, venues, clubs and events",observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
14,Performance and dance,Acting classes,participatory_performance,acting classes near me,acting classes near me,acting classes near me,3600,adult acting classes near me:590,MEDIUM,51,2.2071,2026-january,6600,2026-may,2400,2.75,16,4,4,5,4,4,4,83,strong_test,short course or recurring hosted night,"Local discovery signal may mix classes, venues, clubs and events",observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
15,Performance and dance,Choirs,hobby_club,choir near me,choir near me,choir near me|choirs near me,3600,choirs near me:3600,LOW,3,2.4854,2025-september,5400,2026-june,2400,2.25,16,3,5,5,5,3,4,83,strong_test,recurring club or season with a facilitator,"Local discovery signal may mix classes, venues, clubs and events",observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
16,Tabletop and games,Quiz nights,tabletop,quiz night near me,quiz night near me,quiz night near me,2900,pub quiz near me:8100,LOW,3,0.6879,2025-august,3600,2025-december,1900,1.89,16,3,5,5,5,3,4,83,strong_test,"recurring hosted night, ladder or league in a hospitality venue","Local discovery signal may mix classes, venues, clubs and events",observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
17,Tabletop and games,Bingo,venue_entertainment,bingo near me,bingo near me,bingo near me,12100,bingo night near me:480,LOW,12,2.2603,2025-august,18100,2025-december,9900,1.83,20,5,4,4,2,5,3,82,strong_test,partner with the asset owner; do not build the venue first,May resolve to venue or facility booking rather than a managed social event,observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
18,Racket and team sport,Volleyball,team_sport,volleyball clubs near me,volleyball clubs near me,volleyball clubs near me,4400,social volleyball near me:20,LOW,3,0.3712,2025-september,5400,2025-december,2900,1.86,16,4,5,5,2,4,4,82,strong_test,prepaid season using rented facility slots,"Local discovery signal may mix classes, venues, clubs and events",observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
19,Racket and team sport,Basketball,team_sport,basketball clubs near me,basketball clubs near me,basketball clubs near me,2900,basketball near me:2900,LOW,6,0.6425,2025-september,4400,2025-august,2400,1.83,16,4,5,5,2,4,4,82,strong_test,prepaid season using rented facility slots,"Local discovery signal may mix classes, venues, clubs and events",observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
20,Racket and team sport,Netball,team_sport,netball clubs near me,netball clubs near me,netball clubs near me,2900,social netball near me:110,LOW,10,1.2329,2025-september,5400,2025-december,1900,2.84,16,4,5,5,2,4,4,82,strong_test,prepaid season using rented facility slots,"Local discovery signal may mix classes, venues, clubs and events",observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
21,Social and relationship,Speed dating,social_first,speed dating near me,speed dating near me,speed dating near me,2900,speed dating:5400,MEDIUM,42,1.6623,2025-august,3600,2025-december,2400,1.50,16,4,4,5,5,4,3,82,strong_test,owned hosted series in a partner venue,"Local discovery signal may mix classes, venues, clubs and events",observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
22,Outdoor and endurance,Running clubs,outdoor_club,running clubs near me,running clubs near me,running clubs near me|run club near me,4400,run club near me:4400,LOW,15,1.3924,2025-august,5400,2025-december,3600,1.50,16,3,5,5,4,3,4,81,strong_test,host-led club or bounded paid cohort,"Local discovery signal may mix classes, venues, clubs and events",observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
23,Tabletop and games,Chess clubs,tabletop,chess club near me,chess club near me,chess club near me|chess clubs near me,2400,chess clubs near me:2400,LOW,4,0.7754,2025-august,2900,2025-december,2400,1.21,14,3,5,5,5,3,4,81,strong_test,"recurring hosted night, ladder or league in a hospitality venue","Local discovery signal may mix classes, venues, clubs and events",observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
24,Live culture,Open-mic nights,participatory_performance,open mic night near me,open mic night near me,open mic night near me,2400,open mic near me:2400,LOW,2,0.0711,2025-august,3600,2025-december,1900,1.89,14,4,4,5,4,4,4,81,strong_test,short course or recurring hosted night,"Local discovery signal may mix classes, venues, clubs and events",observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
25,"Wellness, spa and retreats",Yoga retreats,retreat,yoga retreats uk,yoga retreats uk,yoga retreats uk,2400,yoga retreat near me:880,HIGH,70,1.1447,2025-september,3600,2025-november,1900,1.89,14,5,4,4,3,5,4,81,strong_test,hosted weekend using partner accommodation and practitioners,Format-specific phrase still may contain informational or non-commercial intent,observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
26,Racket and team sport,Padel,facility_sport,padel near me,padel near me,padel near me,49500,padel clubs near me:2400,LOW,15,0.3852,2026-april,60500,2025-december,27100,2.23,20,5,4,4,2,4,3,80,strong_test,managed social session through an existing facility,May resolve to venue or facility booking rather than a managed social event,observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
27,Nature and animals,Horse riding,facility_sport,horse riding near me,horse riding near me,horse riding near me,22200,horse riding lessons near me:14800,LOW,11,1.0619,2025-august,40500,2025-december,14800,2.74,20,5,4,4,2,4,3,80,strong_test,managed social session through an existing facility,May resolve to venue or facility booking rather than a managed social event,observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
28,Outdoor and endurance,Climbing,facility_sport,climbing near me,climbing near me,climbing near me,14800,climbing clubs near me:720,LOW,23,0.2230,2025-august,18100,2025-december,12100,1.50,20,5,4,4,2,4,3,80,strong_test,managed social session through an existing facility,May resolve to venue or facility booking rather than a managed social event,observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
29,Outdoor and endurance,Roller skating,facility_sport,roller skating near me,roller skating near me,roller skating near me,14800,roller disco near me:2900,LOW,16,0.4500,2026-january,22200,2026-june,8100,2.74,20,5,4,4,2,4,3,80,strong_test,managed social session through an existing facility,May resolve to venue or facility booking rather than a managed social event,observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
30,Outdoor and endurance,Bouldering,facility_sport,bouldering near me,bouldering near me,bouldering near me,12100,bouldering clubs near me:30,LOW,21,0.1760,2025-august,14800,2025-november,9900,1.49,20,5,4,4,2,4,3,80,strong_test,managed social session through an existing facility,May resolve to venue or facility booking rather than a managed social event,observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
31,Racket and team sport,Tennis,facility_sport,tennis clubs near me,tennis clubs near me,tennis clubs near me,12100,tennis lessons near me:4400,LOW,12,0.3437,2026-july,14800,2025-december,5400,2.74,20,5,4,4,2,4,3,80,strong_test,managed social session through an existing facility,May resolve to venue or facility booking rather than a managed social event,observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
32,Racket and team sport,Five-a-side football,team_sport,5 a side football near me,5 a side football near me,5 a side football near me,1900,five a side football near me:1900,LOW,14,1.0579,2025-september,2400,2025-december,1300,1.85,14,4,5,5,2,4,4,80,strong_test,prepaid season using rented facility slots,"Local discovery signal may mix classes, venues, clubs and events",observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
33,Racket and team sport,Hockey,team_sport,hockey clubs near me,hockey clubs near me,hockey clubs near me,1900,social hockey near me:10,LOW,1,0.0123,2026-february,3600,2026-april,1000,3.60,14,4,5,5,2,4,4,80,strong_test,prepaid season using rented facility slots,"Local discovery signal may mix classes, venues, clubs and events",observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
34,Tabletop and games,Backgammon clubs,tabletop,backgammon club near me,backgammon club near me,backgammon club near me,170,backgammon near me:90,LOW,1,0.0000,2025-december,260,2026-july,90,2.89,8,4,5,5,5,4,4,80,strong_test,"recurring hosted night, ladder or league in a hospitality venue","Local discovery signal may mix classes, venues, clubs and events",observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
35,Tabletop and games,Mahjong,tabletop,mahjong near me,mahjong near me,mahjong near me,140,mahjong club near me:90,LOW,3,0.0000,2026-march,210,2025-august,110,1.91,8,4,5,5,5,4,4,80,strong_test,"recurring hosted night, ladder or league in a hospitality venue","Local discovery signal may mix classes, venues, clubs and events",observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
36,Competitive experiences,Bowling,venue_entertainment,bowling near me,bowling near me,bowling near me,110000,bowling alley near me:33100,LOW,27,0.4499,2025-august,165000,2026-june,74000,2.23,20,5,3,4,2,5,3,79,strong_test,partner with the asset owner; do not build the venue first,May resolve to venue or facility booking rather than a managed social event,observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
37,Tabletop and games,Escape rooms,venue_entertainment,escape rooms near me,escape rooms near me,escape rooms near me|escape room near me,60500,escape room near me:60500,MEDIUM,47,0.9487,2025-august,90500,2026-june,40500,2.23,20,5,3,4,2,5,3,79,strong_test,partner with the asset owner; do not build the venue first,May resolve to venue or facility booking rather than a managed social event,observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
38,Competitive experiences,Go-karting,venue_entertainment,go karting near me,go karting near me,go karting near me|go karts near me,60500,go karts near me:60500,MEDIUM,37,0.6462,2025-august,110000,2025-november,49500,2.22,20,5,3,4,2,5,3,79,strong_test,partner with the asset owner; do not build the venue first,May resolve to venue or facility booking rather than a managed social event,observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
39,Competitive experiences,Crazy golf,venue_entertainment,crazy golf near me,crazy golf near me,crazy golf near me,33100,mini golf near me:49500,LOW,24,0.4127,2025-august,90500,2025-december,14800,6.11,20,5,3,4,2,5,3,79,strong_test,partner with the asset owner; do not build the venue first,May resolve to venue or facility booking rather than a managed social event,observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
40,Competitive experiences,Paintball,venue_entertainment,paintball near me,paintball near me,paintball near me|paintballing near me,22200,paintballing near me:22200,MEDIUM,41,0.9365,2025-august,33100,2025-december,14800,2.24,20,5,3,4,2,5,3,79,strong_test,partner with the asset owner; do not build the venue first,May resolve to venue or facility booking rather than a managed social event,observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
41,Competitive experiences,Airsoft,venue_entertainment,airsoft near me,airsoft near me,airsoft near me,14800,airsoft events near me:140,LOW,10,0.4570,2025-august,22200,2025-december,12100,1.83,20,5,3,4,2,5,3,79,strong_test,partner with the asset owner; do not build the venue first,May resolve to venue or facility booking rather than a managed social event,observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
42,Competitive experiences,Laser tag,venue_entertainment,laser tag near me,laser tag near me,laser tag near me,12100,laser quest near me:5400,LOW,30,0.7881,2025-august,18100,2025-december,9900,1.83,20,5,3,4,2,5,3,79,strong_test,partner with the asset owner; do not build the venue first,May resolve to venue or facility booking rather than a managed social event,observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
43,Food and drink,Cooking classes,food_class,cooking classes near me,cooking classes near me,cooking classes near me,8100,cookery courses near me:1000,HIGH,99,0.7675,2025-november,9900,2026-april,5400,1.83,18,5,3,4,3,5,3,79,strong_test,licensed kitchen or hospitality partnership,"Local discovery signal may mix classes, venues, clubs and events",observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
44,Nature and animals,Nature walks,nature_class,nature walks near me,nature walks near me,nature walks near me,6600,guided nature walks near me:20,LOW,11,1.0187,2025-august,9900,2025-november,3600,2.75,18,4,3,4,4,4,4,79,strong_test,guided session with a qualified facilitator and land partner,"Local discovery signal may mix classes, venues, clubs and events",observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
45,Social and relationship,Social clubs,hobby_club,social clubs near me,social clubs near me,social clubs near me|social club near me,6600,social club near me:6600,LOW,6,0.5775,2025-august,8100,2025-december,5400,1.50,18,2,5,5,5,3,3,79,strong_test,recurring club or season with a facilitator,"Mixed with private members clubs, sports clubs and venue discovery",observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
46,Fitness and mind-body,Sound baths,fitness_class,sound bath near me,sound bath near me,sound bath near me,6600,sound healing near me:480,LOW,14,0.7217,2026-january,9900,2025-december,4400,2.25,18,5,4,2,4,4,4,79,strong_test,themed social cohort through an instructor and venue partner,"Local discovery signal may mix classes, venues, clubs and events",observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
47,Outdoor and endurance,Walking groups,outdoor_club,walking groups near me,walking groups near me,walking groups near me,2400,walking club near me:210,LOW,8,3.4717,2026-january,3600,2025-november,1900,1.89,14,3,5,5,4,3,4,79,strong_test,host-led club or bounded paid cohort,"Local discovery signal may mix classes, venues, clubs and events",observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
48,Outdoor and endurance,Cycling clubs,outdoor_club,cycling clubs near me,cycling clubs near me,cycling clubs near me,1900,bike clubs near me:1900,LOW,9,1.6667,2025-august,2900,2025-november,1300,2.23,14,3,5,5,4,3,4,79,strong_test,host-led club or bounded paid cohort,"Local discovery signal may mix classes, venues, clubs and events",observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
49,Craft and making,Floristry,studio_craft,floristry courses near me,floristry courses near me,floristry courses near me,1900,floristry workshops near me:2900,MEDIUM,65,0.7347,2025-september,2400,2025-november,1600,1.50,14,5,4,4,2,5,4,79,strong_test,portable workshop or studio-capacity partnership before a lease,"Local discovery signal may mix classes, venues, clubs and events",observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
50,Craft and making,Woodworking,studio_craft,woodworking courses near me,woodworking courses near me,woodworking courses near me,1600,woodworking classes near me:720,HIGH,71,1.2236,2025-september,1900,2026-june,1000,1.90,14,5,4,4,2,5,4,79,strong_test,portable workshop or studio-capacity partnership before a lease,"Local discovery signal may mix classes, venues, clubs and events",observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
51,Craft and making,Jewellery making,studio_craft,jewellery making classes near me,jewellery making classes near me,jewellery making classes near me,1000,jewellery making workshop near me:260,HIGH,100,0.7121,2025-august,1300,2026-april,880,1.48,14,5,4,4,2,5,4,79,strong_test,portable workshop or studio-capacity partnership before a lease,"Local discovery signal may mix classes, venues, clubs and events",observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
52,Craft and making,Knitting groups,hobby_club,knitting groups near me,knitting groups near me,knitting groups near me,880,knitting club near me:480,LOW,1,0.0000,2025-november,1300,2026-july,480,2.71,12,3,5,5,5,3,4,79,strong_test,recurring club or season with a facilitator,"Local discovery signal may mix classes, venues, clubs and events",observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
53,Technical and maker hobbies,Motorcycle clubs,hobby_club,motorcycle clubs near me,motorcycle clubs near me,motorcycle clubs near me,880,motorbike clubs near me:880,LOW,1,0.3359,2025-august,1300,2025-december,590,2.20,12,3,5,5,5,3,4,79,strong_test,recurring club or season with a facilitator,"Local discovery signal may mix classes, venues, clubs and events",observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
54,Performance and dance,Singing groups,hobby_club,singing groups near me,singing groups near me,singing groups near me|singing group near me,880,singing group near me:880,LOW,5,3.1802,2025-august,1300,2026-july,480,2.71,12,3,5,5,5,3,4,79,strong_test,recurring club or season with a facilitator,"Local discovery signal may mix classes, venues, clubs and events",observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
55,Technical and maker hobbies,Car clubs,hobby_club,car clubs near me,car clubs near me,car clubs near me,720,classic car clubs near me:210,MEDIUM,36,1.0202,2026-march,1000,2025-november,590,1.69,12,3,5,5,5,3,4,79,strong_test,recurring club or season with a facilitator,"Local discovery signal may mix classes, venues, clubs and events",observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
56,Nature and animals,Gardening clubs,hobby_club,gardening clubs near me,gardening clubs near me,gardening clubs near me|garden club near me,720,garden club near me:720,LOW,3,0.8892,2026-march,1000,2025-december,390,2.56,12,3,5,5,5,3,4,79,strong_test,recurring club or season with a facilitator,"Local discovery signal may mix classes, venues, clubs and events",observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
57,Technical and maker hobbies,Makerspaces,hobby_club,makerspace near me,makerspace near me,makerspace near me,720,maker space near me:260,LOW,12,0.8784,2026-may,2900,2025-december,390,7.44,12,3,5,5,5,3,4,79,strong_test,recurring club or season with a facilitator,"Local discovery signal may mix classes, venues, clubs and events",observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
58,Performance and dance,Burlesque classes,participatory_performance,burlesque classes near me,burlesque classes near me,burlesque classes near me,590,burlesque workshop:40,LOW,6,0.7952,2026-january,880,2025-november,480,1.83,12,4,4,5,4,4,4,79,strong_test,short course or recurring hosted night,"Local discovery signal may mix classes, venues, clubs and events",observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
59,"Wellness, spa and retreats",Writing retreats,retreat,writing retreats uk,writing retreats uk,writing retreats uk,590,writing retreat near me:50,MEDIUM,38,0.8398,2026-january,880,2025-october,590,1.49,12,5,4,4,3,5,4,79,strong_test,hosted weekend using partner accommodation and practitioners,Format-specific phrase still may contain informational or non-commercial intent,observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
60,Outdoor and endurance,Paddleboarding,facility_sport,paddleboarding near me,paddleboarding near me,paddleboarding near me|paddle board near me,9900,paddle board near me:9900,LOW,26,0.4261,2025-august,33100,2025-november,1000,33.10,18,5,4,4,2,4,3,78,strong_test,managed social session through an existing facility,May resolve to venue or facility booking rather than a managed social event,observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
61,Racket and team sport,Pickleball,facility_sport,pickleball near me,pickleball near me,pickleball near me,8100,pickleball clubs near me:480,LOW,10,0.5837,2025-august,9900,2025-november,5400,1.83,18,5,4,4,2,4,3,78,strong_test,managed social session through an existing facility,May resolve to venue or facility booking rather than a managed social event,observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
62,Outdoor and endurance,Kayaking,facility_sport,kayaking near me,kayaking near me,kayaking near me,6600,kayak clubs near me:590,MEDIUM,35,0.5956,2025-august,22200,2025-december,1000,22.20,18,5,4,4,2,4,3,78,strong_test,managed social session through an existing facility,May resolve to venue or facility booking rather than a managed social event,observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
