submitted_keyword,returned_keyword,grouped_submitted_keywords,close_variants,niche,niche_phrase,lane,city,average_monthly_searches,competition,competition_index,average_cpc_gbp,low_top_of_page_gbp,high_top_of_page_gbp,geography_method,observed_at
emergency plumber Newcastle,emergency plumber newcastle,emergency plumber Newcastle,emergency plumber Newcastle,emergency_plumber,emergency plumber,urgent_trade,Newcastle,260,HIGH,89,11.4751,5.7222,20.7083,explicit_city_query_under_uk_target,2026-09-03
emergency plumber Leicester,emergency plumber leicester,emergency plumber Leicester,emergency plumber Leicester,emergency_plumber,emergency plumber,urgent_trade,Leicester,320,HIGH,78,6.7505,3.3129,12.2214,explicit_city_query_under_uk_target,2026-09-03
emergency plumber Southampton,emergency plumber southampton,emergency plumber Southampton,emergency plumber Southampton,emergency_plumber,emergency plumber,urgent_trade,Southampton,260,HIGH,90,14.5876,7.0950,27.9868,explicit_city_query_under_uk_target,2026-09-03
emergency plumber Brighton,emergency plumber brighton,emergency plumber Brighton,emergency plumber Brighton,emergency_plumber,emergency plumber,urgent_trade,Brighton,390,HIGH,90,12.6990,4.7464,29.5002,explicit_city_query_under_uk_target,2026-09-03
emergency plumber Coventry,emergency plumber coventry,emergency plumber Coventry,emergency plumber Coventry,emergency_plumber,emergency plumber,urgent_trade,Coventry,210,HIGH,80,6.8548,2.8338,15.1390,explicit_city_query_under_uk_target,2026-09-03
emergency plumber Belfast,emergency plumber belfast,emergency plumber Belfast,emergency plumber Belfast,emergency_plumber,emergency plumber,urgent_trade,Belfast,260,HIGH,77,4.4724,0.8953,4.7545,explicit_city_query_under_uk_target,2026-09-03
emergency plumber Reading,emergency plumber reading,emergency plumber Reading,emergency plumber Reading,emergency_plumber,emergency plumber,urgent_trade,Reading,320,MEDIUM,53,24.3616,9.9646,34.6589,explicit_city_query_under_uk_target,2026-09-03
emergency plumber Oxford,emergency plumber oxford,emergency plumber Oxford,emergency plumber Oxford,emergency_plumber,emergency plumber,urgent_trade,Oxford,210,HIGH,86,5.6014,11.2406,32.8098,explicit_city_query_under_uk_target,2026-09-03
emergency plumber Cambridge,emergency plumber cambridge,emergency plumber Cambridge,emergency plumber Cambridge,emergency_plumber,emergency plumber,urgent_trade,Cambridge,320,HIGH,77,5.7123,6.1694,23.8704,explicit_city_query_under_uk_target,2026-09-03
emergency plumber Aberdeen,emergency plumber aberdeen,emergency plumber Aberdeen,emergency plumber Aberdeen,emergency_plumber,emergency plumber,urgent_trade,Aberdeen,210,MEDIUM,65,9.4439,2.8761,8.1153,explicit_city_query_under_uk_target,2026-09-03
emergency plumber Plymouth,emergency plumber plymouth,emergency plumber Plymouth,emergency plumber Plymouth,emergency_plumber,emergency plumber,urgent_trade,Plymouth,140,HIGH,76,10.8837,2.9964,16.6685,explicit_city_query_under_uk_target,2026-09-03
emergency plumber Exeter,emergency plumber exeter,emergency plumber Exeter,emergency plumber Exeter,emergency_plumber,emergency plumber,urgent_trade,Exeter,110,HIGH,91,7.4984,3.1099,21.8646,explicit_city_query_under_uk_target,2026-09-03
emergency plumber Norwich,emergency plumber norwich,emergency plumber Norwich,emergency plumber Norwich,emergency_plumber,emergency plumber,urgent_trade,Norwich,260,HIGH,75,11.2632,4.3615,17.2259,explicit_city_query_under_uk_target,2026-09-03
emergency plumber Swansea,emergency plumber swansea,emergency plumber Swansea,emergency plumber Swansea,emergency_plumber,emergency plumber,urgent_trade,Swansea,110,MEDIUM,66,5.2707,2.3621,9.1103,explicit_city_query_under_uk_target,2026-09-03
emergency plumber York,emergency plumber york,emergency plumber York,emergency plumber York,emergency_plumber,emergency plumber,urgent_trade,York,260,HIGH,73,10.1338,4.4258,10.0969,explicit_city_query_under_uk_target,2026-09-03
drain unblocking London,drain unblocking london,drain unblocking London,drain unblocking London,drain_unblocking,drain unblocking,urgent_trade,London,390,MEDIUM,53,21.0486,9.0980,36.0385,explicit_city_query_under_uk_target,2026-09-03
drain unblocking Birmingham,drain unblocking birmingham,drain unblocking Birmingham,drain unblocking Birmingham,drain_unblocking,drain unblocking,urgent_trade,Birmingham,210,HIGH,67,8.8349,4.1440,15.8503,explicit_city_query_under_uk_target,2026-09-03
drain unblocking Manchester,drain unblocking manchester,drain unblocking Manchester,drain unblocking Manchester,drain_unblocking,drain unblocking,urgent_trade,Manchester,390,HIGH,75,8.7439,3.5710,15.4799,explicit_city_query_under_uk_target,2026-09-03
drain unblocking Glasgow,drain unblocking glasgow,drain unblocking Glasgow,drain unblocking Glasgow,drain_unblocking,drain unblocking,urgent_trade,Glasgow,90,MEDIUM,64,7.7284,4.1103,11.7893,explicit_city_query_under_uk_target,2026-09-03
drain unblocking Leeds,drain unblocking leeds,drain unblocking Leeds,drain unblocking Leeds,drain_unblocking,drain unblocking,urgent_trade,Leeds,320,HIGH,76,9.3264,6.0187,17.3986,explicit_city_query_under_uk_target,2026-09-03
drain unblocking Liverpool,drain unblocking liverpool,drain unblocking Liverpool,drain unblocking Liverpool,drain_unblocking,drain unblocking,urgent_trade,Liverpool,210,MEDIUM,48,3.9251,3.8863,12.2070,explicit_city_query_under_uk_target,2026-09-03
drain unblocking Bristol,drain unblocking bristol,drain unblocking Bristol,drain unblocking Bristol,drain_unblocking,drain unblocking,urgent_trade,Bristol,590,MEDIUM,66,16.0945,8.2336,22.7364,explicit_city_query_under_uk_target,2026-09-03
drain unblocking Sheffield,drain unblocking sheffield,drain unblocking Sheffield,drain unblocking Sheffield,drain_unblocking,drain unblocking,urgent_trade,Sheffield,70,HIGH,88,14.9529,4.9595,27.9731,explicit_city_query_under_uk_target,2026-09-03
drain unblocking Edinburgh,drain unblocking edinburgh,drain unblocking Edinburgh,drain unblocking Edinburgh,drain_unblocking,drain unblocking,urgent_trade,Edinburgh,110,HIGH,89,9.8124,3.9842,11.6196,explicit_city_query_under_uk_target,2026-09-03
drain unblocking Cardiff,drain unblocking cardiff,drain unblocking Cardiff,drain unblocking Cardiff,drain_unblocking,drain unblocking,urgent_trade,Cardiff,110,HIGH,89,4.6808,2.8231,11.7797,explicit_city_query_under_uk_target,2026-09-03
drain unblocking Nottingham,drain unblocking nottingham,drain unblocking Nottingham,drain unblocking Nottingham,drain_unblocking,drain unblocking,urgent_trade,Nottingham,170,HIGH,78,7.9285,4.3932,19.5259,explicit_city_query_under_uk_target,2026-09-03
drain unblocking Newcastle,drain unblocking newcastle,drain unblocking Newcastle,drain unblocking Newcastle,drain_unblocking,drain unblocking,urgent_trade,Newcastle,50,HIGH,78,12.2993,3.2632,12.7773,explicit_city_query_under_uk_target,2026-09-03
drain unblocking Leicester,drain unblocking leicester,drain unblocking Leicester,drain unblocking Leicester,drain_unblocking,drain unblocking,urgent_trade,Leicester,110,HIGH,76,11.3245,3.8664,13.3287,explicit_city_query_under_uk_target,2026-09-03
drain unblocking Southampton,drain unblocking southampton,drain unblocking Southampton,drain unblocking Southampton,drain_unblocking,drain unblocking,urgent_trade,Southampton,590,HIGH,76,9.7459,14.8966,34.8286,explicit_city_query_under_uk_target,2026-09-03
drain unblocking Brighton,drain unblocking brighton,drain unblocking Brighton,drain unblocking Brighton,drain_unblocking,drain unblocking,urgent_trade,Brighton,90,HIGH,94,5.0694,12.7883,34.6821,explicit_city_query_under_uk_target,2026-09-03
drain unblocking Coventry,drain unblocking coventry,drain unblocking Coventry,drain unblocking Coventry,drain_unblocking,drain unblocking,urgent_trade,Coventry,480,HIGH,86,11.3882,3.7671,21.8176,explicit_city_query_under_uk_target,2026-09-03
drain unblocking Belfast,drain unblocking belfast,drain unblocking Belfast,drain unblocking Belfast,drain_unblocking,drain unblocking,urgent_trade,Belfast,110,HIGH,73,2.6195,0.7565,2.7085,explicit_city_query_under_uk_target,2026-09-03
drain unblocking Reading,drain unblocking reading,drain unblocking Reading,drain unblocking Reading,drain_unblocking,drain unblocking,urgent_trade,Reading,70,HIGH,77,17.3315,9.1403,34.8637,explicit_city_query_under_uk_target,2026-09-03
drain unblocking Oxford,drain unblocking oxford,drain unblocking Oxford,drain unblocking Oxford,drain_unblocking,drain unblocking,urgent_trade,Oxford,40,HIGH,86,15.6478,8.4817,32.9157,explicit_city_query_under_uk_target,2026-09-03
drain unblocking Cambridge,drain unblocking cambridge,drain unblocking Cambridge,drain unblocking Cambridge,drain_unblocking,drain unblocking,urgent_trade,Cambridge,50,HIGH,80,5.4360,5.4891,17.3572,explicit_city_query_under_uk_target,2026-09-03
drain unblocking Aberdeen,drain unblocking aberdeen,drain unblocking Aberdeen,drain unblocking Aberdeen,drain_unblocking,drain unblocking,urgent_trade,Aberdeen,70,HIGH,70,11.4954,2.0580,8.5683,explicit_city_query_under_uk_target,2026-09-03
drain unblocking Plymouth,drain unblocking plymouth,drain unblocking Plymouth,drain unblocking Plymouth,drain_unblocking,drain unblocking,urgent_trade,Plymouth,140,HIGH,82,11.9172,6.0103,20.4366,explicit_city_query_under_uk_target,2026-09-03
drain unblocking Exeter,drain unblocking exeter,drain unblocking Exeter,drain unblocking Exeter,drain_unblocking,drain unblocking,urgent_trade,Exeter,210,MEDIUM,65,10.9544,4.9240,19.7580,explicit_city_query_under_uk_target,2026-09-03
drain unblocking Norwich,drain unblocking norwich,drain unblocking Norwich,drain unblocking Norwich,drain_unblocking,drain unblocking,urgent_trade,Norwich,50,HIGH,74,6.9686,3.6273,19.9168,explicit_city_query_under_uk_target,2026-09-03
drain unblocking Swansea,drain unblocking swansea,drain unblocking Swansea,drain unblocking Swansea,drain_unblocking,drain unblocking,urgent_trade,Swansea,50,HIGH,76,4.3462,2.1438,10.2650,explicit_city_query_under_uk_target,2026-09-03
drain unblocking York,drain unblocking york,drain unblocking York,drain unblocking York,drain_unblocking,drain unblocking,urgent_trade,York,50,MEDIUM,54,4.0421,6.7531,12.9822,explicit_city_query_under_uk_target,2026-09-03
emergency locksmith London,emergency locksmith london,emergency locksmith London,emergency locksmith London,emergency_locksmith,emergency locksmith,urgent_trade,London,1900,MEDIUM,47,61.9351,5.4255,49.5855,explicit_city_query_under_uk_target,2026-09-03
emergency locksmith Birmingham,emergency locksmith birmingham,emergency locksmith Birmingham,emergency locksmith Birmingham,emergency_locksmith,emergency locksmith,urgent_trade,Birmingham,210,MEDIUM,43,25.9612,4.0452,19.9689,explicit_city_query_under_uk_target,2026-09-03
emergency locksmith Manchester,emergency locksmith manchester,emergency locksmith Manchester,emergency locksmith Manchester,emergency_locksmith,emergency locksmith,urgent_trade,Manchester,320,HIGH,69,17.3720,2.9759,15.7451,explicit_city_query_under_uk_target,2026-09-03
emergency locksmith Glasgow,emergency locksmith glasgow,emergency locksmith Glasgow,emergency locksmith Glasgow,emergency_locksmith,emergency locksmith,urgent_trade,Glasgow,260,HIGH,75,21.7821,2.8529,17.9358,explicit_city_query_under_uk_target,2026-09-03
emergency locksmith Leeds,emergency locksmith leeds,emergency locksmith Leeds,emergency locksmith Leeds,emergency_locksmith,emergency locksmith,urgent_trade,Leeds,390,MEDIUM,60,21.2762,3.7387,15.8801,explicit_city_query_under_uk_target,2026-09-03
emergency locksmith Liverpool,emergency locksmith liverpool,emergency locksmith Liverpool,emergency locksmith Liverpool,emergency_locksmith,emergency locksmith,urgent_trade,Liverpool,170,HIGH,75,14.4835,2.9694,15.4405,explicit_city_query_under_uk_target,2026-09-03
emergency locksmith Bristol,emergency locksmith bristol,emergency locksmith Bristol,emergency locksmith Bristol,emergency_locksmith,emergency locksmith,urgent_trade,Bristol,320,HIGH,70,26.6597,5.4175,21.7032,explicit_city_query_under_uk_target,2026-09-03
emergency locksmith Sheffield,emergency locksmith sheffield,emergency locksmith Sheffield,emergency locksmith Sheffield,emergency_locksmith,emergency locksmith,urgent_trade,Sheffield,140,HIGH,73,18.0371,3.5735,16.4171,explicit_city_query_under_uk_target,2026-09-03
emergency locksmith Edinburgh,emergency locksmith edinburgh,emergency locksmith Edinburgh,emergency locksmith Edinburgh,emergency_locksmith,emergency locksmith,urgent_trade,Edinburgh,390,HIGH,68,30.0215,2.9827,26.8218,explicit_city_query_under_uk_target,2026-09-03
emergency locksmith Cardiff,emergency locksmith cardiff,emergency locksmith Cardiff,emergency locksmith Cardiff,emergency_locksmith,emergency locksmith,urgent_trade,Cardiff,260,MEDIUM,47,11.7776,3.2580,15.8621,explicit_city_query_under_uk_target,2026-09-03
emergency locksmith Nottingham,emergency locksmith nottingham,emergency locksmith Nottingham,emergency locksmith Nottingham,emergency_locksmith,emergency locksmith,urgent_trade,Nottingham,140,HIGH,74,18.8067,3.9026,15.9656,explicit_city_query_under_uk_target,2026-09-03
emergency locksmith Newcastle,emergency locksmith newcastle,emergency locksmith Newcastle,emergency locksmith Newcastle,emergency_locksmith,emergency locksmith,urgent_trade,Newcastle,140,HIGH,68,12.1357,4.4360,15.3962,explicit_city_query_under_uk_target,2026-09-03
emergency locksmith Leicester,emergency locksmith leicester,emergency locksmith Leicester,emergency locksmith Leicester,emergency_locksmith,emergency locksmith,urgent_trade,Leicester,90,HIGH,79,23.1522,5.4584,17.1779,explicit_city_query_under_uk_target,2026-09-03
emergency locksmith Southampton,emergency locksmith southampton,emergency locksmith Southampton,emergency locksmith Southampton,emergency_locksmith,emergency locksmith,urgent_trade,Southampton,140,HIGH,67,27.5567,4.9825,29.4168,explicit_city_query_under_uk_target,2026-09-03
emergency locksmith Brighton,emergency locksmith brighton,emergency locksmith Brighton,emergency locksmith Brighton,emergency_locksmith,emergency locksmith,urgent_trade,Brighton,260,MEDIUM,57,26.9907,3.7700,28.4360,explicit_city_query_under_uk_target,2026-09-03
emergency locksmith Coventry,emergency locksmith coventry,emergency locksmith Coventry,emergency locksmith Coventry,emergency_locksmith,emergency locksmith,urgent_trade,Coventry,140,LOW,28,23.5534,6.1793,25.5494,explicit_city_query_under_uk_target,2026-09-03
emergency locksmith Belfast,emergency locksmith belfast,emergency locksmith Belfast,emergency locksmith Belfast,emergency_locksmith,emergency locksmith,urgent_trade,Belfast,390,LOW,28,1.4411,0.3165,2.4321,explicit_city_query_under_uk_target,2026-09-03
emergency locksmith Reading,emergency locksmith reading,emergency locksmith Reading,emergency locksmith Reading,emergency_locksmith,emergency locksmith,urgent_trade,Reading,210,MEDIUM,64,28.1256,4.0179,27.7308,explicit_city_query_under_uk_target,2026-09-03
emergency locksmith Oxford,emergency locksmith oxford,emergency locksmith Oxford,emergency locksmith Oxford,emergency_locksmith,emergency locksmith,urgent_trade,Oxford,110,HIGH,87,21.9265,5.4229,19.8051,explicit_city_query_under_uk_target,2026-09-03
emergency locksmith Cambridge,emergency locksmith cambridge,emergency locksmith Cambridge,emergency locksmith Cambridge,emergency_locksmith,emergency locksmith,urgent_trade,Cambridge,90,MEDIUM,65,19.3616,3.9700,18.7785,explicit_city_query_under_uk_target,2026-09-03
emergency locksmith Aberdeen,emergency locksmith aberdeen,emergency locksmith Aberdeen,emergency locksmith Aberdeen,emergency_locksmith,emergency locksmith,urgent_trade,Aberdeen,70,MEDIUM,44,4.8744,1.8272,4.6847,explicit_city_query_under_uk_target,2026-09-03
emergency locksmith Plymouth,emergency locksmith plymouth,emergency locksmith Plymouth,emergency locksmith Plymouth,emergency_locksmith,emergency locksmith,urgent_trade,Plymouth,50,MEDIUM,65,24.3403,2.6572,27.5523,explicit_city_query_under_uk_target,2026-09-03
emergency locksmith Exeter,emergency locksmith exeter,emergency locksmith Exeter,emergency locksmith Exeter,emergency_locksmith,emergency locksmith,urgent_trade,Exeter,70,MEDIUM,51,21.2566,4.5306,21.3895,explicit_city_query_under_uk_target,2026-09-03
emergency locksmith Norwich,emergency locksmith norwich,emergency locksmith Norwich,emergency locksmith Norwich,emergency_locksmith,emergency locksmith,urgent_trade,Norwich,90,MEDIUM,56,20.5430,3.9847,35.3309,explicit_city_query_under_uk_target,2026-09-03
emergency locksmith Swansea,emergency locksmith swansea,emergency locksmith Swansea,emergency locksmith Swansea,emergency_locksmith,emergency locksmith,urgent_trade,Swansea,50,HIGH,71,8.3193,1.5457,6.5831,explicit_city_query_under_uk_target,2026-09-03
emergency locksmith York,emergency locksmith york,emergency locksmith York,emergency locksmith York,emergency_locksmith,emergency locksmith,urgent_trade,York,110,MEDIUM,35,11.5593,3.4463,12.0146,explicit_city_query_under_uk_target,2026-09-03
roof repair London,roof repair london,roof repair London,roof repair London,roof_repair,roof repair,planned_trade,London,880,MEDIUM,58,13.5288,5.4933,24.9026,explicit_city_query_under_uk_target,2026-09-03
roof repair Birmingham,roof repair birmingham,roof repair Birmingham,roof repair Birmingham,roof_repair,roof repair,planned_trade,Birmingham,480,HIGH,100,2.1777,2.6408,8.1633,explicit_city_query_under_uk_target,2026-09-03
roof repair Manchester,roof repair manchester,roof repair Manchester,roof repair Manchester,roof_repair,roof repair,planned_trade,Manchester,880,MEDIUM,65,2.6965,2.7153,10.1024,explicit_city_query_under_uk_target,2026-09-03
roof repair Glasgow,roof repair glasgow,roof repair Glasgow,roof repair Glasgow,roof_repair,roof repair,planned_trade,Glasgow,480,MEDIUM,54,2.4301,4.5197,14.8460,explicit_city_query_under_uk_target,2026-09-03
roof repair Leeds,roof repair leeds,roof repair Leeds,roof repair Leeds,roof_repair,roof repair,planned_trade,Leeds,320,HIGH,69,3.1417,4.1379,15.2995,explicit_city_query_under_uk_target,2026-09-03
roof repair Liverpool,roof repair liverpool,roof repair Liverpool,roof repair Liverpool,roof_repair,roof repair,planned_trade,Liverpool,260,HIGH,99,5.6223,4.0384,9.9692,explicit_city_query_under_uk_target,2026-09-03
roof repair Bristol,roof repair bristol,roof repair Bristol,roof repair Bristol,roof_repair,roof repair,planned_trade,Bristol,590,MEDIUM,66,8.6181,6.4620,15.3348,explicit_city_query_under_uk_target,2026-09-03
roof repair Sheffield,roof repair sheffield,roof repair Sheffield,roof repair Sheffield,roof_repair,roof repair,planned_trade,Sheffield,390,HIGH,76,4.6473,2.0061,12.8733,explicit_city_query_under_uk_target,2026-09-03
roof repair Edinburgh,roof repair edinburgh,roof repair Edinburgh,roof repair Edinburgh,roof_repair,roof repair,planned_trade,Edinburgh,480,HIGH,86,6.5204,4.6027,23.7280,explicit_city_query_under_uk_target,2026-09-03
roof repair Cardiff,roof repair cardiff,roof repair Cardiff,roof repair Cardiff,roof_repair,roof repair,planned_trade,Cardiff,390,HIGH,75,4.2236,2.9784,13.8262,explicit_city_query_under_uk_target,2026-09-03
roof repair Nottingham,roof repair nottingham,roof repair Nottingham,roof repair Nottingham,roof_repair,roof repair,planned_trade,Nottingham,260,HIGH,84,5.5875,2.9735,8.9768,explicit_city_query_under_uk_target,2026-09-03
roof repair Newcastle,roof repair newcastle,roof repair Newcastle,roof repair Newcastle,roof_repair,roof repair,planned_trade,Newcastle,110,HIGH,80,7.8797,5.0605,11.3075,explicit_city_query_under_uk_target,2026-09-03
roof repair Leicester,roof repair leicester,roof repair Leicester,roof repair Leicester,roof_repair,roof repair,planned_trade,Leicester,480,HIGH,80,4.2003,2.7466,11.0696,explicit_city_query_under_uk_target,2026-09-03
roof repair Southampton,roof repair southampton,roof repair Southampton,roof repair Southampton,roof_repair,roof repair,planned_trade,Southampton,210,HIGH,81,7.0622,7.7421,21.8542,explicit_city_query_under_uk_target,2026-09-03
roof repair Brighton,roof repair brighton,roof repair Brighton,roof repair Brighton,roof_repair,roof repair,planned_trade,Brighton,260,MEDIUM,42,7.0964,4.3982,25.7329,explicit_city_query_under_uk_target,2026-09-03
roof repair Coventry,roof repair coventry,roof repair Coventry,roof repair Coventry,roof_repair,roof repair,planned_trade,Coventry,320,HIGH,100,3.9948,4.5056,9.3353,explicit_city_query_under_uk_target,2026-09-03
roof repair Belfast,roof repair belfast,roof repair Belfast,roof repair Belfast,roof_repair,roof repair,planned_trade,Belfast,480,HIGH,93,2.1645,1.6537,6.1643,explicit_city_query_under_uk_target,2026-09-03
roof repair Reading,roof repair reading,roof repair Reading,roof repair Reading,roof_repair,roof repair,planned_trade,Reading,110,HIGH,84,13.9791,10.0694,28.6458,explicit_city_query_under_uk_target,2026-09-03
roof repair Oxford,roof repair oxford,roof repair Oxford,roof repair Oxford,roof_repair,roof repair,planned_trade,Oxford,170,HIGH,99,5.2062,5.3728,18.6390,explicit_city_query_under_uk_target,2026-09-03
roof repair Cambridge,roof repair cambridge,roof repair Cambridge,roof repair Cambridge,roof_repair,roof repair,planned_trade,Cambridge,210,HIGH,85,5.4684,3.2660,11.9204,explicit_city_query_under_uk_target,2026-09-03
roof repair Aberdeen,roof repair aberdeen,roof repair Aberdeen,roof repair Aberdeen,roof_repair,roof repair,planned_trade,Aberdeen,260,HIGH,75,8.1358,6.3224,19.8581,explicit_city_query_under_uk_target,2026-09-03
roof repair Plymouth,roof repair plymouth,roof repair Plymouth,roof repair Plymouth,roof_repair,roof repair,planned_trade,Plymouth,210,HIGH,79,4.2373,4.9622,15.2280,explicit_city_query_under_uk_target,2026-09-03
roof repair Exeter,roof repair exeter,roof repair Exeter,roof repair Exeter,roof_repair,roof repair,planned_trade,Exeter,110,MEDIUM,65,10.4449,5.0514,22.8098,explicit_city_query_under_uk_target,2026-09-03
roof repair Norwich,roof repair norwich,roof repair Norwich,roof repair Norwich,roof_repair,roof repair,planned_trade,Norwich,210,HIGH,69,7.2863,3.0410,19.7423,explicit_city_query_under_uk_target,2026-09-03
roof repair Swansea,roof repair swansea,roof repair Swansea,roof repair Swansea,roof_repair,roof repair,planned_trade,Swansea,90,MEDIUM,64,2.0082,1.6963,5.1322,explicit_city_query_under_uk_target,2026-09-03
roof repair York,roof repair york,roof repair York,roof repair York,roof_repair,roof repair,planned_trade,York,140,MEDIUM,50,4.0812,3.2179,10.2929,explicit_city_query_under_uk_target,2026-09-03
tree surgeon London,tree surgeon london,tree surgeon London,tree surgeon London,tree_surgeon,tree surgeon,planned_trade,London,1300,MEDIUM,60,3.9030,2.2039,6.9925,explicit_city_query_under_uk_target,2026-09-03
tree surgeon Birmingham,tree surgeon birmingham,tree surgeon Birmingham,tree surgeon Birmingham,tree_surgeon,tree surgeon,planned_trade,Birmingham,480,HIGH,87,2.9014,1.5323,4.2870,explicit_city_query_under_uk_target,2026-09-03
tree surgeon Manchester,tree surgeon manchester,tree surgeon Manchester,tree surgeon Manchester,tree_surgeon,tree surgeon,planned_trade,Manchester,590,MEDIUM,66,3.7134,2.7739,8.8973,explicit_city_query_under_uk_target,2026-09-03
tree surgeon Glasgow,tree surgeon glasgow,tree surgeon Glasgow,tree surgeon Glasgow,tree_surgeon,tree surgeon,planned_trade,Glasgow,590,HIGH,73,2.6773,1.1407,4.2509,explicit_city_query_under_uk_target,2026-09-03
tree surgeon Leeds,tree surgeon leeds,tree surgeon Leeds,tree surgeon Leeds,tree_surgeon,tree surgeon,planned_trade,Leeds,390,HIGH,69,3.0039,1.8284,5.4069,explicit_city_query_under_uk_target,2026-09-03
tree surgeon Liverpool,tree surgeon liverpool,tree surgeon Liverpool,tree surgeon Liverpool,tree_surgeon,tree surgeon,planned_trade,Liverpool,480,MEDIUM,59,2.5627,1.4417,4.3902,explicit_city_query_under_uk_target,2026-09-03
tree surgeon Bristol,tree surgeon bristol,tree surgeon Bristol,tree surgeon Bristol,tree_surgeon,tree surgeon,planned_trade,Bristol,720,MEDIUM,48,3.4197,2.2385,7.2538,explicit_city_query_under_uk_target,2026-09-03
tree surgeon Sheffield,tree surgeon sheffield,tree surgeon Sheffield,tree surgeon Sheffield,tree_surgeon,tree surgeon,planned_trade,Sheffield,480,HIGH,69,3.7829,1.3317,4.9869,explicit_city_query_under_uk_target,2026-09-03
tree surgeon Edinburgh,tree surgeon edinburgh,tree surgeon Edinburgh,tree surgeon Edinburgh,tree_surgeon,tree surgeon,planned_trade,Edinburgh,480,MEDIUM,66,2.6883,1.2087,6.1941,explicit_city_query_under_uk_target,2026-09-03
tree surgeon Cardiff,tree surgeon cardiff,tree surgeon Cardiff,tree surgeon Cardiff,tree_surgeon,tree surgeon,planned_trade,Cardiff,480,HIGH,82,2.0684,1.1254,4.4259,explicit_city_query_under_uk_target,2026-09-03
tree surgeon Nottingham,tree surgeon nottingham,tree surgeon Nottingham,tree surgeon Nottingham,tree_surgeon,tree surgeon,planned_trade,Nottingham,390,HIGH,74,4.0508,1.6449,7.5447,explicit_city_query_under_uk_target,2026-09-03
tree surgeon Newcastle,tree surgeon newcastle,tree surgeon Newcastle,tree surgeon Newcastle,tree_surgeon,tree surgeon,planned_trade,Newcastle,390,MEDIUM,56,2.1950,1.0687,2.7435,explicit_city_query_under_uk_target,2026-09-03
tree surgeon Leicester,tree surgeon leicester,tree surgeon Leicester,tree surgeon Leicester,tree_surgeon,tree surgeon,planned_trade,Leicester,390,HIGH,71,3.0097,1.5122,5.4102,explicit_city_query_under_uk_target,2026-09-03
tree surgeon Southampton,tree surgeon southampton,tree surgeon Southampton,tree surgeon Southampton,tree_surgeon,tree surgeon,planned_trade,Southampton,320,HIGH,68,4.4648,1.9970,8.1933,explicit_city_query_under_uk_target,2026-09-03
