cluster,city,submitted_keyword,grouped_submitted_keywords,returned_keyword,close_variants,average_monthly_searches,competition,competition_index,average_cpc_gbp,low_top_of_page_gbp,high_top_of_page_gbp,monthly_search_volumes,geography_method,observed_at
manchester_fire_risk_assessment,Manchester,fire risk assessor,fire risk assessor,fire risk assessor,,20,HIGH,75,0.0000,3.9534,14.0074,2025-august:10|2025-september:10|2025-october:10|2025-november:30|2025-december:10|2026-january:30|2026-february:10|2026-march:10|2026-april:10|2026-may:20|2026-june:10|2026-july:20,generic_query_inside_local_geo_target,2026-09-03
manchester_fire_risk_assessment,Manchester,commercial fire risk assessment,commercial fire risk assessment,commercial fire risk assessment,,10,LOW,0,0.0000,0.0000,0.0000,2025-august:10|2025-september:10|2025-october:0|2025-november:0|2025-december:10|2026-january:10|2026-february:10|2026-march:10|2026-april:0|2026-may:10|2026-june:10|2026-july:10,generic_query_inside_local_geo_target,2026-09-03
manchester_fire_risk_assessment,Manchester,fire risk assessment cost,fire risk assessment cost,fire risk assessment cost,,10,MEDIUM,63,16.1901,5.0439,12.9385,2025-august:10|2025-september:10|2025-october:10|2025-november:10|2025-december:10|2026-january:10|2026-february:10|2026-march:30|2026-april:20|2026-may:30|2026-june:10|2026-july:10,generic_query_inside_local_geo_target,2026-09-03
manchester_fire_risk_assessment,Manchester,fire risk assessment company,fire risk assessment company,fire risk assessment company,,10,HIGH,93,23.2941,6.0567,20.1638,2025-august:10|2025-september:0|2025-october:20|2025-november:70|2025-december:10|2026-january:10|2026-february:10|2026-march:10|2026-april:10|2026-may:10|2026-june:10|2026-july:10,generic_query_inside_local_geo_target,2026-09-03
manchester_fire_risk_assessment,Manchester,fire safety risk assessment,fire safety risk assessment,fire safety risk assessment,,20,HIGH,86,0.7342,8.1988,12.8953,2025-august:10|2025-september:70|2025-october:10|2025-november:20|2025-december:10|2026-january:10|2026-february:10|2026-march:10|2026-april:30|2026-may:10|2026-june:10|2026-july:10,generic_query_inside_local_geo_target,2026-09-03
manchester_asbestos_survey,Manchester,asbestos survey,asbestos survey|asbestos surveyor,asbestos survey,asbestos surveyor,90,HIGH,69,23.9681,3.9377,64.1363,2025-august:140|2025-september:70|2025-october:70|2025-november:50|2025-december:70|2026-january:70|2026-february:90|2026-march:70|2026-april:70|2026-may:90|2026-june:90|2026-july:70,generic_query_inside_local_geo_target,2026-09-03
manchester_asbestos_survey,Manchester,asbestos survey cost,asbestos survey cost,asbestos survey cost,,20,HIGH,77,5.1993,1.5185,11.9927,2025-august:10|2025-september:20|2025-october:20|2025-november:10|2025-december:10|2026-january:20|2026-february:10|2026-march:20|2026-april:20|2026-may:10|2026-june:20|2026-july:10,generic_query_inside_local_geo_target,2026-09-03
manchester_asbestos_survey,Manchester,refurbishment asbestos survey,refurbishment asbestos survey,refurbishment asbestos survey,,10,HIGH,71,5.6909,0.0000,0.0000,2025-august:0|2025-september:10|2025-october:0|2025-november:10|2025-december:0|2026-january:0|2026-february:10|2026-march:0|2026-april:10|2026-may:10|2026-june:0|2026-july:10,generic_query_inside_local_geo_target,2026-09-03
manchester_asbestos_survey,Manchester,management asbestos survey,management asbestos survey,management asbestos survey,,10,HIGH,71,25.7206,4.8084,46.6997,2025-august:10|2025-september:10|2025-october:10|2025-november:10|2025-december:10|2026-january:10|2026-february:10|2026-march:10|2026-april:10|2026-may:10|2026-june:20|2026-july:10,generic_query_inside_local_geo_target,2026-09-03
manchester_asbestos_survey,Manchester,asbestos testing,asbestos testing,asbestos testing,,90,HIGH,100,11.0605,2.4154,35.4615,2025-august:110|2025-september:70|2025-october:50|2025-november:70|2025-december:70|2026-january:90|2026-february:110|2026-march:90|2026-april:70|2026-may:90|2026-june:70|2026-july:70,generic_query_inside_local_geo_target,2026-09-03
bristol_drain_unblocking,Bristol,drain unblocking,drain unblocking,drain unblocking,,320,HIGH,100,6.3693,4.2213,13.9006,2025-august:260|2025-september:320|2025-october:390|2025-november:320|2025-december:320|2026-january:320|2026-february:320|2026-march:390|2026-april:390|2026-may:320|2026-june:260|2026-july:260,generic_query_inside_local_geo_target,2026-09-03
bristol_drain_unblocking,Bristol,blocked drain,blocked drain,blocked drain,,70,HIGH,90,10.3181,5.6845,14.5341,2025-august:110|2025-september:110|2025-october:70|2025-november:50|2025-december:50|2026-january:50|2026-february:50|2026-march:70|2026-april:90|2026-may:140|2026-june:30|2026-july:30,generic_query_inside_local_geo_target,2026-09-03
bristol_drain_unblocking,Bristol,drain clearance,drain clearance,drain clearance,,10,MEDIUM,57,3.0609,0.0000,0.0000,2025-august:10|2025-september:10|2025-october:10|2025-november:10|2025-december:10|2026-january:10|2026-february:20|2026-march:10|2026-april:10|2026-may:10|2026-june:10|2026-july:10,generic_query_inside_local_geo_target,2026-09-03
bristol_drain_unblocking,Bristol,emergency drain unblocking,emergency drain unblocking,emergency drain unblocking,,10,HIGH,98,26.9941,8.4509,20.1386,2025-august:10|2025-september:10|2025-october:10|2025-november:10|2025-december:10|2026-january:0|2026-february:10|2026-march:10|2026-april:10|2026-may:10|2026-june:10|2026-july:10,generic_query_inside_local_geo_target,2026-09-03
bristol_drain_unblocking,Bristol,drain jetting,drain jetting,drain jetting,,10,HIGH,71,14.7638,1.0310,19.6476,2025-august:10|2025-september:10|2025-october:10|2025-november:10|2025-december:10|2026-january:10|2026-february:10|2026-march:10|2026-april:10|2026-may:10|2026-june:10|2026-july:10,generic_query_inside_local_geo_target,2026-09-03
bristol_drain_unblocking,Bristol,cctv drain survey,cctv drain survey,cctv drain survey,,30,HIGH,88,18.0835,5.3824,16.7691,2025-august:40|2025-september:30|2025-october:40|2025-november:30|2025-december:10|2026-january:40|2026-february:30|2026-march:40|2026-april:40|2026-may:30|2026-june:20|2026-july:20,generic_query_inside_local_geo_target,2026-09-03
bristol_loft_conversion,Bristol,loft conversion,loft conversion,loft conversion,,140,MEDIUM,57,11.0993,3.8477,30.6157,2025-august:170|2025-september:110|2025-october:140|2025-november:140|2025-december:110|2026-january:210|2026-february:140|2026-march:170|2026-april:140|2026-may:90|2026-june:90|2026-july:70,generic_query_inside_local_geo_target,2026-09-03
bristol_loft_conversion,Bristol,loft conversion company,loft conversion company,loft conversion company,,10,UNSPECIFIED,0,0.0000,0.0000,0.0000,2025-august:0|2025-september:10|2025-october:10|2025-november:10|2025-december:10|2026-january:10|2026-february:10|2026-march:10|2026-april:10|2026-may:10|2026-june:10|2026-july:0,generic_query_inside_local_geo_target,2026-09-03
bristol_loft_conversion,Bristol,loft conversion cost,loft conversion cost,loft conversion cost,,50,MEDIUM,61,8.2115,2.1543,8.9695,2025-august:70|2025-september:50|2025-october:50|2025-november:40|2025-december:50|2026-january:90|2026-february:50|2026-march:70|2026-april:50|2026-may:30|2026-june:30|2026-july:30,generic_query_inside_local_geo_target,2026-09-03
bristol_loft_conversion,Bristol,dormer loft conversion,dormer loft conversion,dormer loft conversion,,90,LOW,30,3.0056,2.1068,12.4988,2025-august:90|2025-september:50|2025-october:90|2025-november:70|2025-december:70|2026-january:90|2026-february:110|2026-march:110|2026-april:70|2026-may:90|2026-june:70|2026-july:70,generic_query_inside_local_geo_target,2026-09-03
bristol_loft_conversion,Bristol,loft conversion builders,loft conversion builders,loft conversion builders,,10,HIGH,100,0.0000,0.0000,0.0000,2025-august:10|2025-september:10|2025-october:0|2025-november:0|2025-december:0|2026-january:0|2026-february:0|2026-march:10|2026-april:0|2026-may:10|2026-june:0|2026-july:10,generic_query_inside_local_geo_target,2026-09-03
bristol_loft_conversion,Bristol,attic conversion,attic conversion,attic conversion,,10,MEDIUM,51,0.0000,2.4978,7.7792,2025-august:20|2025-september:10|2025-october:10|2025-november:10|2025-december:10|2026-january:20|2026-february:10|2026-march:20|2026-april:10|2026-may:10|2026-june:10|2026-july:10,generic_query_inside_local_geo_target,2026-09-03
nottingham_garage_door_repair,Nottingham,garage door repair,garage door repair|garage door repairs,garage door repair,garage door repairs,40,HIGH,93,8.6831,2.8305,9.0146,2025-august:10|2025-september:480|2025-october:30|2025-november:10|2025-december:10|2026-january:10|2026-february:10|2026-march:10|2026-april:10|2026-may:10|2026-june:10|2026-july:10,generic_query_inside_local_geo_target,2026-09-03
nottingham_garage_door_repair,Nottingham,garage door company,garage door company,garage door company,,10,UNSPECIFIED,0,0.0000,0.0000,0.0000,2025-august:0|2025-september:70|2025-october:10|2025-november:10|2025-december:10|2026-january:10|2026-february:10|2026-march:10|2026-april:10|2026-may:10|2026-june:10|2026-july:0,generic_query_inside_local_geo_target,2026-09-03
nottingham_garage_door_repair,Nottingham,garage door replacement,garage door replacement,garage door replacement,,30,HIGH,93,8.2357,0.0000,0.0000,2025-august:0|2025-september:390|2025-october:10|2025-november:0|2025-december:10|2026-january:0|2026-february:0|2026-march:10|2026-april:10|2026-may:10|2026-june:10|2026-july:10,generic_query_inside_local_geo_target,2026-09-03
nottingham_garage_door_repair,Nottingham,electric garage door repair,electric garage door repair,electric garage door repair,,10,UNSPECIFIED,0,0.0000,0.0000,0.0000,2025-august:0|2025-september:10|2025-october:10|2025-november:10|2025-december:0|2026-january:0|2026-february:0|2026-march:0|2026-april:10|2026-may:0|2026-june:0|2026-july:0,generic_query_inside_local_geo_target,2026-09-03
nottingham_garage_door_repair,Nottingham,garage door installers,garage door installers,garage door installers,,10,UNSPECIFIED,0,0.0000,0.0000,0.0000,2025-august:0|2025-september:70|2025-october:0|2025-november:0|2025-december:0|2026-january:10|2026-february:0|2026-march:0|2026-april:0|2026-may:0|2026-june:0|2026-july:0,generic_query_inside_local_geo_target,2026-09-03
