impactId,workstreamId,actor,valueChainStep,aiDimension,mechanism,timeHorizon,impactDirection,claim,evidenceClass,supportingClaimIds,countervailingForce,leadingIndicator,commercialImplication,confidence,limitations
AI11,commercial-premises-compliance-ai,responsible-person,professional-sign-off,trust-liability-moat,no-material-impact,current,tailwind,"Use of software or contractors does not transfer the dutyholder's responsibility and AI cannot sign as a competent person",inference,"C006;C017;C042;C043","Better records can support rather than replace accountability","Unauthorised sign-offs false closures and named-human acceptance rate","Design the product around accountable approvals instead of autonomous compliance claims",high,"Liability allocation requires professional review and contracts"
AI12,commercial-premises-compliance-ai,managed-service-operator,evidence-loop,proprietary-data-potential,new-demand,2028,tailwind,"Operating the workflow can create a private graph of assets findings provider performance remediation time recurrence and cost",inference,"C035;C038;C048","Data remains weak if customers do not grant access or records are inconsistent","Sites with complete histories provider outcome coverage and repeat defects predicted","The evidence graph is a stronger asset than generated reports",medium,"Data rights retention and predictive value are untested"
AI13,commercial-premises-compliance-ai,property-manager,portfolio-relationship,relationship-moat,augmentation,2028,tailwind,"Recurring exception handling and provider coordination can deepen the portfolio relationship beyond a one-off certificate",inference,"C017;C019;C020;C048","Incumbent facilities managers and software suites already own many relationships","Gross retention sites per account and share of lanes coordinated","Win a narrow high-friction loop before expanding across compliance lanes",medium,"No customer retention cohort exists"
AI14,commercial-premises-compliance-ai,startup,model-and-platform-supply,platform-dependency,interface-shift,2028,headwind,"Search engines model APIs public registers and incumbent workflow platforms can each control a critical interface",inference,"C035;C036;C037;C038;C046","Provider relationships exported records and model portability reduce dependency","Revenue concentration by channel model provider and integration","No channel or model provider should be the only route to demand or operation",high,"Future interface shares are unknown"
AI15,commercial-premises-compliance-ai,partner-led-operator,company-defensibility,defensibility-2028,augmentation,2028,tailwind,"A partner-led operator can remain useful if it owns verified histories provider execution and accountable exception resolution",inference,"C047;C048;C049;C050;C051;C052;C053;C054;C055","Incumbents can copy software features and providers may build direct portals","Renewal share multi-lane expansion exclusive evidence and provider SLA performance","Test operations first and build only the data and controls generic tools lack",medium,"Willingness to pay and contractual defensibility are unknown"
AI16,commercial-premises-compliance-ai,small-business-dutyholder,fire-risk-self-assessment,substitution-risk,replacement,current,headwind,"Guidance plus AI may help competent operators of simple low-risk premises complete more work internally",inference,"C006;C007","Complexity vulnerable occupants insurer expectations and limited competence drive external help","External assessment purchase rate by premises risk class","Do not calculate TAM by multiplying all premises by an assessor fee",high,"Safe AI-assisted self-assessment has not been evaluated"
AI17,commercial-premises-compliance-ai,asbestos-surveyor,survey-and-analysis,physical-world-moat,no-material-impact,2030,tailwind,"AI cannot locate concealed asbestos or replace competent sampling and accredited laboratory analysis",inference,"C013;C014","Records computer vision and building data can target where physical work is needed","Share of surveys requiring samples and discrepancies between records and site findings","Asbestos remains a provider-led lane with AI around the work",high,"Non-invasive sensing may improve but is not evidenced here"
AI18,commercial-premises-compliance-ai,gas-engineer,gas-work,trust-liability-moat,no-material-impact,2030,tailwind,"AI cannot lawfully perform covered gas work without a correctly qualified registered engineer",inference,C016,"Diagnostics and scheduling can compress preparation","Registered-engineer hours per job and repeat visit rate","Integrate qualified fulfilment rather than promise autonomous delivery",high,"Future regulation and remote diagnostics may change task boundaries"
AI19,commercial-premises-compliance-ai,lifting-and-pressure-competent-person,statutory-examination,physical-world-moat,no-material-impact,2030,tailwind,"LOLER and PSSR examinations preserve independent competent-person work even when records and sensor data improve",inference,"C019;C020","Examination schemes and in-house competence can reduce external purchasing","External examination share and sensor-supported inspection time","These lanes have strong durability but slower specialist entry",high,"Exact customer segment and provider economics are unresearched"
AI20,commercial-premises-compliance-ai,water-safety-responsible-person,monitoring,operating-leverage,augmentation,2028,tailwind,"Anomaly detection can prioritize unusual readings missed checks and repeated loss of control",inference,"C017;C018;C038","Bad baselines and complex systems make human interpretation essential","Critical anomaly recall alert precision and time to corrective action","Sell monitored exception handling only after site-specific validation",medium,"No water-safety evaluation dataset exists"
AI21,commercial-premises-compliance-ai,energy-assessor,EPC-data-preparation,operating-leverage,compression,2028,mixed,"AI can extract plans and prepare evidence but assessor-directed verified collection remains necessary",inference,"C021;C022;C023;C024","Accredited assessor oversight and lodged-software rules constrain automation","Assessor review time resurvey rate and lodgement rejection","A tool can improve accredited workflow but cannot sell remote synthetic EPCs",high,"Accreditation-scheme implementation details were not compared"
AI22,commercial-premises-compliance-ai,dutyholder,misinformation-screening,generated-content-supply,new-demand,2028,tailwind,"Abundant generated advice creates demand for source-linked jurisdiction-aware verification",inference,"C041;C045","Official guidance remains freely available and incumbents can add citations","Share of user questions containing false premises and correction acceptance","Verification may be a feature but not a standalone moat without workflow evidence",medium,"Demand and willingness to pay are unmeasured"
AI23,commercial-premises-compliance-ai,portfolio-director,board-reporting,operating-leverage,compression,current,tailwind,"AI can summarize open actions and evidence gaps across sites if the underlying records are structured and current",inference,"C035;C038;C043","A polished summary can conceal incomplete or stale source records","Summary claim support coverage and executive corrections","Generate reporting from the evidence graph rather than from uploaded prose alone",high,"No portfolio reporting test has been run"
AI24,commercial-premises-compliance-ai,buyer-agent,provider-routing,agent-bypass-risk,augmentation,2028,mixed,"An agent can reduce quote collection but should not autonomously approve provider competence or conflicts",inference,"C014;C016;C052","Human approval and redundant provider coverage bound routing risk","Agent-routed quote share credential exceptions and price dispersion","Provide structured provider facts and retain approval rather than resist agent interfaces",medium,"Provider APIs and buyer adoption are unknown"
AI25,commercial-premises-compliance-ai,customer,procurement,operating-leverage,compression,2028,headwind,"Customers can retain AI savings through lower prices unless the operator converts speed into more capacity retention or service depth",inference,"C036;C037;C038;C039;C040;C054","Provider scarcity and service quality can preserve margin","Price per assessment gross contribution and turnaround before and after AI","Model captured contribution rather than assuming time saved becomes profit",high,"No before-and-after margin data exists"
AI26,commercial-premises-compliance-ai,software-founder,feature-development,defensibility-2028,replacement,current,headwind,"Template generation report drafting and document chat are reproducible features rather than durable company moats",inference,"C035;C036;C037;C038;C039;C040","Deep integrations controlled rules evidence quality and distribution are harder to copy","Feature price compression and incumbent release cadence","Avoid a pure AI wrapper thesis",high,"Implementation quality still varies across products"
AI27,commercial-premises-compliance-ai,technical-authority,rule-maintenance,trust-liability-moat,new-demand,current,mixed,"AI increases the need for versioned jurisdiction and effective-date controls because laws guidance and policy proposals differ",inference,"C008;C022;C023;C024;C052","A deterministic rules layer and professional change approval can contain drift","Stale-rule incidents and time from authoritative change to approved rule","Rule governance is an operating function not a one-off prompt",high,"Standards behind paywalls may limit complete automation"
AI28,commercial-premises-compliance-ai,security-owner,document-assistant,platform-dependency,new-demand,current,headwind,"Connected AI creates prompt-injection data-leakage and model-supply risks around building plans tenant data and security controls",inference,C044,"Least privilege sanitisation approved connectors logging and model portability reduce exposure","Red-team failures leakage incidents and concentration by model provider","Security architecture is part of product cost and enterprise trust",high,"No product threat model or penetration test exists"
AI29,commercial-premises-compliance-ai,assessor-and-dutyholder,evidence-capture,generated-content-supply,supply-expansion,current,headwind,"Synthetic photos signatures observations and certificates can make a report look complete without corresponding physical work",inference,"C041;C042;C043","Immutable originals metadata signatures and independent provider checks can expose fabrication","Provenance failures duplicate images and unauthorised signatures","Never allow generated media or text to stand in for observed evidence",high,"No fraud-incidence data was found"
AI30,commercial-premises-compliance-ai,inspector,image-and-sensor-triage,substitution-risk,augmentation,2030,mixed,"Vision and sensor systems may reduce repeat inspection effort but cannot safely infer concealed condition or complete compliance from absence of a visible defect",inference,"C019;C020;C024;C041","Physical inspection standards and false-negative risk constrain substitution","Remote-only close rate false-negative rate and reinspection findings","Use remote evidence for triage and follow-up not universal replacement",medium,"No sector-specific model performance evidence was retained"
AI31,commercial-premises-compliance-ai,workflow-agent,action-closure,trust-liability-moat,replacement,current,headwind,"An agent that closes an action without valid completion evidence creates paper compliance and concentrated safety risk",inference,"C042;C043;C053","Create-only permissions named ownership and human acceptance prevent silent closure","False closure count reopened actions and source-complete closure rate","Automate reminders and packet assembly but prohibit autonomous attestation",high,"PlanRadar controls are one vendor example rather than a sector standard"
