operator,system_type,primary_market,buyer_job,scarce_asset,revenue_layers,observed_evidence,evidence_class,source_ids,what_works,pressure_or_limit,founder_read
Consumer Reports,nonprofit testing and advocacy,United States,Make product and service decisions using independent tests,"laboratories; member trust; advocacy; long-run data",membership; donations; licensing or services,"expects more than $30m to test and rate over 10000 products and services",observed first-party,S67;S68,"institutional capital makes costly observation credible","economics and scale are unreachable for a new publisher","Original testing is defensible precisely because it is expensive; start where one method can change a purchase"
RTINGS,method-led testing and comparison,North America and international,Compare measured performance across electronics and appliances,"versioned test benches; retained products; lab; measurement history",membership; affiliate; advertising; content licensing,"4870 claimed products bought and tested; approximately 40000 square feet of laboratory space; 28 membership categories",observed first-party,S61;S62;S63,"public methods retained calibration products and retesting create a compounding evidence graph","full results moving behind membership may narrow top-of-funnel access","The moat is not prose but reproducible measurements with version and correction history"
OutdoorGearLab,field-test comparison publisher,United States and international,Choose outdoor equipment from side-by-side real-world tests,"field protocols; category experts; calibration products",affiliate commission,"buys tested products at retail; no ads sponsored content or free test units",observed first-party,S102,"high-intent tests align directly to affiliate transactions","affiliate-only funding concentrates attribution and traffic risk","A focused protocol can fund itself but needs distribution resilience beyond search"
Expert Reviews,commercial test-led publisher,UK,Choose technology home sleep and wellness products,"standardised test methods; specialist editors; archive",affiliate commission; advertising and endorsement staff disclosed,"hands-on methods include standardised battery and mattress tests; affiliate links fund free access",observed first-party,S105,"repeatable methods turn editorial claims into comparable records","commercial teams and category expansion require strong separation controls","Publish the method and result fields; the article should interpret the database"
Tom's Guide,scaled specialist product publisher,Global with UK operation,Choose and use technology home and wellness products,"brand distribution; lab and real-world protocols; editorial team",affiliate; advertising; parent revenue portfolio,"category benchmarks hands-on use explicit ratings and product-finder expansion",observed first-party,S54;S107,"large editorial surface backed by explicit test protocols","parent results show session and affiliate exposure at portfolio level","Scale is not insulation from discovery change; direct audience and data still matter"
Good Housekeeping Institute,trust mark and testing publisher,United States and international,Choose household products backed by laboratory and expert review,"century-old trust; laboratories; Seal and warranty",affiliate; advertising; Seal licensing,"seven testing spaces; affiliate disclosure; Seal includes a limited two-year warranty on qualifying products",observed first-party,S106,"a trusted mark can become a product with liability and enforcement behind it","warranty and licensing add operational and reputational exposure","A badge is defensible only when the operator can stand behind it"
Future specialist brands,specialist media portfolio,UK and global,Discover expert product advice across many vertical brands,"brand portfolio; audience data; editorial operations; advertiser access",affiliate; advertising; subscriptions; events; leads; data and services,"2025 Signal Future+ and Collab initiatives target social email creator and direct-member distribution",company reports,S54;S109;S110,"revenue and distribution portfolio rather than one affiliate surface","HY2026 reported revenue down 8 percent and session-linked exposure remains","Diversification is an operating necessity not a decorative revenue slide"
Auto Trader,vertical vehicle marketplace and dealer system,UK,Search compare finance and transact around vehicles,"consumer demand; live stock; retailer relationships; pricing data; workflow software",dealer subscriptions; listings; manufacturer and consumer services,"13942 average retailer forecourts and 2995 pounds average monthly retailer revenue in FY2026",annual report and results,S55;S56,"supplier subscriptions expand as the marketplace enters dealer workflow","automotive density and data are not transferable to a new equipment market","Marketplace leverage comes after demand; workflow software makes it harder for supply to leave"
CarGurus,vehicle marketplace and dealer intelligence,United States and international,Compare vehicle value and contact dealers,"deal rating; traffic; dealer leads; market data",dealer subscription; advertising; finance partnerships,"dealer listing packages remain active while CarOffer transaction operations were wound down in 2025",regulatory filing plus first-party product,S78;S79;S80,"information and lead products fit the marketplace asset","owned transaction execution produced impairments and wind-down cost","Adjacency is not strategy: keep the capital-light decision layer until transaction control proves superior"
Reverb,specialist musical-instrument marketplace,Global,Find value and trade new used and vintage instruments,"category community; specialist inventory; transaction trust",seller fee; payment processing; advertising and creator adjacency,"current seller fee is 5 percent; sold by Etsy in 2025 and continues standalone",regulatory filing plus first-party policy,S81;S82;S83,"specialist identity and liquidity survived a change of owner","portfolio fit and parent valuation are separate from product usefulness","A coherent vertical marketplace can remain valuable even when a strategic owner reverses course"
Chrono24,high-value watch marketplace,Global,Buy or sell watches across borders with reduced trust risk,"dealer verification; escrow; proof of ownership; authentication operations",transaction fee and dealer services not fully observed,"claimed 9m monthly visitors 671000 listings and 58000 sellers plus escrow and buyer protection",observed first-party,S84,"trust operations make geographically broad high-value inventory transact","fraud loss service cost and take rate are undisclosed","For expensive heterogeneous goods the secret sauce is transaction assurance rather than content volume"
Machinio,used-machinery search and dealer software,Global,Find industrial agricultural and construction equipment,"dealer inventory graph; vertical search; dealer-management software",dealer listing and software revenue; parent marketplace adjacency,"claimed millions of buyers and 3000-plus verified dealers; acquired by Liquidity Services in 2018",observed first-party plus acquisition announcement,S88;S89,"search demand and supplier tooling reinforce one another","inventory freshness and country-level liquidity are unknown","Land equipment should follow this seller-tools-plus-search pattern rather than a boxed-product feed"
TractorHouse,agricultural equipment marketplace and media,United States and international,Find equipment and monitor wanted inventory,"dealer network; detailed equipment schema; print and digital distribution",dealer advertising; websites; ecommerce; auctions; featured listings,"saved searches alerts valuations want-to-buy and dealer inventory services are live",observed first-party,S90;S91,"deep seller services support the discovery marketplace","UK dealer economics and liquidity are unproven","The data model must understand condition hours location transport and service not merely SKU"
Mini Diggers,vertical classified marketplace,UK,Find and list compact construction equipment,"focused UK inventory and seller access",private and dealer listing plans,"live paid listing tiers for private sellers and dealers",observed first-party,S19,"legible monetisation for heterogeneous used assets","transaction volume and lead outcomes are undisclosed","A narrow classified can charge supply before it builds a full transaction layer"
BrickLink,parts catalogue marketplace and design system,Global LEGO community,Identify source design and buy exact parts or sets,"community-maintained catalogue; part relationships; wanted lists; Studio software",seller commission; strategic ecosystem value,"10000-plus claimed sellers 1m-plus members and a catalogue joining sets parts inventories and price history",observed first-party,S92;S93;S94;S95,"identity graph plus bill of materials plus creation tool creates repeated utility","community governance and dependence on one manufacturer ecosystem","The saved design and exact component graph are a stronger moat than listings alone"
Discogs,community music database and marketplace,Global,Identify a specific release and buy or sell it,"community-built canonical release graph; collection and Wantlist",marketplace fee and seller services,"every visible database field is user-entered; marketplace listings attach to release identity",observed first-party,S98;S99,"collector labour builds a catalogue no merchant feed contains","seller pre-screening and transaction guarantees are explicitly limited","Community contribution works when contributors receive collection identity and market utility"
Cardmarket,trading-card marketplace,Europe,Buy the exact printing condition and language of a card,"canonical card graph; seller liquidity; trustee service; API",transaction commission,"listings attach to correct product pages and eligible payments are held until receipt",observed first-party,S96;S97,"identity precision and escrow reduce an otherwise chaotic trade","liquidity and loss rates vary by game and remain undisclosed","Canonical identity and payment controls can be the full product in a collectible market"
Houzz,home-project inspiration and professional software,Global,Move from inspiration to professional project delivery,"project imagery; professional graph; workflow software",professional SaaS; advertising; licensed commerce,"Houzz Pro is sold as paid workflow software while Shop Houzz is operated by a Cart.com entity under licence",observed first-party terms and product,S85;S86;S87,"professional workflow monetises the supply side beyond product discovery","commerce fulfilment has been structurally separated from the core platform","In installed home categories the durable layer may be project and supplier workflow not merchant-of-record commerce"
Navimow,manufacturer-owned product decision route,UK,Choose and purchase a robotic mower from one brand,"product expertise; installation and brand inventory",direct product margin; affiliate partner distribution,"affiliate page states 1000-pound-plus AOV 5-percent-plus commission and 30-day cookie",observed merchant claim,S02,"economics and product knowledge sit close to checkout","cannot provide neutral cross-brand comparison","The aggregator must solve cross-brand suitability or the manufacturer can own the decision"
Pro-Line Direct,specialist wellness retailer,UK,Choose and purchase high-ticket sauna spa and wellness equipment,"specialist assortment; fulfilment; product service",retail margin; affiliate distribution,"merchant reports 2000-to-5000-pound average order across high-ticket categories",observed merchant claim,S03,"high-order-value retailer can fund meaningful referral commission","one retailer's range and disclosures are commercially interested","A publisher needs multiple merchants and post-sale context to add value"
Waltons,specialist garden-building retailer,UK,Choose and buy garden buildings,"inventory; delivery; category content",retail margin; affiliate distribution,"live affiliate terms show 1.5 percent commission and exclusion of finance orders",observed first-party,S08,"direct fulfilment and content can capture the whole journey","low commission and finance exclusions weaken publisher economics","Nominal category AOV is irrelevant if important transaction paths do not attribute"
Home Leisure Direct,specialist games-room retailer,UK,Plan and buy premium games-room products,"showroom; specialist advice; delivery and installation",retail margin; affiliate distribution,"merchant reports about 1400-pound AOV 5 percent commission and a 30-day cookie",observed merchant claim,S09;S10,"coherent room-level assortment supports cross-sell and service","PPC restrictions validation and merchant concentration constrain a publisher","A neutral room planner must outperform the retailer's own advice without owning fulfilment"
Games Room Company,premium games-room retailer and restorer,UK,Source premium new vintage and restored games-room equipment,"rare stock; restoration expertise; service",retail and restoration margin,"live range spans billiards football tables jukeboxes pinball and related service",observed first-party,S12,"scarce inventory and craft expertise create authority","no observed publisher referral economics","Some high-value categories reward owning supply and restoration more than aggregating links"
Kiln Crafts,specialist ceramics retailer and educator,UK,Specify a safe compatible ceramics studio,"category expertise; bundles; support; stocked equipment",retail margin; affiliate distribution,"live 1199-pound wheel package and 4833-pound kiln-and-wheel studio bundle plus buying guidance",observed first-party,S13;S14;S15;S33;S34,"bundles translate technical constraints into a complete purchase","retailer advice is limited to stocked assortment","The aggregator needs multi-brand compatibility data and owned tests to beat a good specialist merchant"
The Pottery People,specialist ceramics retailer with comparison content,UK,Compare pottery wheels and buy from a specialist,"category expertise; guide-led merchandising",retail margin,"live 2026 wheel guide compares products sold by the retailer",observed first-party,S18,"decision content sits directly beside checkout","selection and ranking can favour owned inventory","Retailer content validates the decision job but not an independent publisher moat"
Machine Mart,broad tools and machinery retailer,UK,Research and buy workshop machinery and tools,"large assortment; stores; trade brand",retail margin; affiliate distribution,"affiliate page states more than 21000 products 2 percent commission and whole-site AOV above 100 pounds",observed first-party,S17,"assortment breadth and physical retail support fulfilment","whole-site AOV is far below the research target and broad catalogue dilutes identity","A maker aggregator should curate project systems rather than mirror a general tool shop"
Awin,affiliate feed and attribution infrastructure,Global with UK market,Access merchant programmes product data tracking and payment,"advertiser network; feeds; transaction records; payment rails",network and platform fees,"feeds expose millions of product details and are used by price-comparison publishers",observed first-party,S20;S21;S22,"removes integration and settlement work for new publishers","same infrastructure is available to competitors and attribution can leak","A feed is rented infrastructure; retained identity and outcomes must live in the publisher's own system"
MoneySuperMarket,adjacent comparison and provider platform,UK,Compare regulated financial products and switch,"consumer demand; provider panel; decision data; regulated process",click fee; commission; tenancy; insight; white-label,"public model combines click purchase and sponsored fees; annual report describes data insight and white-label services",annual report plus first-party,S52;S53,"transaction intent becomes provider media data and embedded tools","regulated finance differs materially from physical products","The transferable lesson is revenue sequencing after demand and decision data exist"
OpenAI product discovery,conversational shopping interface,International with availability constraints,Describe a need and compare products conversationally,"model interface; user intent; direct merchant feeds",platform and merchant value model unsettled,"merchant feeds and retailer integrations support product discovery and merchant checkout direction",observed platform announcement,S59;S60,"compresses intent capture synthesis and routing into one interface","UK adoption attribution and publisher compensation are unknown","Assume machines will consume the catalogue; charge for evidence or transactions the machine cannot originate"
Klarna shopping and PriceRunner layer,payments plus product discovery,International,Discover compare finance and complete shopping in one ecosystem,"payments relationship; app distribution; PriceRunner data",payments; merchant services; comparison traffic,"Klarna says PriceRunner adds product discovery comparisons reviews and high-intent merchant traffic and powers a Shopping Search app in ChatGPT",regulatory filing plus company announcement,S72;S73,"comparison data gains value when attached to checkout and an existing consumer relationship","integration value and standalone PriceRunner economics are not separately disclosed","The strategic buyer values aggregation as intent infrastructure not merely affiliate pages"
